Year,Gebietseinheit,Kategorie,Value
KW 13 (31.03.2022),Bundesgebiet,Zugänge Insgesamt,369875
KW 16 (24.04.2022),Bundesgebiet,Zugänge Insgesamt,560498
KW 18 (01.05.2022),Bundesgebiet,Zugänge Insgesamt,610441
KW 19 (08.05.2022),Bundesgebiet,Zugänge Insgesamt,688133
KW 20 (15.05.2022),Bundesgebiet,Zugänge Insgesamt,742254
KW 21 (22.05.2022),Bundesgebiet,Zugänge Insgesamt,780510
KW 13 (31.03.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,4899
KW 16 (24.04.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,16382
KW 18 (01.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,17827
KW 19 (08.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,33141
KW 20 (15.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,35710
KW 21 (22.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,38456
KW 13 (31.03.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 16 (24.04.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 18 (01.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 19 (08.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 20 (15.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,203147
KW 21 (22.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,230379
KW 13 (31.03.2022),Bundesgebiet,Schutzgesuch geäußert,86168
KW 16 (24.04.2022),Bundesgebiet,Schutzgesuch geäußert,183773
KW 18 (01.05.2022),Bundesgebiet,Schutzgesuch geäußert,216082
KW 19 (08.05.2022),Bundesgebiet,Schutzgesuch geäußert,271140
KW 20 (15.05.2022),Bundesgebiet,Schutzgesuch geäußert,215979
KW 21 (22.05.2022),Bundesgebiet,Schutzgesuch geäußert,234296
KW 13 (31.03.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,278790
KW 16 (24.04.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,360343
KW 18 (01.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,376532
KW 19 (08.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,384852
KW 20 (15.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,287418
KW 21 (22.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,277379
KW 13 (31.03.2022),Niedersachsen,Zugänge Insgesamt,34684
KW 16 (24.04.2022),Niedersachsen,Zugänge Insgesamt,54273
KW 18 (01.05.2022),Niedersachsen,Zugänge Insgesamt,58878
KW 19 (08.05.2022),Niedersachsen,Zugänge Insgesamt,65607
KW 20 (15.05.2022),Niedersachsen,Zugänge Insgesamt,69349
KW 21 (22.05.2022),Niedersachsen,Zugänge Insgesamt,72951
KW 13 (31.03.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,977
KW 16 (24.04.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,2167
KW 18 (01.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,2210
KW 19 (08.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,3814
KW 20 (15.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,3892
KW 21 (22.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,4028
KW 13 (31.03.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 16 (24.04.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 18 (01.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 19 (08.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 20 (15.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,12208
KW 21 (22.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,13960
KW 13 (31.03.2022),Niedersachsen,Schutzgesuch geäußert,6383
KW 16 (24.04.2022),Niedersachsen,Schutzgesuch geäußert,14217
KW 18 (01.05.2022),Niedersachsen,Schutzgesuch geäußert,16271
KW 19 (08.05.2022),Niedersachsen,Schutzgesuch geäußert,20188
KW 20 (15.05.2022),Niedersachsen,Schutzgesuch geäußert,18904
KW 21 (22.05.2022),Niedersachsen,Schutzgesuch geäußert,20419
KW 13 (31.03.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,27324
KW 16 (24.04.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,37889
KW 18 (01.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,40397
KW 19 (08.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,41605
KW 20 (15.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,34345
KW 21 (22.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,34472
