Year,Gebietseinheit,Geschlecht,Grund der Befristung,GeoCode,Value
2020,Braunschweig  Stadt,männlich,zum Zweck der Ausbildung,K03101,27.3891625615764
2020,Braunschweig  Stadt,weiblich,zum Zweck der Ausbildung,K03101,18.1929181929182
2020,Braunschweig  Stadt,insgesamt,zum Zweck der Ausbildung,K03101,23.2824427480916
2020,Salzgitter  Stadt,männlich,zum Zweck der Ausbildung,K03102,1.12640801001252
2020,Salzgitter  Stadt,weiblich,zum Zweck der Ausbildung,K03102,0.704225352112676
2020,Salzgitter  Stadt,insgesamt,zum Zweck der Ausbildung,K03102,0.927766732935719
2020,Wolfsburg  Stadt,männlich,zum Zweck der Ausbildung,K03103,7.71704180064309
2020,Wolfsburg  Stadt,weiblich,zum Zweck der Ausbildung,K03103,3.91459074733096
2020,Wolfsburg  Stadt,insgesamt,zum Zweck der Ausbildung,K03103,5.91216216216216
2020,Gifhorn,männlich,zum Zweck der Ausbildung,K03151,2.1505376344086
2020,Gifhorn,weiblich,zum Zweck der Ausbildung,K03151,2.97397769516729
2020,Gifhorn,insgesamt,zum Zweck der Ausbildung,K03151,2.55474452554745
2020,Goslar,männlich,zum Zweck der Ausbildung,K03153,36.6894197952218
2020,Goslar,weiblich,zum Zweck der Ausbildung,K03153,20.3125
2020,Goslar,insgesamt,zum Zweck der Ausbildung,K03153,29.5938104448743
2020,Helmstedt,männlich,zum Zweck der Ausbildung,K03154,0.561797752808989
2020,Helmstedt,weiblich,zum Zweck der Ausbildung,K03154,1.875
2020,Helmstedt,insgesamt,zum Zweck der Ausbildung,K03154,1.18343195266272
2020,Northeim,männlich,zum Zweck der Ausbildung,K03155,1.8348623853211
2020,Northeim,weiblich,zum Zweck der Ausbildung,K03155,1.95121951219512
2020,Northeim,insgesamt,zum Zweck der Ausbildung,K03155,1.89125295508274
2020,Peine,männlich,zum Zweck der Ausbildung,K03157,0.968523002421308
2020,Peine,weiblich,zum Zweck der Ausbildung,K03157,1.26262626262626
2020,Peine,insgesamt,zum Zweck der Ausbildung,K03157,1.11248454882571
2020,Wolfenbüttel,männlich,zum Zweck der Ausbildung,K03158,10.3321033210332
2020,Wolfenbüttel,weiblich,zum Zweck der Ausbildung,K03158,5.37190082644628
2020,Wolfenbüttel,insgesamt,zum Zweck der Ausbildung,K03158,7.99220272904483
2020,Göttingen,männlich,zum Zweck der Ausbildung,K03159,20.7920792079208
2020,Göttingen,weiblich,zum Zweck der Ausbildung,K03159,24.1448692152917
2020,Göttingen,insgesamt,zum Zweck der Ausbildung,K03159,22.4550898203593
2020,Statistische Region Braunschweig,männlich,zum Zweck der Ausbildung,K031,14.9007236964186
2020,Statistische Region Braunschweig,weiblich,zum Zweck der Ausbildung,K031,11.240632805995
2020,Statistische Region Braunschweig,insgesamt,zum Zweck der Ausbildung,K031,13.1744163233274
2020,Hannover  Region,männlich,zum Zweck der Ausbildung,K03241,14.7894926232458
2020,Hannover  Region,weiblich,zum Zweck der Ausbildung,K03241,10.0830127556185
2020,Hannover  Region,insgesamt,zum Zweck der Ausbildung,K03241,12.5738235854448
2020,Diepholz,männlich,zum Zweck der Ausbildung,K03251,1.01010101010101
2020,Diepholz,weiblich,zum Zweck der Ausbildung,K03251,1.66320166320166
2020,Diepholz,insgesamt,zum Zweck der Ausbildung,K03251,1.4344262295082
2020,Hameln-Pyrmont,männlich,zum Zweck der Ausbildung,K03252,0.880281690140845
2020,Hameln-Pyrmont,weiblich,zum Zweck der Ausbildung,K03252,0.929368029739777
2020,Hameln-Pyrmont,insgesamt,zum Zweck der Ausbildung,K03252,0.993676603432701
2020,Hildesheim,männlich,zum Zweck der Ausbildung,K03254,4.77386934673367
2020,Hildesheim,weiblich,zum Zweck der Ausbildung,K03254,4.63096960926194
2020,Hildesheim,insgesamt,zum Zweck der Ausbildung,K03254,4.70746469401479
2020,Holzminden,männlich,zum Zweck der Ausbildung,K03255,3.2258064516129
2020,Holzminden,weiblich,zum Zweck der Ausbildung,K03255,3.10077519379845
2020,Holzminden,insgesamt,zum Zweck der Ausbildung,K03255,3.18021201413428
