Year,Gebietseinheit,GeoCode,Value
2020 / 2005,Braunschweig  Stadt,K03101,1.34054706388392
2020 / 2005,Salzgitter  Stadt,K03102,-3.58316469561666
2020 / 2005,Wolfsburg  Stadt,K03103,2.17906088334062
2020 / 2005,Gifhorn,K03151,1.10041187007268
2020 / 2005,Goslar,K03153,-11.068853498138
2020 / 2005,Helmstedt,K03154,-6.37448976460117
2020 / 2005,Northeim,K03155,-10.1697457222715
2020 / 2005,Peine,K03157,0.93846828304144
2020 / 2005,Wolfenbüttel,K03158,-5.6136327692551
2020 / 2005,Göttingen,K03159,-6.09008277641669
2020 / 2005,Statistische Region Braunschweig,K031,-3.62680141901983
2020 / 2005,Hannover  Region,K03241,2.37359143603744
2020 / 2005,dav. Hannover  Lhst.,K03241001,3.55225321825998
2020 / 2005,dav. Hannover  Umland,K03241999,1.38165903520481
2020 / 2005,Diepholz,K03251,1.17096887932154
2020 / 2005,Hameln-Pyrmont,K03252,-7.04454454454454
2020 / 2005,Hildesheim,K03254,-5.22255825875731
2020 / 2005,Holzminden,K03255,-9.89630123976488
2020 / 2005,Nienburg (Weser),K03256,-3.3566378009057
2020 / 2005,Schaumburg,K03257,-4.31935828747803
2020 / 2005,Statistische Region Hannover,K032,-0.749334887304007
2020 / 2005,Celle,K03351,-1.6761307579312
2020 / 2005,Cuxhaven,K03352,-3.142111108946
2020 / 2005,Harburg,K03353,5.86741761672601
2020 / 2005,Lüchow-Dannenberg,K03354,-5.54798255179935
2020 / 2005,Lüneburg,K03355,5.0125113285948
2020 / 2005,Osterholz,K03356,1.68439165875768
2020 / 2005,Rotenburg (Wümme),K03357,-0.235936315390447
2020 / 2005,Heidekreis,K03358,-1.25667587154291
2020 / 2005,Stade,K03359,4.52067693090724
2020 / 2005,Uelzen,K03360,-4.51206932122963
2020 / 2005,Verden,K03361,2.60284597714865
2020 / 2005,Statistische Region Lüneburg,K033,1.07626576094706
2020 / 2005,Delmenhorst  Stadt,K03401,2.09046841245587
2020 / 2005,Emden  Stadt,K03402,-3.51885168204592
2020 / 2005,Oldenburg(Oldb)  Stadt,K03403,6.96244442342257
2020 / 2005,Osnabrück  Stadt,K03404,0.24967341008705
2020 / 2005,Wilhelmshaven  Stadt,K03405,-10.0093355036385
2020 / 2005,Ammerland,K03451,8.41480356541923
2020 / 2005,Aurich,K03452,2.62980728772196E-02
2020 / 2005,Cloppenburg,K03453,10.9160766374115
2020 / 2005,Emsland,K03454,6.07633961972085
2020 / 2005,Friesland,K03455,-2.40701297676804
2020 / 2005,Grafschaft Bentheim,K03456,2.56541854479999
2020 / 2005,Leer,K03457,3.8938299728577
2020 / 2005,Oldenburg,K03458,4.5621207180409
2020 / 2005,Osnabrück,K03459,6.12047884400847E-03
2020 / 2005,Vechta,K03460,8.53241289718356
2020 / 2005,Wesermarsch,K03461,-5.5492131234996
2020 / 2005,Wittmund,K03462,-0.983538668599234
2020 / 2005,Statistische Region Weser-Ems,K034,2.71493084716814
2020 / 2005,Niedersachsen,K030,0.118527195455161
2020 / 2015,Braunschweig  Stadt,K03101,-1.11511592749956
2020 / 2015,Salzgitter  Stadt,K03102,2.75724928026593
2020 / 2015,Wolfsburg  Stadt,K03103,-0.165262606312225
2020 / 2015,Gifhorn,K03151,1.7347378089033
2020 / 2015,Goslar,K03153,-2.56662519170115
2020 / 2015,Helmstedt,K03154,0.019672131147541
2020 / 2015,Northeim,K03155,-2.31585814256909
2020 / 2015,Peine,K03157,2.66324062877872
2020 / 2015,Wolfenbüttel,K03158,-1.33905323976492
2020 / 2015,Göttingen,K03159,-0.418433196725092
2020 / 2015,Statistische Region Braunschweig,K031,-0.474732255262914
2020 / 2015,Hannover  Region,K03241,0.947940594907211
2020 / 2015,dav. Hannover  Lhst.,K03241001,0.354402692408153
2020 / 2015,dav. Hannover  Umland,K03241999,1.46378189110887
2020 / 2015,Diepholz,K03251,1.91423337196695
2020 / 2015,Hameln-Pyrmont,K03252,0.201644175585544
2020 / 2015,Hildesheim,K03254,-0.574254209452997
2020 / 2015,Holzminden,K03255,-2.0262632746759
2020 / 2015,Nienburg (Weser),K03256,0.839744014855097
2020 / 2015,Schaumburg,K03257,1.40839660448382
2020 / 2015,Statistische Region Hannover,K032,0.722884785840575
2020 / 2015,Celle,K03351,0.795073354647667
2020 / 2015,Cuxhaven,K03352,0.36496166135798
2020 / 2015,Harburg,K03353,3.18149942367061
2020 / 2015,Lüchow-Dannenberg,K03354,-3.24170124481328
2020 / 2015,Lüneburg,K03355,1.94556189443279
2020 / 2015,Osterholz,K03356,0.93415155970734
2020 / 2015,Rotenburg (Wümme),K03357,0.755269428433168
2020 / 2015,Heidekreis,K03358,0.442736553926881
2020 / 2015,Stade,K03359,2.65078428824217
2020 / 2015,Uelzen,K03360,-0.606672321783294
2020 / 2015,Verden,K03361,2.1753499944298
2020 / 2015,Statistische Region Lüneburg,K033,1.3238476701634
2020 / 2015,Delmenhorst  Stadt,K03401,1.54606082046041
2020 / 2015,Emden  Stadt,K03402,-1.61754842782183
2020 / 2015,Oldenburg(Oldb)  Stadt,K03403,3.52499542208387
2020 / 2015,Osnabrück  Stadt,K03404,1.12066895315973
2020 / 2015,Wilhelmshaven  Stadt,K03405,-1.06059609184815
2020 / 2015,Ammerland,K03451,3.46522831144234
2020 / 2015,Aurich,K03452,0.517444595373126
2020 / 2015,Cloppenburg,K03453,4.79439581385749
2020 / 2015,Emsland,K03454,2.95535356570513
2020 / 2015,Friesland,K03455,1.09397344228805
2020 / 2015,Grafschaft Bentheim,K03456,1.64305406082765
2020 / 2015,Leer,K03457,2.34858070523074
2020 / 2015,Oldenburg,K03458,2.22303433689973
2020 / 2015,Osnabrück,K03459,0.388741032006904
2020 / 2015,Vechta,K03460,4.23019453672407
2020 / 2015,Wesermarsch,K03461,-0.801219197884333
2020 / 2015,Wittmund,K03462,0.36905532331695
2020 / 2015,Statistische Region Weser-Ems,K034,1.86244880168706
2020 / 2015,Niedersachsen,K030,0.969167230485609
2020 / 2019,Braunschweig  Stadt,K03101,-0.33880500068162
2020 / 2019,Salzgitter  Stadt,K03102,-0.407513591776855
2020 / 2019,Wolfsburg  Stadt,K03103,-0.426948404370794
2020 / 2019,Gifhorn,K03151,0.398814885312396
2020 / 2019,Goslar,K03153,-1.1768849235465
2020 / 2019,Helmstedt,K03154,0.242067099685641
2020 / 2019,Northeim,K03155,-0.387799070189364
2020 / 2019,Peine,K03157,0.773733132543527
2020 / 2019,Wolfenbüttel,K03158,-0.218187289963385
2020 / 2019,Göttingen,K03159,-0.65666587944461
2020 / 2019,Statistische Region Braunschweig,K031,-0.272864810910078
2020 / 2019,Hannover  Region,K03241,-0.154262972997498
2020 / 2019,dav. Hannover  Lhst.,K03241001,-0.535642780649066
2020 / 2019,dav. Hannover  Umland,K03241999,0.175913832857673
2020 / 2019,Diepholz,K03251,0.452809677137027
2020 / 2019,Hameln-Pyrmont,K03252,2.08685349615278E-02
2020 / 2019,Hildesheim,K03254,-0.127983409289493
2020 / 2019,Holzminden,K03255,-0.356240597235232
2020 / 2019,Nienburg (Weser),K03256,0.210066727078013
2020 / 2019,Schaumburg,K03257,0.371309086300849
2020 / 2019,Statistische Region Hannover,K032,-2.48575809570448E-02
