Year,Staatsangehörigkeit,Erreichter Abschluss,Schulform,Value
2019,Deutsche,Allgemeine Hochschulreife2),Insgesamt,5152
2019,Deutsche,Fachhochschulreife,Insgesamt,11557
2019,Deutsche,Schulischer Teil der Fachhochschulreife,Insgesamt,990
2019,Deutsche,Realschulabschluss,Insgesamt,12611
2019,Deutsche,Hauptschulabschluss,Insgesamt,2753
2019,Deutsche,Erfolgreicher Besuch3),Insgesamt,44373
2019,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr4),Insgesamt,3371
2019,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,8491
2019,Deutsche,Insgesamt,Insgesamt,89298
2019,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,22021
2019,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,131
2019,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,445
2019,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Insgesamt,54
2019,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,1002
2019,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,1567
2019,Ausländerinnen und Ausländer,Erfolgreicher Besuch3),Insgesamt,2209
2019,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr4),Insgesamt,2953
2019,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,1351
2019,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,9712
2019,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,4115
2018,Deutsche,Fachhochschulreife,Insgesamt,12507
2018,Deutsche,Schulischer Teil der Fachhochschulreife,Insgesamt,1162
2018,Deutsche,Realschulabschluss,Insgesamt,13211
2018,Deutsche,Hauptschulabschluss,Insgesamt,2845
2018,Deutsche,Erfolgreicher Besuch3),Insgesamt,45797
2018,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr4),Insgesamt,3328
2018,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,9019
2018,Deutsche,Insgesamt,Insgesamt,93254
2018,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,22839
2018,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,180
2018,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,562
2018,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Insgesamt,50
2018,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,821
2018,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,1662
2018,Ausländerinnen und Ausländer,Erfolgreicher Besuch3),Insgesamt,2058
2018,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr4),Insgesamt,4343
2018,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,1352
2018,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,11028
2018,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,4212
2017,Deutsche,Allgemeine Hochschulreife2),Insgesamt,5844
2017,Deutsche,Fachhochschulreife,Insgesamt,13130
2017,Deutsche,Schulischer Teil der Fachhochschulreife,Insgesamt,1182
2017,Deutsche,Realschulabschluss,Insgesamt,15537
2017,Deutsche,Hauptschulabschluss,Insgesamt,2792
2017,Deutsche,Erfolgreicher Besuch3),Insgesamt,47119
2017,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr4),Insgesamt,3554
2017,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,9362
2017,Deutsche,Insgesamt,Insgesamt,98520
2017,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,23711
2017,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,168
2017,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,528
2017,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Insgesamt,62
2017,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,824
2017,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,955
2017,Ausländerinnen und Ausländer,Erfolgreicher Besuch3),Insgesamt,1895
2017,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr4),Insgesamt,5186
2017,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,1167
2017,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,10785
