Year,Gebietseinheit,Units,GeoCode
2005,"Braunschweig, Stadt",%,K03101
2005,"Salzgitter, Stadt",%,K03102
2005,"Wolfsburg, Stadt",%,K03103
2005,"Gifhorn",%,K03151
2005,"Goslar",%,K03153
2005,"Helmstedt",%,K03154
2005,"Northeim",%,K03155
2005,"Peine",%,K03157
2005,"Wolfenbüttel",%,K03158
2005,"Göttingen",%,K03159
2005,"Statistische Region Braunschweig",%,K031
2005,"Hannover  Region",%,K03241
2005,"dav. Hannover, Lhst.",%,K03241001
2005,"dav. Hannover, Umland",%,K03241999
2005,"Diepholz",%,K03251
2005,"Hameln-Pyrmont",%,K03252
2005,"Hildesheim",%,K03254
2005,"Holzminden",%,K03255
2005,"Nienburg (Weser)",%,K03256
2005,"Schaumburg",%,K03257
2005,"Statistische Region Hannover",%,K032
2005,"Celle",%,K03351
2005,"Cuxhaven",%,K03352
2005,"Harburg",%,K03353
2005,"Lüchow-Dannenberg",%,K03354
2005,"Lüneburg",%,K03355
2005,"Osterholz",%,K03356
2005,"Rotenburg (Wümme)",%,K03357
2005,"Heidekreis",%,K03358
2005,"Stade",%,K03359
2005,"Uelzen",%,K03360
2005,"Verden",%,K03361
2005,"Statistische Region Lüneburg",%,K033
2005,"Delmenhorst, Stadt",%,K03401
2005,"Emden  Stadt",%,K03402
2005,"Oldenburg(Oldb), Stadt",%,K03403
2005,"Osnabrück, Stadt",%,K03404
2005,"Wilhelmshaven, Stadt",%,K03405
2005,"Ammerland",%,K03451
2005,"Aurich",%,K03452
2005,"Cloppenburg",%,K03453
2005,"Emsland",%,K03454
2005,"Friesland",%,K03455
2005,"Grafschaft Bentheim",%,K03456
2005,"Leer",%,K03457
2005,"Oldenburg",%,K03458
2005,"Osnabrück",%,K03459
2005,"Vechta",%,K03460
2005,"Wesermarsch",%,K03461
2005,"Wittmund",%,K03462
2005,"Statistische Region Weser-Ems",%,K034
2005,"Niedersachsen",%,K030
2006,"Braunschweig, Stadt",%,K03101
2006,"Salzgitter, Stadt",%,K03102
2006,"Wolfsburg, Stadt",%,K03103
2006,"Gifhorn",%,K03151
2006,"Goslar",%,K03153
2006,"Helmstedt",%,K03154
2006,"Northeim",%,K03155
2006,"Peine",%,K03157
2006,"Wolfenbüttel",%,K03158
2006,"Göttingen",%,K03159
2006,"Statistische Region Braunschweig",%,K031
2006,"Hannover  Region",%,K03241
2006,"dav. Hannover, Lhst.",%,K03241001
2006,"dav. Hannover, Umland",%,K03241999
2006,"Diepholz",%,K03251
2006,"Hameln-Pyrmont",%,K03252
2006,"Hildesheim",%,K03254
2006,"Holzminden",%,K03255
2006,"Nienburg (Weser)",%,K03256
2006,"Schaumburg",%,K03257
2006,"Statistische Region Hannover",%,K032
2006,"Celle",%,K03351
2006,"Cuxhaven",%,K03352
2006,"Harburg",%,K03353
2006,"Lüchow-Dannenberg",%,K03354
2006,"Lüneburg",%,K03355
2006,"Osterholz",%,K03356
2006,"Rotenburg (Wümme)",%,K03357
2006,"Heidekreis",%,K03358
2006,"Stade",%,K03359
2006,"Uelzen",%,K03360
2006,"Verden",%,K03361
2006,"Statistische Region Lüneburg",%,K033
2006,"Delmenhorst, Stadt",%,K03401
2006,"Emden  Stadt",%,K03402
2006,"Oldenburg(Oldb), Stadt",%,K03403
2006,"Osnabrück, Stadt",%,K03404
2006,"Wilhelmshaven, Stadt",%,K03405
2006,"Ammerland",%,K03451
2006,"Aurich",%,K03452
2006,"Cloppenburg",%,K03453
2006,"Emsland",%,K03454
2006,"Friesland",%,K03455
2006,"Grafschaft Bentheim",%,K03456
2006,"Leer",%,K03457
2006,"Oldenburg",%,K03458
2006,"Osnabrück",%,K03459
2006,"Vechta",%,K03460
2006,"Wesermarsch",%,K03461
2006,"Wittmund",%,K03462
2006,"Statistische Region Weser-Ems",%,K034
2006,"Niedersachsen",%,K030
2007,"Braunschweig, Stadt",%,K03101
2007,"Salzgitter, Stadt",%,K03102
2007,"Wolfsburg, Stadt",%,K03103
2007,"Gifhorn",%,K03151
2007,"Goslar",%,K03153
2007,"Helmstedt",%,K03154
2007,"Northeim",%,K03155
2007,"Peine",%,K03157
2007,"Wolfenbüttel",%,K03158
2007,"Göttingen",%,K03159
2007,"Statistische Region Braunschweig",%,K031
2007,"Hannover  Region",%,K03241
2007,"dav. Hannover, Lhst.",%,K03241001
2007,"dav. Hannover, Umland",%,K03241999
2007,"Diepholz",%,K03251
2007,"Hameln-Pyrmont",%,K03252
2007,"Hildesheim",%,K03254
2007,"Holzminden",%,K03255
2007,"Nienburg (Weser)",%,K03256
2007,"Schaumburg",%,K03257
2007,"Statistische Region Hannover",%,K032
2007,"Celle",%,K03351
2007,"Cuxhaven",%,K03352
2007,"Harburg",%,K03353
2007,"Lüchow-Dannenberg",%,K03354
2007,"Lüneburg",%,K03355
2007,"Osterholz",%,K03356
2007,"Rotenburg (Wümme)",%,K03357
2007,"Heidekreis",%,K03358
2007,"Stade",%,K03359
2007,"Uelzen",%,K03360
2007,"Verden",%,K03361
2007,"Statistische Region Lüneburg",%,K033
2007,"Delmenhorst, Stadt",%,K03401
2007,"Emden  Stadt",%,K03402
2007,"Oldenburg(Oldb), Stadt",%,K03403
2007,"Osnabrück, Stadt",%,K03404
2007,"Wilhelmshaven, Stadt",%,K03405
2007,"Ammerland",%,K03451
2007,"Aurich",%,K03452
2007,"Cloppenburg",%,K03453
2007,"Emsland",%,K03454
2007,"Friesland",%,K03455
2007,"Grafschaft Bentheim",%,K03456
2007,"Leer",%,K03457
2007,"Oldenburg",%,K03458
2007,"Osnabrück",%,K03459
2007,"Vechta",%,K03460
2007,"Wesermarsch",%,K03461
2007,"Wittmund",%,K03462
2007,"Statistische Region Weser-Ems",%,K034
2007,"Niedersachsen",%,K030
2008,"Braunschweig, Stadt",%,K03101
2008,"Salzgitter, Stadt",%,K03102
2008,"Wolfsburg, Stadt",%,K03103
2008,"Gifhorn",%,K03151
2008,"Goslar",%,K03153
2008,"Helmstedt",%,K03154
2008,"Northeim",%,K03155
2008,"Peine",%,K03157
2008,"Wolfenbüttel",%,K03158
2008,"Göttingen",%,K03159
2008,"Statistische Region Braunschweig",%,K031
2008,"Hannover  Region",%,K03241
2008,"dav. Hannover, Lhst.",%,K03241001
2008,"dav. Hannover, Umland",%,K03241999
2008,"Diepholz",%,K03251
2008,"Hameln-Pyrmont",%,K03252
2008,"Hildesheim",%,K03254
2008,"Holzminden",%,K03255
2008,"Nienburg (Weser)",%,K03256
2008,"Schaumburg",%,K03257
2008,"Statistische Region Hannover",%,K032
2008,"Celle",%,K03351
2008,"Cuxhaven",%,K03352
2008,"Harburg",%,K03353
2008,"Lüchow-Dannenberg",%,K03354
2008,"Lüneburg",%,K03355
2008,"Osterholz",%,K03356
2008,"Rotenburg (Wümme)",%,K03357
2008,"Heidekreis",%,K03358
2008,"Stade",%,K03359
2008,"Uelzen",%,K03360
2008,"Verden",%,K03361
2008,"Statistische Region Lüneburg",%,K033
2008,"Delmenhorst, Stadt",%,K03401
2008,"Emden  Stadt",%,K03402
2008,"Oldenburg(Oldb), Stadt",%,K03403
2008,"Osnabrück, Stadt",%,K03404
2008,"Wilhelmshaven, Stadt",%,K03405
2008,"Ammerland",%,K03451
2008,"Aurich",%,K03452
2008,"Cloppenburg",%,K03453
2008,"Emsland",%,K03454
2008,"Friesland",%,K03455
2008,"Grafschaft Bentheim",%,K03456
2008,"Leer",%,K03457
2008,"Oldenburg",%,K03458
2008,"Osnabrück",%,K03459
2008,"Vechta",%,K03460
2008,"Wesermarsch",%,K03461
2008,"Wittmund",%,K03462
2008,"Statistische Region Weser-Ems",%,K034
2008,"Niedersachsen",%,K030
2009,"Braunschweig, Stadt",%,K03101
2009,"Salzgitter, Stadt",%,K03102
2009,"Wolfsburg, Stadt",%,K03103
2009,"Gifhorn",%,K03151
2009,"Goslar",%,K03153
2009,"Helmstedt",%,K03154
2009,"Northeim",%,K03155
2009,"Peine",%,K03157
2009,"Wolfenbüttel",%,K03158
2009,"Göttingen",%,K03159
2009,"Statistische Region Braunschweig",%,K031
2009,"Hannover  Region",%,K03241
2009,"dav. Hannover, Lhst.",%,K03241001
2009,"dav. Hannover, Umland",%,K03241999
2009,"Diepholz",%,K03251
2009,"Hameln-Pyrmont",%,K03252
2009,"Hildesheim",%,K03254
2009,"Holzminden",%,K03255
