AGS,Year,Gebietseinheit,Aufenthaltsdauer,Geschlecht,GeoCode,Value
101,2024,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,2610
102,2024,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,1410
103,2024,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,1575
151,2024,"Gifhorn",unter 1,Insgesamt,K03151,1130
153,2024,"Goslar",unter 1,Insgesamt,K03153,2035
154,2024,"Helmstedt",unter 1,Insgesamt,K03154,660
155,2024,"Northeim",unter 1,Insgesamt,K03155,835
157,2024,"Peine",unter 1,Insgesamt,K03157,1195
158,2024,"Wolfenbüttel",unter 1,Insgesamt,K03158,680
159,2024,"Göttingen",unter 1,Insgesamt,K03159,3060
1,2024,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,15190
241,2024,"Region Hannover",unter 1,Insgesamt,K03241,9235
241001,2024,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,4435
241999,2024,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,4800
251,2024,"Diepholz",unter 1,Insgesamt,K03251,2105
252,2024,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,1235
254,2024,"Hildesheim",unter 1,Insgesamt,K03254,2075
255,2024,"Holzminden",unter 1,Insgesamt,K03255,435
256,2024,"Nienburg (Weser)",unter 1,Insgesamt,K03256,815
257,2024,"Schaumburg",unter 1,Insgesamt,K03257,1215
2,2024,"Statistische Region Hannover",unter 1,Insgesamt,K032,17110
351,2024,"Celle",unter 1,Insgesamt,K03351,1165
352,2024,"Cuxhaven",unter 1,Insgesamt,K03352,1135
353,2024,"Harburg",unter 1,Insgesamt,K03353,2690
354,2024,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,260
355,2024,"Lüneburg",unter 1,Insgesamt,K03355,1310
356,2024,"Osterholz",unter 1,Insgesamt,K03356,520
357,2024,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,1360
358,2024,"Heidekreis",unter 1,Insgesamt,K03358,1155
359,2024,"Stade",unter 1,Insgesamt,K03359,1740
360,2024,"Uelzen",unter 1,Insgesamt,K03360,535
361,2024,"Verden",unter 1,Insgesamt,K03361,1125
3,2024,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,12990
401,2024,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,940
402,2024,"Emden, Stadt",unter 1,Insgesamt,K03402,570
403,2024,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,1530
404,2024,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,1815
405,2024,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,975
451,2024,"Ammerland",unter 1,Insgesamt,K03451,670
452,2024,"Aurich",unter 1,Insgesamt,K03452,1340
453,2024,"Cloppenburg",unter 1,Insgesamt,K03453,2275
454,2024,"Emsland",unter 1,Insgesamt,K03454,4550
455,2024,"Friesland",unter 1,Insgesamt,K03455,440
456,2024,"Grafschaft Bentheim",unter 1,Insgesamt,K03456,1650
457,2024,"Leer",unter 1,Insgesamt,K03457,1495
458,2024,"Oldenburg",unter 1,Insgesamt,K03458,1345
459,2024,"Osnabrück",unter 1,Insgesamt,K03459,2475
460,2024,"Vechta",unter 1,Insgesamt,K03460,1900
461,2024,"Wesermarsch",unter 1,Insgesamt,K03461,785
462,2024,"Wittmund",unter 1,Insgesamt,K03462,400
4,2024,"Statistische Region Weser-Ems",unter 1,Insgesamt,K034,25160
0,2024,"Niedersachsen",unter 1,Insgesamt,,70455
101,2024,"Braunschweig, Stadt",1 - 4,Insgesamt,K03101,9855
102,2024,"Salzgitter, Stadt",1 - 4,Insgesamt,K03102,5215
103,2024,"Wolfsburg, Stadt",1 - 4,Insgesamt,K03103,6710
151,2024,"Gifhorn",1 - 4,Insgesamt,K03151,4945
153,2024,"Goslar",1 - 4,Insgesamt,K03153,5450
154,2024,"Helmstedt",1 - 4,Insgesamt,K03154,2895
155,2024,"Northeim",1 - 4,Insgesamt,K03155,4905
