Migration und Teilhabe in Niedersachsen - Integrationsmonitoring 2021,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value,Value_2
2005,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,352,352
2005,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,68,68
2005,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,91,91
2005,"Gifhorn",Ukraine,Anzahl,K03151,96,96
2005,"Goslar",Ukraine,Anzahl,K03153,92,92
2005,"Helmstedt",Ukraine,Anzahl,K03154,45,45
2005,"Northeim",Ukraine,Anzahl,K03155,59,59
2005,"Peine",Ukraine,Anzahl,K03157,37,37
2005,"Wolfenbüttel",Ukraine,Anzahl,K03158,53,53
2005,"Göttingen",Ukraine,Anzahl,K03159,528,528
2005,"Statistische Region Braunschweig",Ukraine,Anzahl,K031,1421,1421
2005,"Region Hannover",Ukraine,Anzahl,K03241,5859,5859
2005,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,4768,4768
2005,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,1091,1091
2005,"Diepholz",Ukraine,Anzahl,K03251,118,118
2005,"Hameln-Pyrmont",Ukraine,Anzahl,K03252,508,508
2005,"Hildesheim",Ukraine,Anzahl,K03254,188,188
2005,"Holzminden",Ukraine,Anzahl,K03255,23,23
2005,"Nienburg (Weser)",Ukraine,Anzahl,K03256,58,58
2005,"Schaumburg",Ukraine,Anzahl,K03257,109,109
2005,"Statistische Region Hannover",Ukraine,Anzahl,K032,6863,6863
2005,"Celle",Ukraine,Anzahl,K03351,113,113
2005,"Cuxhaven",Ukraine,Anzahl,K03352,67,67
2005,"Harburg",Ukraine,Anzahl,K03353,123,123
2005,"Lüchow-Dannenberg",Ukraine,Anzahl,K03354,20,20
2005,"Lüneburg",Ukraine,Anzahl,K03355,88,88
2005,"Osterholz",Ukraine,Anzahl,K03356,52,52
2005,"Rotenburg (Wümme)",Ukraine,Anzahl,K03357,77,77
2005,"Heidekreis",Ukraine,Anzahl,K03358,91,91
2005,"Stade",Ukraine,Anzahl,K03359,109,109
2005,"Uelzen",Ukraine,Anzahl,K03360,33,33
2005,"Verden",Ukraine,Anzahl,K03361,64,64
2005,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,837,837
2005,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,270,270
2005,"Emden, Stadt",Ukraine,Anzahl,K03402,32,32
2005,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,247,247
2005,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,952,952
2005,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,54,54
2005,"Ammerland",Ukraine,Anzahl,K03451,32,32
2005,"Aurich",Ukraine,Anzahl,K03452,39,39
2005,"Cloppenburg",Ukraine,Anzahl,K03453,105,105
2005,"Emsland",Ukraine,Anzahl,K03454,122,122
2005,"Friesland",Ukraine,Anzahl,K03455,27,27
