Year,Series,Land der Staatsangehörigkeit,Geschlecht,Units,GeoCode,Value
2005,Alle Länder,Albanien,insgesamt,Anzahl,W121,913
2005,Alle Länder,Bosnien-Herzegowina,insgesamt,Anzahl,W122,6463
2005,Alle Länder,Andorra,insgesamt,Anzahl,W123,0
2005,Alle Länder,Belgien,insgesamt,Anzahl,W124,982
2005,Alle Länder,Bulgarien,insgesamt,Anzahl,W125,1906
2005,Alle Länder,Dänemark,insgesamt,Anzahl,W126,1576
2005,Alle Länder,Estland,insgesamt,Anzahl,W127,305
2005,Alle Länder,Finnland,insgesamt,Anzahl,W128,1110
2005,Alle Länder,Frankreich,insgesamt,Anzahl,W129,3892
2005,Alle Länder,Kroatien,insgesamt,Anzahl,W130,6466
2005,Alle Länder,Slowenien,insgesamt,Anzahl,W131,433
2005,Alle Länder,"Serbien u.Montenegro, Ehem.Jugoslawien",insgesamt,Anzahl,W132,37396
2005,Alle Länder,"Serbien (2006,2007)",insgesamt,Anzahl,W133,0
2005,Alle Länder,Griechenland,insgesamt,Anzahl,W134,16107
2005,Alle Länder,Irland,insgesamt,Anzahl,W135,500
2005,Alle Länder,Island,insgesamt,Anzahl,W136,141
2005,Alle Länder,Italien,insgesamt,Anzahl,W137,23943
2005,Alle Länder,Lettland,insgesamt,Anzahl,W139,1050
2005,Alle Länder,Montenegro,insgesamt,Anzahl,W140,0
2005,Alle Länder,Liechtenstein,insgesamt,Anzahl,W141,0
2005,Alle Länder,Litauen,insgesamt,Anzahl,W142,2052
2005,Alle Länder,Luxemburg,insgesamt,Anzahl,W143,150
2005,Alle Länder,Mazedonien,insgesamt,Anzahl,W144,2634
2005,Alle Länder,Malta,insgesamt,Anzahl,W145,0
2005,Alle Länder,"Moldau, Republik",insgesamt,Anzahl,W146,1087
2005,Alle Länder,Monaco,insgesamt,Anzahl,W147,2
2005,Alle Länder,Niederlande,insgesamt,Anzahl,W148,22334
2005,Alle Länder,Norwegen,insgesamt,Anzahl,W149,537
2005,Alle Länder,Kosovo,insgesamt,Anzahl,W150,0
2005,Alle Länder,Österreich,insgesamt,Anzahl,W151,6222
2005,Alle Länder,Polen,insgesamt,Anzahl,W152,32413
2005,Alle Länder,Portugal,insgesamt,Anzahl,W153,7248
2005,Alle Länder,Rumänien,insgesamt,Anzahl,W154,3382
2005,Alle Länder,Slowakei,insgesamt,Anzahl,W155,868
2005,Alle Länder,San Marino,insgesamt,Anzahl,W156,0
2005,Alle Länder,Schweden,insgesamt,Anzahl,W157,1288
2005,Alle Länder,Schweiz,insgesamt,Anzahl,W158,2211
2005,Alle Länder,Sowjetunion,insgesamt,Anzahl,W159,341
2005,Alle Länder,Russische Föderation,insgesamt,Anzahl,W160,18273
2005,Alle Länder,Spanien,insgesamt,Anzahl,W161,9376
2005,Alle Länder,Tschechoslowakei,insgesamt,Anzahl,W162,245
2005,Alle Länder,Türkei,insgesamt,Anzahl,W163,111598
2005,Alle Länder,Tschechische Republik,insgesamt,Anzahl,W164,1352
2005,Alle Länder,Ungarn,insgesamt,Anzahl,W165,2287
2005,Alle Länder,Ukraine,insgesamt,Anzahl,W166,11612
2005,Alle Länder,Vatikanstadt,insgesamt,Anzahl,W167,0
2005,Alle Länder,Vereinigtes Königreich und Nordirland,insgesamt,Anzahl,W168,10362
2005,Alle Länder,Weißrußland (Belarus),insgesamt,Anzahl,W169,1593
2005,Alle Länder,"Serbien ",insgesamt,Anzahl,W170,0
2005,Alle Länder,Zypern,insgesamt,Anzahl,W181,50
2005,Alle Länder,Britische Überseegebiete,insgesamt,Anzahl,W185,0
2005,Alle Länder,Britisch abhängige Gebiete in Europa,insgesamt,Anzahl,W195,0
2005,Alle Länder,übriges Europa,insgesamt,Anzahl,W199,54
2005,Alle Länder,Algerien,insgesamt,Anzahl,W221,652
2005,Alle Länder,Angola,insgesamt,Anzahl,W223,478
2005,Alle Länder,Eritrea,insgesamt,Anzahl,W224,106
2005,Alle Länder,Äthiopien,insgesamt,Anzahl,W225,238
2005,Alle Länder,Lesotho,insgesamt,Anzahl,W226,0
2005,Alle Länder,Botsuana,insgesamt,Anzahl,W227,0
2005,Alle Länder,Benin,insgesamt,Anzahl,W229,60
2005,Alle Länder,Dschibuti,insgesamt,Anzahl,W230,0
2005,Alle Länder,Cote D´Ivoire,insgesamt,Anzahl,W231,300
2005,Alle Länder,Nigeria,insgesamt,Anzahl,W232,1016
2005,Alle Länder,Simbabwe,insgesamt,Anzahl,W233,0
2005,Alle Länder,Gabun,insgesamt,Anzahl,W236,0
2005,Alle Länder,Gambia,insgesamt,Anzahl,W237,326
2005,Alle Länder,Ghana,insgesamt,Anzahl,W238,1159
2005,Alle Länder,Mauretanien,insgesamt,Anzahl,W239,0
2005,Alle Länder,Kap Verde,insgesamt,Anzahl,W242,0
2005,Alle Länder,Kenia,insgesamt,Anzahl,W243,391
2005,Alle Länder,Komoren,insgesamt,Anzahl,W244,0
2005,Alle Länder,Kongo,insgesamt,Anzahl,W245,0
2005,Alle Länder,"Kongo, Demokratische Volksrepublik",insgesamt,Anzahl,W246,622
2005,Alle Länder,Liberia,insgesamt,Anzahl,W247,151
2005,Alle Länder,Libysch-Arabische Dschamahirija,insgesamt,Anzahl,W248,0
2005,Alle Länder,Madagaskar,insgesamt,Anzahl,W249,0
2005,Alle Länder,Mali,insgesamt,Anzahl,W251,0
2005,Alle Länder,Marokko,insgesamt,Anzahl,W252,1397
2005,Alle Länder,Mauritius,insgesamt,Anzahl,W253,0
2005,Alle Länder,Mosambik,insgesamt,Anzahl,W254,0
2005,Alle Länder,Niger,insgesamt,Anzahl,W255,0
2005,Alle Länder,Malawi,insgesamt,Anzahl,W256,0
2005,Alle Länder,Sambia,insgesamt,Anzahl,W257,0
2005,Alle Länder,Burkina-Faso,insgesamt,Anzahl,W258,71
2005,Alle Länder,Guinea-Bissau,insgesamt,Anzahl,W259,0
2005,Alle Länder,Guinea,insgesamt,Anzahl,W261,0
2005,Alle Länder,Kamerun,insgesamt,Anzahl,W262,1155
2005,Alle Länder,Südafrika,insgesamt,Anzahl,W263,400
2005,Alle Länder,Ruanda,insgesamt,Anzahl,W265,0
2005,Alle Länder,Namibia,insgesamt,Anzahl,W267,0
