AGS,Year,Nationalität,Gebietseinheit,GeoCode,Value
101,2005,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,84
102,2005,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,41
103,2005,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,42
151,2005,Ausländerinnen und Ausländer,"Gifhorn",K03151,12
153,2005,Ausländerinnen und Ausländer,"Goslar",K03153,44
154,2005,Ausländerinnen und Ausländer,"Helmstedt",K03154,20
155,2005,Ausländerinnen und Ausländer,"Northeim",K03155,41
157,2005,Ausländerinnen und Ausländer,"Peine",K03157,38
158,2005,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,18
159,2005,Ausländerinnen und Ausländer,"Göttingen",K03159,128
1,2005,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,468
241,2005,Ausländerinnen und Ausländer,"Hannover  Region",K03241,404
241001,2005,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,270
241999,2005,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,134
251,2005,Ausländerinnen und Ausländer,"Diepholz",K03251,50
252,2005,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,35
254,2005,Ausländerinnen und Ausländer,"Hildesheim",K03254,118
255,2005,Ausländerinnen und Ausländer,"Holzminden",K03255,13
256,2005,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,48
257,2005,Ausländerinnen und Ausländer,"Schaumburg",K03257,33
2,2005,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,701
351,2005,Ausländerinnen und Ausländer,"Celle",K03351,40
352,2005,Ausländerinnen und Ausländer,"Cuxhaven",K03352,45
353,2005,Ausländerinnen und Ausländer,"Harburg",K03353,55
354,2005,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,5
355,2005,Ausländerinnen und Ausländer,"Lüneburg",K03355,42
356,2005,Ausländerinnen und Ausländer,"Osterholz",K03356,42
357,2005,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,37
358,2005,Ausländerinnen und Ausländer,"Heidekreis",K03358,42
359,2005,Ausländerinnen und Ausländer,"Stade",K03359,43
360,2005,Ausländerinnen und Ausländer,"Uelzen",K03360,28
361,2005,Ausländerinnen und Ausländer,"Verden",K03361,44
3,2005,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,423
401,2005,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,18
402,2005,Ausländerinnen und Ausländer,"Emden  Stadt",K03402,14
403,2005,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,101
404,2005,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,60
405,2005,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,26
451,2005,Ausländerinnen und Ausländer,"Ammerland",K03451,14
452,2005,Ausländerinnen und Ausländer,"Aurich",K03452,43
453,2005,Ausländerinnen und Ausländer,"Cloppenburg",K03453,32
454,2005,Ausländerinnen und Ausländer,"Emsland",K03454,87
455,2005,Ausländerinnen und Ausländer,"Friesland",K03455,17
456,2005,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,57
457,2005,Ausländerinnen und Ausländer,"Leer",K03457,35
458,2005,Ausländerinnen und Ausländer,"Oldenburg",K03458,28
459,2005,Ausländerinnen und Ausländer,"Osnabrück",K03459,61
460,2005,Ausländerinnen und Ausländer,"Vechta",K03460,86
461,2005,Ausländerinnen und Ausländer,"Wesermarsch",K03461,17
462,2005,Ausländerinnen und Ausländer,"Wittmund",K03462,16
4,2005,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,712
0,2005,Ausländerinnen und Ausländer,"Niedersachsen",K030,2304
101,2006,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,72
102,2006,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,37
103,2006,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,49
151,2006,Ausländerinnen und Ausländer,"Gifhorn",K03151,8
153,2006,Ausländerinnen und Ausländer,"Goslar",K03153,44
154,2006,Ausländerinnen und Ausländer,"Helmstedt",K03154,12
155,2006,Ausländerinnen und Ausländer,"Northeim",K03155,40
157,2006,Ausländerinnen und Ausländer,"Peine",K03157,29
158,2006,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,19
159,2006,Ausländerinnen und Ausländer,"Göttingen",K03159,114
1,2006,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,424
241,2006,Ausländerinnen und Ausländer,"Hannover  Region",K03241,467
241001,2006,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,293
241999,2006,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,174
251,2006,Ausländerinnen und Ausländer,"Diepholz",K03251,48
252,2006,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,64
254,2006,Ausländerinnen und Ausländer,"Hildesheim",K03254,107
255,2006,Ausländerinnen und Ausländer,"Holzminden",K03255,16
256,2006,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,36
257,2006,Ausländerinnen und Ausländer,"Schaumburg",K03257,33
2,2006,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,771
351,2006,Ausländerinnen und Ausländer,"Celle",K03351,29
352,2006,Ausländerinnen und Ausländer,"Cuxhaven",K03352,44
353,2006,Ausländerinnen und Ausländer,"Harburg",K03353,47
354,2006,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,10
355,2006,Ausländerinnen und Ausländer,"Lüneburg",K03355,29
356,2006,Ausländerinnen und Ausländer,"Osterholz",K03356,28
357,2006,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,41
358,2006,Ausländerinnen und Ausländer,"Heidekreis",K03358,40
359,2006,Ausländerinnen und Ausländer,"Stade",K03359,50
360,2006,Ausländerinnen und Ausländer,"Uelzen",K03360,25
361,2006,Ausländerinnen und Ausländer,"Verden",K03361,28
3,2006,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,371
401,2006,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,16
402,2006,Ausländerinnen und Ausländer,"Emden  Stadt",K03402,15
403,2006,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,97
404,2006,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,80
405,2006,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,22
451,2006,Ausländerinnen und Ausländer,"Ammerland",K03451,16
452,2006,Ausländerinnen und Ausländer,"Aurich",K03452,37
453,2006,Ausländerinnen und Ausländer,"Cloppenburg",K03453,20
454,2006,Ausländerinnen und Ausländer,"Emsland",K03454,81
455,2006,Ausländerinnen und Ausländer,"Friesland",K03455,19
456,2006,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,86
457,2006,Ausländerinnen und Ausländer,"Leer",K03457,23
458,2006,Ausländerinnen und Ausländer,"Oldenburg",K03458,15
459,2006,Ausländerinnen und Ausländer,"Osnabrück",K03459,59
460,2006,Ausländerinnen und Ausländer,"Vechta",K03460,92
461,2006,Ausländerinnen und Ausländer,"Wesermarsch",K03461,16
462,2006,Ausländerinnen und Ausländer,"Wittmund",K03462,14
4,2006,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,708
0,2006,Ausländerinnen und Ausländer,"Niedersachsen",K030,2274
101,2007,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,82
102,2007,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,32
103,2007,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,43
151,2007,Ausländerinnen und Ausländer,"Gifhorn",K03151,11
153,2007,Ausländerinnen und Ausländer,"Goslar",K03153,28
154,2007,Ausländerinnen und Ausländer,"Helmstedt",K03154,15
155,2007,Ausländerinnen und Ausländer,"Northeim",K03155,49
157,2007,Ausländerinnen und Ausländer,"Peine",K03157,27
158,2007,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,26
159,2007,Ausländerinnen und Ausländer,"Göttingen",K03159,113
1,2007,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,426
241,2007,Ausländerinnen und Ausländer,"Hannover  Region",K03241,421
241001,2007,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,262
241999,2007,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,159
251,2007,Ausländerinnen und Ausländer,"Diepholz",K03251,43
252,2007,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,66
254,2007,Ausländerinnen und Ausländer,"Hildesheim",K03254,111
255,2007,Ausländerinnen und Ausländer,"Holzminden",K03255,18
256,2007,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,29
257,2007,Ausländerinnen und Ausländer,"Schaumburg",K03257,47
2,2007,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,735
351,2007,Ausländerinnen und Ausländer,"Celle",K03351,35
352,2007,Ausländerinnen und Ausländer,"Cuxhaven",K03352,49
353,2007,Ausländerinnen und Ausländer,"Harburg",K03353,60
354,2007,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,10
355,2007,Ausländerinnen und Ausländer,"Lüneburg",K03355,33
356,2007,Ausländerinnen und Ausländer,"Osterholz",K03356,29
357,2007,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,38
358,2007,Ausländerinnen und Ausländer,"Heidekreis",K03358,23
359,2007,Ausländerinnen und Ausländer,"Stade",K03359,31
360,2007,Ausländerinnen und Ausländer,"Uelzen",K03360,20
361,2007,Ausländerinnen und Ausländer,"Verden",K03361,46
3,2007,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,374
401,2007,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,28
402,2007,Ausländerinnen und Ausländer,"Emden  Stadt",K03402,16
403,2007,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,95
404,2007,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,75
405,2007,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,16
451,2007,Ausländerinnen und Ausländer,"Ammerland",K03451,20
452,2007,Ausländerinnen und Ausländer,"Aurich",K03452,60
453,2007,Ausländerinnen und Ausländer,"Cloppenburg",K03453,44
454,2007,Ausländerinnen und Ausländer,"Emsland",K03454,89
455,2007,Ausländerinnen und Ausländer,"Friesland",K03455,18
456,2007,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,109
457,2007,Ausländerinnen und Ausländer,"Leer",K03457,40
458,2007,Ausländerinnen und Ausländer,"Oldenburg",K03458,30
459,2007,Ausländerinnen und Ausländer,"Osnabrück",K03459,87
460,2007,Ausländerinnen und Ausländer,"Vechta",K03460,86
461,2007,Ausländerinnen und Ausländer,"Wesermarsch",K03461,28
462,2007,Ausländerinnen und Ausländer,"Wittmund",K03462,9
4,2007,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,850
0,2007,Ausländerinnen und Ausländer,"Niedersachsen",K030,2385
101,2008,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,67
102,2008,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,32
103,2008,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,50
151,2008,Ausländerinnen und Ausländer,"Gifhorn",K03151,34
153,2008,Ausländerinnen und Ausländer,"Goslar",K03153,39
154,2008,Ausländerinnen und Ausländer,"Helmstedt",K03154,16
155,2008,Ausländerinnen und Ausländer,"Northeim",K03155,55
157,2008,Ausländerinnen und Ausländer,"Peine",K03157,28
158,2008,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,9
159,2008,Ausländerinnen und Ausländer,"Göttingen",K03159,117
1,2008,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,447
241,2008,Ausländerinnen und Ausländer,"Hannover  Region",K03241,395
241001,2008,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,237
241999,2008,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,158
251,2008,Ausländerinnen und Ausländer,"Diepholz",K03251,61
252,2008,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,75
254,2008,Ausländerinnen und Ausländer,"Hildesheim",K03254,109
255,2008,Ausländerinnen und Ausländer,"Holzminden",K03255,10
256,2008,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,34
257,2008,Ausländerinnen und Ausländer,"Schaumburg",K03257,50
2,2008,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,734
351,2008,Ausländerinnen und Ausländer,"Celle",K03351,33
352,2008,Ausländerinnen und Ausländer,"Cuxhaven",K03352,44
353,2008,Ausländerinnen und Ausländer,"Harburg",K03353,62
354,2008,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,3
355,2008,Ausländerinnen und Ausländer,"Lüneburg",K03355,21
