Year,Gebietseinheit,Migrationshintergrund,Geocode,Value
2019,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,74,4
2019,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,64,26
2019,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,61,77
2019,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,73,25
2019,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,80,88
2019,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84,08
2019,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,83,72
2019,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,79,71
2019,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,83,02
2019,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84,49
2019,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77,45
2019,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69,54
2019,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,62,68
2019,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,75,5
2019,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,82,58
2019,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,73,38
2019,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,77,18
2019,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,79,79
2019,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,73,78
2019,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,81,5
2019,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,73,58
2019,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,80,7
2019,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84,38
2019,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,78,9
2019,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,83,76
2019,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,83,34
2019,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,85,75
2019,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,84,62
2019,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,78,22
2019,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,82,22
2019,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,14
2019,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,82,02
2019,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66,11
2019,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,82,91
2019,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,82,6
2019,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,70,6
2019,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,75,69
2019,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,83,66
2019,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,86,97
2019,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,70,33
2019,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,77,35
2019,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,88,57
2019,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,72,18
2019,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,84,28
2019,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,76,75
2019,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,65,45
2019,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,86,88
2019,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78,37
2019,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77,68
2018,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,73,93
