Year,Altersgruppe,Units,Geschlecht,Value
2019,0 – 3,in 1000,Männlich,41.17448
2019,3 – 6,in 1000,Männlich,38.46384
2019,6 – 15,in 1000,Männlich,117.68768
2019,15 – 20,in 1000,Männlich,62.02948
2019,20 – 40,in 1000,Männlich,293.56019
2019,40 – 65,in 1000,Männlich,272.82487
2019,65 – 80,in 1000,Männlich,63.22189
2019,80 und älter,in 1000,Männlich,12.31427
2019,Insgesamt,in 1000,Männlich,901.27669
2018,0 – 3,in 1000,Männlich,39.06125
2018,3 – 6,in 1000,Männlich,36.04102
2018,6 – 15,in 1000,Männlich,116.42134
2018,15 – 20,in 1000,Männlich,59.58151
2018,20 – 40,in 1000,Männlich,299.2321
2018,40 – 65,in 1000,Männlich,265.2847
2018,65 – 80,in 1000,Männlich,64.1912
2018,80 und älter,in 1000,Männlich,10.58344
2018,Insgesamt,in 1000,Männlich,890.39656
2017,0 – 3,in 1000,Männlich,40.11215
2017,3 – 6,in 1000,Männlich,36.38889
2017,6 – 15,in 1000,Männlich,116.34834
2017,15 – 20,in 1000,Männlich,65.22342
2017,20 – 40,in 1000,Männlich,280.37849
2017,40 – 65,in 1000,Männlich,252.68516
2017,65 – 80,in 1000,Männlich,59.82807
2017,80 und älter,in 1000,Männlich,13.96052
2017,Insgesamt,in 1000,Männlich,864.92504
2016,0 – 3,in 1000,Männlich,39.5
2016,3 – 6,in 1000,Männlich,39.4
2016,6 – 15,in 1000,Männlich,107.3
2016,15 – 20,in 1000,Männlich,59.3
2016,20 – 40,in 1000,Männlich,256.4
2016,40 – 65,in 1000,Männlich,241.4
2016,65 – 80,in 1000,Männlich,55.1
2016,80 und älter,in 1000,Männlich,13
2016,Insgesamt,in 1000,Männlich,811.4
2015,0 – 3,in 1000,Männlich,36.3
2015,3 – 6,in 1000,Männlich,31.9
2015,6 – 15,in 1000,Männlich,98.1
2015,15 – 20,in 1000,Männlich,52.4
2015,20 – 40,in 1000,Männlich,208.3
2015,40 – 65,in 1000,Männlich,218.7
2015,65 – 80,in 1000,Männlich,56.3
2015,80 und älter,in 1000,Männlich,10.1
2015,Insgesamt,in 1000,Männlich,712.1
2014,0 – 3,in 1000,Männlich,32.1
2014,3 – 6,in 1000,Männlich,30.2
2014,6 – 15,in 1000,Männlich,97.1
2014,15 – 20,in 1000,Männlich,49.9
2014,20 – 40,in 1000,Männlich,198.2
2014,40 – 65,in 1000,Männlich,209.1
2014,65 – 80,in 1000,Männlich,55.8
2014,80 und älter,in 1000,Männlich,9.4
2014,Insgesamt,in 1000,Männlich,681.7
2013,0 – 3,in 1000,Männlich,32.5
2013,3 – 6,in 1000,Männlich,32.7
2013,6 – 15,in 1000,Männlich,91.6
2013,15 – 20,in 1000,Männlich,48.3
2013,20 – 40,in 1000,Männlich,201.8
2013,40 – 65,in 1000,Männlich,210.1
2013,65 – 80,in 1000,Männlich,53.1
2013,80 und älter,in 1000,Männlich,8.6
2013,Insgesamt,in 1000,Männlich,678.7
2012,0 – 3,in 1000,Männlich,29.1
2012,3 – 6,in 1000,Männlich,32.7
2012,6 – 15,in 1000,Männlich,98.5
2012,15 – 20,in 1000,Männlich,54
2012,20 – 40,in 1000,Männlich,213
2012,40 – 65,in 1000,Männlich,217.6
2012,65 – 80,in 1000,Männlich,57.5
2012,80 und älter,in 1000,Männlich,9.2
2012,Insgesamt,in 1000,Männlich,711.7
2011,0 – 3,in 1000,Männlich,31.3
2011,3 – 6,in 1000,Männlich,28.1
2011,6 – 15,in 1000,Männlich,99.4
2011,15 – 20,in 1000,Männlich,53.6
2011,20 – 40,in 1000,Männlich,211.9
2011,40 – 65,in 1000,Männlich,209.4
2011,65 – 80,in 1000,Männlich,55
2011,80 und älter,in 1000,Männlich,8.7
2011,Insgesamt,in 1000,Männlich,697.3
2010,0 – 3,in 1000,Männlich,29643.8
2010,3 – 6,in 1000,Männlich,34164.18
2010,6 – 15,in 1000,Männlich,91291.25
2010,15 – 20,in 1000,Männlich,52348.7
2010,20 – 40,in 1000,Männlich,200935.84
2010,40 – 65,in 1000,Männlich,209070.29
2010,65 – 80,in 1000,Männlich,49345.26
2010,80 und älter,in 1000,Männlich,8480.54
2010,Insgesamt,in 1000,Männlich,675279.86
2019,0 – 3,in 1000,Weiblich,42.1385
2019,3 – 6,in 1000,Weiblich,37.17029
2019,6 – 15,in 1000,Weiblich,109.78659
2019,15 – 20,in 1000,Weiblich,55.1153
2019,20 – 40,in 1000,Weiblich,256.22624
2019,40 – 65,in 1000,Weiblich,260.36651
2019,65 – 80,in 1000,Weiblich,69.25161
2019,80 und älter,in 1000,Weiblich,19.45996
2019,Insgesamt,in 1000,Weiblich,849.51499
2018,0 – 3,in 1000,Weiblich,37.8791
2018,3 – 6,in 1000,Weiblich,38.64803
2018,6 – 15,in 1000,Weiblich,103.20057
2018,15 – 20,in 1000,Weiblich,56.27779
2018,20 – 40,in 1000,Weiblich,252.66542
2018,40 – 65,in 1000,Weiblich,259.90301
2018,65 – 80,in 1000,Weiblich,66.4311
2018,80 und älter,in 1000,Weiblich,20.70491
2018,Insgesamt,in 1000,Weiblich,835.70994
2017,0 – 3,in 1000,Weiblich,38.32562
2017,3 – 6,in 1000,Weiblich,35.64433
2017,6 – 15,in 1000,Weiblich,102.05597
2017,15 – 20,in 1000,Weiblich,52.76758
2017,20 – 40,in 1000,Weiblich,233.58628
2017,40 – 65,in 1000,Weiblich,246.05445
2017,65 – 80,in 1000,Weiblich,62.43287
2017,80 und älter,in 1000,Weiblich,20.16277
2017,Insgesamt,in 1000,Weiblich,791.02988
2016,0 – 3,in 1000,Weiblich,36.9
2016,3 – 6,in 1000,Weiblich,31.4
2016,6 – 15,in 1000,Weiblich,95.1
2016,15 – 20,in 1000,Weiblich,46.5
2016,20 – 40,in 1000,Weiblich,222.2
2016,40 – 65,in 1000,Weiblich,232.3
2016,65 – 80,in 1000,Weiblich,62.8
2016,80 und älter,in 1000,Weiblich,18.6
2016,Insgesamt,in 1000,Weiblich,745.8
2015,0 – 3,in 1000,Weiblich,30.3
2015,3 – 6,in 1000,Weiblich,32.3
2015,6 – 15,in 1000,Weiblich,84.3
2015,15 – 20,in 1000,Weiblich,43.9
2015,20 – 40,in 1000,Weiblich,204
2015,40 – 65,in 1000,Weiblich,220.9
2015,65 – 80,in 1000,Weiblich,55.8
2015,80 und älter,in 1000,Weiblich,16.4
2015,Insgesamt,in 1000,Weiblich,688.1
2014,0 – 3,in 1000,Weiblich,31.5
2014,3 – 6,in 1000,Weiblich,30
2014,6 – 15,in 1000,Weiblich,86.1
2014,15 – 20,in 1000,Weiblich,44.6
2014,20 – 40,in 1000,Weiblich,196
2014,40 – 65,in 1000,Weiblich,215.2
2014,65 – 80,in 1000,Weiblich,52.3
2014,80 und älter,in 1000,Weiblich,18.1
2014,Insgesamt,in 1000,Weiblich,673.8
2013,0 – 3,in 1000,Weiblich,25.3
2013,3 – 6,in 1000,Weiblich,29.1
2013,6 – 15,in 1000,Weiblich,90.6
2013,15 – 20,in 1000,Weiblich,45.9
2013,20 – 40,in 1000,Weiblich,203.1
2013,40 – 65,in 1000,Weiblich,206.2
2013,65 – 80,in 1000,Weiblich,48.6
2013,80 und älter,in 1000,Weiblich,18.1
2013,Insgesamt,in 1000,Weiblich,666.9
2012,0 – 3,in 1000,Weiblich,28.1
2012,3 – 6,in 1000,Weiblich,30.2
2012,6 – 15,in 1000,Weiblich,94.6
2012,15 – 20,in 1000,Weiblich,50
2012,20 – 40,in 1000,Weiblich,210.4
2012,40 – 65,in 1000,Weiblich,217
2012,65 – 80,in 1000,Weiblich,54.8
2012,80 und älter,in 1000,Weiblich,16.1
2012,Insgesamt,in 1000,Weiblich,701.3
2011,0 – 3,in 1000,Weiblich,27.3
2011,3 – 6,in 1000,Weiblich,31.8
2011,6 – 15,in 1000,Weiblich,92.1
2011,15 – 20,in 1000,Weiblich,50.1
2011,20 – 40,in 1000,Weiblich,207.3
2011,40 – 65,in 1000,Weiblich,217.4
2011,65 – 80,in 1000,Weiblich,48
2011,80 und älter,in 1000,Weiblich,15.1
2011,Insgesamt,in 1000,Weiblich,689
2010,0 – 3,in 1000,Weiblich,30121.73
2010,3 – 6,in 1000,Weiblich,27649.73
2010,6 – 15,in 1000,Weiblich,87064.7
2010,15 – 20,in 1000,Weiblich,46447.17
2010,20 – 40,in 1000,Weiblich,200920.61
2010,40 – 65,in 1000,Weiblich,205498.51
2010,65 – 80,in 1000,Weiblich,49840.39
2010,80 und älter,in 1000,Weiblich,12005.53
2010,Insgesamt,in 1000,Weiblich,659548.39
2019,0 – 3,in 1000,Insgesamt,83.31298
2019,3 – 6,in 1000,Insgesamt,75.63413
2019,6 – 15,in 1000,Insgesamt,227.47427
2019,15 – 20,in 1000,Insgesamt,117.14478
2019,20 – 40,in 1000,Insgesamt,549.78643
2019,40 – 65,in 1000,Insgesamt,533.19138
2019,65 – 80,in 1000,Insgesamt,132.4735
2019,80 und älter,in 1000,Insgesamt,31.77423
2019,Insgesamt,in 1000,Insgesamt,1750.79168
2018,0 – 3,in 1000,Insgesamt,76.94035
2018,3 – 6,in 1000,Insgesamt,74.68905
2018,6 – 15,in 1000,Insgesamt,219.62191
2018,15 – 20,in 1000,Insgesamt,115.8593
2018,20 – 40,in 1000,Insgesamt,551.89752
2018,40 – 65,in 1000,Insgesamt,525.18771
2018,65 – 80,in 1000,Insgesamt,130.6223
2018,80 und älter,in 1000,Insgesamt,31.28835
2018,Insgesamt,in 1000,Insgesamt,1726.1065
2017,0 – 3,in 1000,Insgesamt,78.43777
2017,3 – 6,in 1000,Insgesamt,72.03322
2017,6 – 15,in 1000,Insgesamt,218.40431
2017,15 – 20,in 1000,Insgesamt,117.991
2017,20 – 40,in 1000,Insgesamt,513.96477
2017,40 – 65,in 1000,Insgesamt,498.73961
2017,65 – 80,in 1000,Insgesamt,122.26094
2017,80 und älter,in 1000,Insgesamt,34.12329
2017,Insgesamt,in 1000,Insgesamt,1655.95492
2016,0 – 3,in 1000,Insgesamt,76.3
2016,3 – 6,in 1000,Insgesamt,70.9
2016,6 – 15,in 1000,Insgesamt,202.4
2016,15 – 20,in 1000,Insgesamt,105.8
2016,20 – 40,in 1000,Insgesamt,478.6
2016,40 – 65,in 1000,Insgesamt,473.7
2016,65 – 80,in 1000,Insgesamt,117.9
2016,80 und älter,in 1000,Insgesamt,31.6
2016,Insgesamt,in 1000,Insgesamt,1557.2
2015,0 – 3,in 1000,Insgesamt,66.6
2015,3 – 6,in 1000,Insgesamt,64.3
2015,6 – 15,in 1000,Insgesamt,182.4
2015,15 – 20,in 1000,Insgesamt,96.4
2015,20 – 40,in 1000,Insgesamt,412.3
2015,40 – 65,in 1000,Insgesamt,439.6
2015,65 – 80,in 1000,Insgesamt,112.1
2015,80 und älter,in 1000,Insgesamt,26.5
2015,Insgesamt,in 1000,Insgesamt,1400.2
2014,0 – 3,in 1000,Insgesamt,63.6
2014,3 – 6,in 1000,Insgesamt,60.2
2014,6 – 15,in 1000,Insgesamt,183.1
2014,15 – 20,in 1000,Insgesamt,94.5
2014,20 – 40,in 1000,Insgesamt,394.2
2014,40 – 65,in 1000,Insgesamt,424.2
2014,65 – 80,in 1000,Insgesamt,108.1
2014,80 und älter,in 1000,Insgesamt,27.5
2014,Insgesamt,in 1000,Insgesamt,1355.5
2013,0 – 3,in 1000,Insgesamt,57.8
2013,3 – 6,in 1000,Insgesamt,61.8
2013,6 – 15,in 1000,Insgesamt,182.2
2013,15 – 20,in 1000,Insgesamt,94.2
2013,20 – 40,in 1000,Insgesamt,404.9
2013,40 – 65,in 1000,Insgesamt,416.3
2013,65 – 80,in 1000,Insgesamt,101.8
2013,80 und älter,in 1000,Insgesamt,26.7
2013,Insgesamt,in 1000,Insgesamt,1345.6
2012,0 – 3,in 1000,Insgesamt,57.2
2012,3 – 6,in 1000,Insgesamt,62.9
2012,6 – 15,in 1000,Insgesamt,193.1
2012,15 – 20,in 1000,Insgesamt,104.1
2012,20 – 40,in 1000,Insgesamt,423.5
2012,40 – 65,in 1000,Insgesamt,434.6
