Year,Herkunftsland,Geschlecht,Units,COMMENT_OBS,Value
2023,Europa,Insgesamt,in 1000,,1206
2023,Bulgarien,Insgesamt,in 1000,,32
2023,Italien,Insgesamt,in 1000,,41
2023,Kroatien,Insgesamt,in 1000,,14
2023,Polen,Insgesamt,in 1000,,257
2023,Rumänien,Insgesamt,in 1000,,51
2023,Spanien,Insgesamt,in 1000,,19
2023,Sonstiges Europa,Insgesamt,in 1000,,630
2023,Kosovo,Insgesamt,in 1000,,39
2023,Russische Förderation,Insgesamt,in 1000,,165
2023,Serbien,Insgesamt,in 1000,,23
2023,Türkei,Insgesamt,in 1000,,194
2023,Ukraine,Insgesamt,in 1000,,112
2023,EU Staaten,Insgesamt,in 1000,,576
2023,Afrika,Insgesamt,in 1000,,89
2023,Marokko,Insgesamt,in 1000,,9
2023,Amerika,Insgesamt,in 1000,,43
2023,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,598
2023,Afghanistan,Insgesamt,in 1000,,43
2023,Irak,Insgesamt,in 1000,,60
2023,Kasachstan,Insgesamt,in 1000,,171
2023,Syrien,Insgesamt,in 1000,,134
2023,Vietnam,Insgesamt,in 1000,,16
2023,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,138
2023,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,112
2023,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,533
2023,Insgesamt,Insgesamt,in 1000,,2074
2022,Europa,Insgesamt,in 1000,,1165
2022,Bulgarien,Insgesamt,in 1000,,32
2022,Italien,Insgesamt,in 1000,,40
2022,Kroatien,Insgesamt,in 1000,,13
2022,Polen,Insgesamt,in 1000,,246
2022,Rumänien,Insgesamt,in 1000,,59
2022,Spanien,Insgesamt,in 1000,,17
2022,Sonstiges Europa,Insgesamt,in 1000,,593
2022,Kosovo,Insgesamt,in 1000,,49
2022,Russische Förderation,Insgesamt,in 1000,,180
2022,Serbien,Insgesamt,in 1000,,31
2022,Türkei,Insgesamt,in 1000,,197
2022,Ukraine,Insgesamt,in 1000,,46
2022,EU Staaten,Insgesamt,in 1000,,571
2022,Afrika,Insgesamt,in 1000,,81
2022,Marokko,Insgesamt,in 1000,,7
2022,Amerika,Insgesamt,in 1000,,40
2022,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,581
2022,Afghanistan,Insgesamt,in 1000,,39
2022,Irak,Insgesamt,in 1000,,57
2022,Kasachstan,Insgesamt,in 1000,,176
2022,Syrien,Insgesamt,in 1000,,132
2022,Vietnam,Insgesamt,in 1000,,20
2022,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,145
2022,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,128
2022,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,478
2022,Insgesamt,Insgesamt,in 1000,,2012
2021,Europa,Insgesamt,in 1000,,1126
2021,Bulgarien,Insgesamt,in 1000,,25
2021,Italien,Insgesamt,in 1000,,45
2021,Kroatien,Insgesamt,in 1000,,13
2021,Polen,Insgesamt,in 1000,,242
2021,Rumänien,Insgesamt,in 1000,,64
2021,Spanien,Insgesamt,in 1000,,19
2021,Sonstiges Europa,Insgesamt,in 1000,,560
2021,Kosovo,Insgesamt,in 1000,,52
2021,Russische Föderation,Insgesamt,in 1000,,183
2021,Serbien,Insgesamt,in 1000,,19
2021,Türkei,Insgesamt,in 1000,,193
2021,EU Staaten,Insgesamt,in 1000,,566
2021,Afrika,Insgesamt,in 1000,,67
2021,Marokko,Insgesamt,in 1000,"Aussagewert eingeschränkt, da der Zahlenwert statistisch relativ unsicher ist.",7
2021,Amerika,Insgesamt,in 1000,,35
2021,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,547
2021,Afghanistan,Insgesamt,in 1000,,35
2021,Irak,Insgesamt,in 1000,,55
2021,Kasachstan,Insgesamt,in 1000,,171
2021,Syrien,Insgesamt,in 1000,,116
2021,Vietnam,Insgesamt,in 1000,,21
2021,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,152
2021,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,120
2021,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,452
2021,Insgesamt,Insgesamt,in 1000,,1926
2019,Insgesamt,Insgesamt,in 1000,,1751
2019,Europa,Insgesamt,in 1000,,1070
2019,EU Staaten,Insgesamt,in 1000,,547
2019,Bulgarien,Insgesamt,in 1000,,24
2019,Frankreich,Insgesamt,in 1000,,8
2019,Griechenland,Insgesamt,in 1000,,25
2019,Italien,Insgesamt,in 1000,,37
2019,Kroatien,Insgesamt,in 1000,,16
2019,Niederlande,Insgesamt,in 1000,,41
2019,Österreich,Insgesamt,in 1000,,13
2019,Polen,Insgesamt,in 1000,,245
2019,Portugal,Insgesamt,in 1000,,7
2019,Rumänien,Insgesamt,in 1000,,44
2019,Spanien,Insgesamt,in 1000,,17
2019,Vereinigtes Königreich,Insgesamt,in 1000,,20
2019,Sonstiges Europa,Insgesamt,in 1000,,522
2019,Bosnien und Herzegowina,Insgesamt,in 1000,,16
2019,Kosovo,Insgesamt,in 1000,,44
2019,Russische Föderation,Insgesamt,in 1000,,179
2019,Serbien,Insgesamt,in 1000,,21
2019,Türkei,Insgesamt,in 1000,,187
2019,Ukraine,Insgesamt,in 1000,,28
2019,Afrika,Insgesamt,in 1000,,54
2019,Marokko,Insgesamt,in 1000,,7
2019,"Ägypten, Algerien, Libyen, Tunesien",Insgesamt,in 1000,,13
2019,Amerika,Insgesamt,in 1000,,36
2019,Nordamerika,Insgesamt,in 1000,,9
2019,Vereinigte Staaten,Insgesamt,in 1000,,7
2019,Mittel- und Südamerika,Insgesamt,in 1000,,27
2019,Asien,Insgesamt,in 1000,,465
2019,Naher und Mittlerer Osten,Insgesamt,in 1000,,368
2019,Irak,Insgesamt,in 1000,,38
2019,Iran,Insgesamt,in 1000,,21
2019,Kasachstan,Insgesamt,in 1000,,153
2019,Syrien,Insgesamt,in 1000,,94
2019,Sonstiges Asien,Insgesamt,in 1000,,97
2019,Afghanistan,Insgesamt,in 1000,,25
2019,China,Insgesamt,in 1000,,15
2019,Indien,Insgesamt,in 1000,,8
2019,Pakistan,Insgesamt,in 1000,,10
2019,Vietnam,Insgesamt,in 1000,,19
2019,Australien und Ozeanien,Insgesamt,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,Unbestimmt,Insgesamt,in 1000,,73
2019,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,50
2019,nachrichtlich:,Insgesamt,in 1000,,0
2018,Insgesamt,Insgesamt,in 1000,,1726
2018,Europa,Insgesamt,in 1000,,1062
2018,EU Staaten,Insgesamt,in 1000,,560
2018,Bulgarien,Insgesamt,in 1000,,20
2018,Frankreich,Insgesamt,in 1000,,9
