Year,Gebietseinheit,Geschlecht,Aufenthalstitel,Aufenthaltsstatus,Geocode,Value
2020,Braunschweig  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03101,4950
2020,Braunschweig  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03101,4635
2020,Braunschweig  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03101,9585
2020,Salzgitter  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03102,3705
2020,Salzgitter  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03102,2850
2020,Salzgitter  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03102,6555
2020,Wolfsburg  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03103,5365
2020,Wolfsburg  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03103,4415
2020,Wolfsburg  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03103,9780
2020,Gifhorn,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03151,2775
2020,Gifhorn,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03151,2220
2020,Gifhorn,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03151,4995
2020,Goslar,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03153,2435
2020,Goslar,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03153,1915
2020,Goslar,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03153,4350
2020,Helmstedt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03154,1715
2020,Helmstedt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03154,1315
2020,Helmstedt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03154,3030
2020,Northeim,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03155,1785
2020,Northeim,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03155,1580
2020,Northeim,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03155,3365
2020,Peine,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03157,2360
2020,Peine,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03157,1910
2020,Peine,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03157,4275
2020,Wolfenbüttel,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03158,1425
2020,Wolfenbüttel,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03158,1155
2020,Wolfenbüttel,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03158,2580
2020,Göttingen,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03159,5350
2020,Göttingen,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03159,5065
2020,Göttingen,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03159,10420
2020,Statistische Region Braunschweig,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K031,31870
2020,Statistische Region Braunschweig,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K031,27065
2020,Statistische Region Braunschweig,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K031,58935
2020,Hannover  Region,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03241,35340
2020,Hannover  Region,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03241,31065
2020,Hannover  Region,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03241,66405
2020,Diepholz,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03251,5125
2020,Diepholz,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03251,4130
2020,Diepholz,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03251,9255
2020,Hameln-Pyrmont,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03252,3260
2020,Hameln-Pyrmont,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03252,2780
2020,Hameln-Pyrmont,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03252,6035
2020,Hildesheim,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03254,4845
2020,Hildesheim,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03254,4115
2020,Hildesheim,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03254,8960
2020,Holzminden,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03255,590
2020,Holzminden,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03255,505
2020,Holzminden,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03255,1095
2020,Nienburg (Weser),männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03256,2455
2020,Nienburg (Weser),weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03256,1660
2020,Nienburg (Weser),insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03256,4115
2020,Schaumburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03257,3300
2020,Schaumburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03257,2460
2020,Schaumburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03257,5760
2020,Statistische Region Hannover,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K032,54915
2020,Statistische Region Hannover,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K032,46715
2020,Statistische Region Hannover,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K032,101630
2020,Celle,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03351,3100
2020,Celle,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03351,2505
2020,Celle,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03351,5605
2020,Cuxhaven,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03352,3500
2020,Cuxhaven,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03352,2965
2020,Cuxhaven,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03352,6460
2020,Harburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03353,5925
2020,Harburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03353,4620
2020,Harburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03353,10540
2020,Lüchow-Dannenberg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03354,820
2020,Lüchow-Dannenberg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03354,630
2020,Lüchow-Dannenberg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03354,1450
2020,Lüneburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,2405
2020,Lüneburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,1965
2020,Lüneburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,4365
2020,Osterholz,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03356,1330
