Year,Gebietseinheit,Geschlecht,Aufenthaltsstatus,Units,GeoCode,Value
2021,"Braunschweig, Stadt",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03101,5045
2021,"Braunschweig, Stadt",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03101,4670
2021,"Braunschweig, Stadt",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03101,9715
2021,"Salzgitter, Stadt",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03102,3815
2021,"Salzgitter, Stadt",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03102,3025
2021,"Salzgitter, Stadt",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03102,6840
2021,"Wolfsburg, Stadt",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03103,5425
2021,"Wolfsburg, Stadt",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03103,4370
2021,"Wolfsburg, Stadt",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03103,9795
2021,"Gifhorn",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03151,2885
2021,"Gifhorn",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03151,2295
2021,"Gifhorn",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03151,5180
2021,"Goslar",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03153,2355
2021,"Goslar",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03153,1925
2021,"Goslar",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03153,4280
2021,"Helmstedt",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03154,1765
2021,"Helmstedt",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03154,1395
2021,"Helmstedt",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03154,3155
2021,"Northeim",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03155,1825
2021,"Northeim",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03155,1605
2021,"Northeim",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03155,3430
2021,"Peine",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03157,2500
2021,"Peine",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03157,1995
2021,"Peine",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03157,4495
2021,"Wolfenbüttel",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03158,1380
2021,"Wolfenbüttel",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03158,1180
2021,"Wolfenbüttel",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03158,2560
2021,"Göttingen",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03159,5445
2021,"Göttingen",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH03159,5160
2021,"Göttingen",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH03159,10605
2021,"Statistische Region Braunschweig",männlich,mit Freizügigkeit nach EU-Recht,Anzahl,RH031,32435
2021,"Statistische Region Braunschweig",weiblich,mit Freizügigkeit nach EU-Recht,Anzahl,RH031,27620
2021,"Statistische Region Braunschweig",insgesamt,mit Freizügigkeit nach EU-Recht,Anzahl,RH031,60055
