Year,Gebietseinheit,Aufenthaltstitel,Grund der Befristung,Geschlecht,Units,GeoCode,Value
2021,"Braunschweig, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03101,4200
2021,"Braunschweig, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03101,4095
2021,"Braunschweig, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03101,8290
2021,"Salzgitter, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03102,2870
2021,"Salzgitter, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03102,2740
2021,"Salzgitter, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03102,5610
2021,"Wolfsburg, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03103,1475
2021,"Wolfsburg, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03103,1500
2021,"Wolfsburg, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03103,2975
2021,"Gifhorn",zeitlich unbefristet,,männlich,Anzahl,K03151,1275
2021,"Gifhorn",zeitlich unbefristet,,weiblich,Anzahl,K03151,1425
2021,"Gifhorn",zeitlich unbefristet,,insgesamt,Anzahl,K03151,2700
2021,"Goslar",zeitlich unbefristet,,männlich,Anzahl,K03153,1280
2021,"Goslar",zeitlich unbefristet,,weiblich,Anzahl,K03153,1245
2021,"Goslar",zeitlich unbefristet,,insgesamt,Anzahl,K03153,2525
2021,"Helmstedt",zeitlich unbefristet,,männlich,Anzahl,K03154,700
2021,"Helmstedt",zeitlich unbefristet,,weiblich,Anzahl,K03154,745
2021,"Helmstedt",zeitlich unbefristet,,insgesamt,Anzahl,K03154,1445
2021,"Northeim",zeitlich unbefristet,,männlich,Anzahl,K03155,770
2021,"Northeim",zeitlich unbefristet,,weiblich,Anzahl,K03155,845
2021,"Northeim",zeitlich unbefristet,,insgesamt,Anzahl,K03155,1615
2021,"Peine",zeitlich unbefristet,,männlich,Anzahl,K03157,1455
2021,"Peine",zeitlich unbefristet,,weiblich,Anzahl,K03157,1455
2021,"Peine",zeitlich unbefristet,,insgesamt,Anzahl,K03157,2915
2021,"Wolfenbüttel",zeitlich unbefristet,,männlich,Anzahl,K03158,735
2021,"Wolfenbüttel",zeitlich unbefristet,,weiblich,Anzahl,K03158,860
2021,"Wolfenbüttel",zeitlich unbefristet,,insgesamt,Anzahl,K03158,1595
2021,"Göttingen",zeitlich unbefristet,,männlich,Anzahl,K03159,3040
2021,"Göttingen",zeitlich unbefristet,,weiblich,Anzahl,K03159,3135
2021,"Göttingen",zeitlich unbefristet,,insgesamt,Anzahl,K03159,6170
2021,"Statistische Region Braunschweig",zeitlich unbefristet,,männlich,Anzahl,K031,17800
2021,"Statistische Region Braunschweig",zeitlich unbefristet,,weiblich,Anzahl,K031,18045
2021,"Statistische Region Braunschweig",zeitlich unbefristet,,insgesamt,Anzahl,K031,35845
2021,"Hannover  Region",zeitlich unbefristet,,männlich,Anzahl,K03241,24645
2021,"Hannover  Region",zeitlich unbefristet,,weiblich,Anzahl,K03241,24500
2021,"Hannover  Region",zeitlich unbefristet,,insgesamt,Anzahl,K03241,49145
