Year,Gebietseinheit,Geschlecht,Befristungsgrund,Units,GeoCode,Value
2024,"Braunschweig, Stadt",männlich,zum Zweck der Ausbildung,Anzahl,RH03101,1540
2024,"Braunschweig, Stadt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03101,770
2024,"Braunschweig, Stadt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03101,2315
2024,"Salzgitter, Stadt",männlich,zum Zweck der Ausbildung,Anzahl,RH03102,40
2024,"Salzgitter, Stadt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03102,30
2024,"Salzgitter, Stadt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03102,70
2024,"Wolfsburg, Stadt",männlich,zum Zweck der Ausbildung,Anzahl,RH03103,255
2024,"Wolfsburg, Stadt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03103,155
2024,"Wolfsburg, Stadt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03103,410
2024,"Gifhorn",männlich,zum Zweck der Ausbildung,Anzahl,RH03151,90
2024,"Gifhorn",weiblich,zum Zweck der Ausbildung,Anzahl,RH03151,80
2024,"Gifhorn",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03151,165
2024,"Goslar",männlich,zum Zweck der Ausbildung,Anzahl,RH03153,1030
2024,"Goslar",weiblich,zum Zweck der Ausbildung,Anzahl,RH03153,430
2024,"Goslar",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03153,1460
2024,"Helmstedt",männlich,zum Zweck der Ausbildung,Anzahl,RH03154,20
2024,"Helmstedt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03154,25
2024,"Helmstedt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03154,45
2024,"Northeim",männlich,zum Zweck der Ausbildung,Anzahl,RH03155,40
2024,"Northeim",weiblich,zum Zweck der Ausbildung,Anzahl,RH03155,45
2024,"Northeim",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03155,85
2024,"Peine",männlich,zum Zweck der Ausbildung,Anzahl,RH03157,40
2024,"Peine",weiblich,zum Zweck der Ausbildung,Anzahl,RH03157,40
2024,"Peine",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03157,80
2024,"Wolfenbüttel",männlich,zum Zweck der Ausbildung,Anzahl,RH03158,170
2024,"Wolfenbüttel",weiblich,zum Zweck der Ausbildung,Anzahl,RH03158,105
2024,"Wolfenbüttel",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03158,280
2024,"Göttingen",männlich,zum Zweck der Ausbildung,Anzahl,RH03159,1280
2024,"Göttingen",weiblich,zum Zweck der Ausbildung,Anzahl,RH03159,1385
2024,"Göttingen",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03159,2660
2024,"Statistische Region Braunschweig",männlich,zum Zweck der Ausbildung,Anzahl,RH031,4510
2024,"Statistische Region Braunschweig",weiblich,zum Zweck der Ausbildung,Anzahl,RH031,3065
2024,"Statistische Region Braunschweig",insgesamt,zum Zweck der Ausbildung,Anzahl,RH031,7575
2024,"Region Hannover",männlich,zum Zweck der Ausbildung,Anzahl,RH03241,3285
2024,"Region Hannover",weiblich,zum Zweck der Ausbildung,Anzahl,RH03241,2240
2024,"Region Hannover",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03241,5525
2024,"Diepholz",männlich,zum Zweck der Ausbildung,Anzahl,RH03251,95
2024,"Diepholz",weiblich,zum Zweck der Ausbildung,Anzahl,RH03251,65
2024,"Diepholz",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03251,160
