Year,Gebietseinheit,Geschlecht,ohne Aufenthaltstitel,Units,GeoCode,Value
2021,"Braunschweig, Stadt",männlich,"insgesamt",Anzahl,RH03101,1565
2021,"Braunschweig, Stadt",weiblich,"insgesamt",Anzahl,RH03101,1045
2021,"Braunschweig, Stadt",insgesamt,"insgesamt",Anzahl,RH03101,2610
2021,"Salzgitter, Stadt",männlich,"insgesamt",Anzahl,RH03102,510
2021,"Salzgitter, Stadt",weiblich,"insgesamt",Anzahl,RH03102,360
2021,"Salzgitter, Stadt",insgesamt,"insgesamt",Anzahl,RH03102,870
2021,"Wolfsburg, Stadt",männlich,"insgesamt",Anzahl,RH03103,1100
2021,"Wolfsburg, Stadt",weiblich,"insgesamt",Anzahl,RH03103,650
2021,"Wolfsburg, Stadt",insgesamt,"insgesamt",Anzahl,RH03103,1750
2021,"Gifhorn",männlich,"insgesamt",Anzahl,RH03151,1120
2021,"Gifhorn",weiblich,"insgesamt",Anzahl,RH03151,770
2021,"Gifhorn",insgesamt,"insgesamt",Anzahl,RH03151,1890
2021,"Goslar",männlich,"insgesamt",Anzahl,RH03153,770
2021,"Goslar",weiblich,"insgesamt",Anzahl,RH03153,415
2021,"Goslar",insgesamt,"insgesamt",Anzahl,RH03153,1185
2021,"Helmstedt",männlich,"insgesamt",Anzahl,RH03154,435
2021,"Helmstedt",weiblich,"insgesamt",Anzahl,RH03154,245
2021,"Helmstedt",insgesamt,"insgesamt",Anzahl,RH03154,680
2021,"Northeim",männlich,"insgesamt",Anzahl,RH03155,690
2021,"Northeim",weiblich,"insgesamt",Anzahl,RH03155,520
2021,"Northeim",insgesamt,"insgesamt",Anzahl,RH03155,1210
2021,"Peine",männlich,"insgesamt",Anzahl,RH03157,605
2021,"Peine",weiblich,"insgesamt",Anzahl,RH03157,455
2021,"Peine",insgesamt,"insgesamt",Anzahl,RH03157,1060
2021,"Wolfenbüttel",männlich,"insgesamt",Anzahl,RH03158,645
2021,"Wolfenbüttel",weiblich,"insgesamt",Anzahl,RH03158,415
2021,"Wolfenbüttel",insgesamt,"insgesamt",Anzahl,RH03158,1060
2021,"Göttingen",männlich,"insgesamt",Anzahl,RH03159,2220
2021,"Göttingen",weiblich,"insgesamt",Anzahl,RH03159,1655
2021,"Göttingen",insgesamt,"insgesamt",Anzahl,RH03159,3870
2021,"Statistische Region Braunschweig",männlich,"insgesamt",Anzahl,RH031,9655
2021,"Statistische Region Braunschweig",weiblich,"insgesamt",Anzahl,RH031,6525
2021,"Statistische Region Braunschweig",insgesamt,"insgesamt",Anzahl,RH031,16180
2021,"Hannover  Region",männlich,"insgesamt",Anzahl,RH03241,11515
2021,"Hannover  Region",weiblich,"insgesamt",Anzahl,RH03241,7275
2021,"Hannover  Region",insgesamt,"insgesamt",Anzahl,RH03241,18790
2021,"Diepholz",männlich,"insgesamt",Anzahl,RH03251,1080
2021,"Diepholz",weiblich,"insgesamt",Anzahl,RH03251,755
