Year,Land der Staatsangehörigkeit,Units,Value
2007,"Europa insgesamt",Anzahl,5866
2007,"Bulgarien",Anzahl,33
2007,"Griechenland",Anzahl,109
2007,"Italien",Anzahl,70
2007,"Kosovo",Anzahl,
2007,"Polen",Anzahl,583
2007,"Rumänien",Anzahl,209
2007,"Serbien 1)",Anzahl,1198
2007,"Türkei",Anzahl,2162
2007,"Ukraine",Anzahl,493
2007,"EU Staaten 2)",Anzahl,1289
2007,"Afrika insgesamt",Anzahl,521
2007,"Ägypten",Anzahl,24
2007,"Tunesien",Anzahl,112
2007,"Amerika insgesamt",Anzahl,266
2007,"Asien insgesamt",Anzahl,2375
2007,"Afganistan",Anzahl,230
2007,"Libanon",Anzahl,377
2007,"Indien",Anzahl,33
2007,"Irak",Anzahl,286
2007,"Iran, Islamische Republik",Anzahl,362
2007,"Palestinensische Gebiete",Anzahl,
2007,"Syrien, Arabische Republik",Anzahl,210
2007,"Australien und Ozeanien",Anzahl,1
2007,"Sonstige Herkunnft",Anzahl,222
2007,"staatenlos",Anzahl,136
2007,"ungeklärt",Anzahl,86
2007,"Insgesamt",Anzahl,9251
2008,"Europa insgesamt",Anzahl,4488
2008,"Bulgarien",Anzahl,58
2008,"Griechenland",Anzahl,98
2008,"Italien",Anzahl,88
2008,"Kosovo",Anzahl,
2008,"Polen",Anzahl,548
2008,"Rumänien",Anzahl,124
2008,"Serbien 1)",Anzahl,540
2008,"Türkei",Anzahl,2020
2008,"Ukraine",Anzahl,185
2008,"EU Staaten 2)",Anzahl,1232
2008,"Afrika insgesamt",Anzahl,564
2008,"Ägypten",Anzahl,23
2008,"Tunesien",Anzahl,76
2008,"Amerika insgesamt",Anzahl,233
2008,"Asien insgesamt",Anzahl,2272
2008,"Afganistan",Anzahl,219
2008,"Libanon",Anzahl,367
2008,"Indien",Anzahl,38
2008,"Irak",Anzahl,306
2008,"Iran, Islamische Republik",Anzahl,303
2008,"Palestinensische Gebiete",Anzahl,
2008,"Syrien, Arabische Republik",Anzahl,208
2008,"Australien und Ozeanien",Anzahl,0
2008,"Sonstige Herkunnft",Anzahl,147
2008,"staatenlos",Anzahl,99
2008,"ungeklärt",Anzahl,48
2008,"Insgesamt",Anzahl,7704
2009,"Europa insgesamt",Anzahl,3947
2009,"Bulgarien",Anzahl,60
2009,"Griechenland",Anzahl,69
2009,"Italien",Anzahl,53
2009,"Kosovo",Anzahl,34
2009,"Polen",Anzahl,434
2009,"Rumänien",Anzahl,119
2009,"Serbien 1)",Anzahl,109
2009,"Türkei",Anzahl,2170
2009,"Ukraine",Anzahl,143
2009,"EU Staaten 2)",Anzahl,1017
2009,"Afrika insgesamt",Anzahl,542
2009,"Ägypten",Anzahl,23
2009,"Tunesien",Anzahl,73
2009,"Amerika insgesamt",Anzahl,211
2009,"Asien insgesamt",Anzahl,2338
2009,"Afganistan",Anzahl,210
2009,"Libanon",Anzahl,335
2009,"Indien",Anzahl,34
2009,"Irak",Anzahl,361
2009,"Iran, Islamische Republik",Anzahl,323
2009,"Palestinensische Gebiete",Anzahl,
2009,"Syrien, Arabische Republik",Anzahl,225
2009,"Australien und Ozeanien",Anzahl,1
2009,"Sonstige Herkunnft",Anzahl,184
2009,"staatenlos",Anzahl,125
2009,"ungeklärt",Anzahl,59
2009,"Insgesamt",Anzahl,7223
2010,"Europa insgesamt",Anzahl,4205
2010,"Bulgarien",Anzahl,92
2010,"Griechenland",Anzahl,72
2010,"Italien",Anzahl,52
2010,"Kosovo",Anzahl,170
2010,"Polen",Anzahl,422
2010,"Rumänien",Anzahl,136
2010,"Serbien 1)",Anzahl,187
2010,"Türkei",Anzahl,1892
2010,"Ukraine",Anzahl,268
2010,"EU Staaten 2)",Anzahl,1165
2010,"Afrika insgesamt",Anzahl,489
2010,"Ägypten",Anzahl,17
2010,"Tunesien",Anzahl,89
2010,"Amerika insgesamt",Anzahl,225
2010,"Asien insgesamt",Anzahl,2290
2010,"Afganistan",Anzahl,161
2010,"Libanon",Anzahl,295
2010,"Indien",Anzahl,41
2010,"Irak",Anzahl,392
2010,"Iran, Islamische Republik",Anzahl,245
2010,"Palestinensische Gebiete",Anzahl,
2010,"Syrien, Arabische Republik",Anzahl,219
2010,"Australien und Ozeanien",Anzahl,2
2010,"Sonstige Herkunnft",Anzahl,152
2010,"staatenlos",Anzahl,125
2010,"ungeklärt",Anzahl,27
2010,"Insgesamt",Anzahl,7363
2011,"Europa insgesamt",Anzahl,4595
2011,"Bulgarien",Anzahl,62
2011,"Griechenland",Anzahl,126
2011,"Italien",Anzahl,77
2011,"Kosovo",Anzahl,221
2011,"Polen",Anzahl,477
2011,"Rumänien",Anzahl,132
2011,"Serbien 1)",Anzahl,258
2011,"Türkei",Anzahl,2010
2011,"Ukraine",Anzahl,380
2011,"EU Staaten 2)",Anzahl,1263
2011,"Afrika insgesamt",Anzahl,599
2011,"Ägypten",Anzahl,24
2011,"Tunesien",Anzahl,96
2011,"Amerika insgesamt",Anzahl,211
2011,"Asien insgesamt",Anzahl,2443
2011,"Afganistan",Anzahl,124
2011,"Libanon",Anzahl,240
2011,"Indien",Anzahl,44
2011,"Irak",Anzahl,434
2011,"Iran, Islamische Republik",Anzahl,255
2011,"Palestinensische Gebiete",Anzahl,
