AGS,Year,Gebietseinheit,Kinderbetreuung,Units,GeoCode,Value
101,2021,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,35.6571877866597
102,2021,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,46.9445314948292
103,2021,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,30.896273917422
151,2021,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,24.9313396399146
153,2021,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,19.1654676258993
154,2021,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,13.0390835579515
155,2021,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,23.3149750852347
157,2021,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,23.2814526588846
158,2021,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,17.7386421643696
159,2021,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,29.8158135748448
1,2021,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,27.5290378276566
241,2021,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,38.3225279493593
241001,2021,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,47.6677667766777
241999,2021,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,30.2314506143442
251,2021,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,21.8566728651123
252,2021,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,34.6473029045643
254,2021,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,29.3716168510238
255,2021,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,23.2134056185313
256,2021,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,20.7654512542022
257,2021,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,26.3357172907026
2,2021,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,33.1160720694853
351,2021,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,20.1652335187995
352,2021,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,15.546875
353,2021,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,21.8144195164452
354,2021,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,12.2005988023952
355,2021,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,20.9272376046362
356,2021,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,17.0100502512563
357,2021,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,17.5226586102719
358,2021,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,23.8338361568809
359,2021,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,17.4232598357112
360,2021,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,21.9750195160031
361,2021,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,23.3468559837728
3,2021,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,19.6436392942867
401,2021,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,44.3062200956938
402,2021,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,25.3198653198653
403,2021,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,32.8233410425191
404,2021,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,28.7807737397421
405,2021,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,29.3793793793794
451,2021,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,19.1878413678461
452,2021,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,14.6605211841872
453,2021,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,23.5154017148301
454,2021,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,20.3492013780144
455,2021,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,11.637519872814
456,2021,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,24.577861163227
457,2021,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,16.3790003595829
458,2021,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,16.9833450621628
459,2021,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,19.1765185487159
460,2021,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,22.4991162955108
461,2021,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,21.7873224800831
462,2021,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,11.3080684596577
4,2021,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,21.6988308542137
0,2021,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,25.4044317434742
101,2020,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,36.077355285509
102,2020,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,45.1092117758784
103,2020,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,29.7735924664396
151,2020,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,18.9227386934673
