Gebietseinheit,Year,Nationalität,Schulform,Units,GeoCode,Value
Statistische Region Braunschweig,2020,Deutsche,Hauptschule,Prozent,SR031,68.3131407269338
Statistische Region Hannover,2020,Deutsche,Hauptschule,Prozent,SR032,63.4980988593156
Statistische Region Lüneburg,2020,Deutsche,Hauptschule,Prozent,SR033,78.5060975609756
Statistische Region Weser-Ems,2020,Deutsche,Hauptschule,Prozent,SR034,72.1542803386642
Niedersachsen,2020,Deutsche,Hauptschule,Prozent,SR030,70.7956600361664
Statistische Region Braunschweig,2019,Deutsche,Hauptschule,Prozent,SR031,70.4809286898839
Statistische Region Hannover,2019,Deutsche,Hauptschule,Prozent,SR032,64.5799011532125
Statistische Region Lüneburg,2019,Deutsche,Hauptschule,Prozent,SR033,80.4769001490313
Statistische Region Weser-Ems,2019,Deutsche,Hauptschule,Prozent,SR034,74.6478873239437
Niedersachsen,2019,Deutsche,Hauptschule,Prozent,SR030,72.6519337016575
Statistische Region Braunschweig,2018,Deutsche,Hauptschule,Prozent,SR031,73.90263367917
Statistische Region Hannover,2018,Deutsche,Hauptschule,Prozent,SR032,69.3280632411067
Statistische Region Lüneburg,2018,Deutsche,Hauptschule,Prozent,SR033,83.5493519441675
Statistische Region Weser-Ems,2018,Deutsche,Hauptschule,Prozent,SR034,79.0996784565916
Niedersachsen,2018,Deutsche,Hauptschule,Prozent,SR030,76.2608353033885
Statistische Region Braunschweig,2017,Deutsche,Hauptschule,Prozent,SR031,77.2727272727273
Statistische Region Hannover,2017,Deutsche,Hauptschule,Prozent,SR032,72.3856209150327
Statistische Region Lüneburg,2017,Deutsche,Hauptschule,Prozent,SR033,83.7487537387836
Statistische Region Weser-Ems,2017,Deutsche,Hauptschule,Prozent,SR034,83.6016696481813
Niedersachsen,2017,Deutsche,Hauptschule,Prozent,SR030,79.4117647058823
Statistische Region Braunschweig,2016,Deutsche,Hauptschule,Prozent,SR031,81.4035087719298
Statistische Region Hannover,2016,Deutsche,Hauptschule,Prozent,SR032,78.8447653429603
Statistische Region Lüneburg,2016,Deutsche,Hauptschule,Prozent,SR033,84.3434343434343
Statistische Region Weser-Ems,2016,Deutsche,Hauptschule,Prozent,SR034,84.3232716650438
Niedersachsen,2016,Deutsche,Hauptschule,Prozent,SR030,82.3859881031064
Statistische Region Braunschweig,2015,Deutsche,Hauptschule,Prozent,SR031,84.4923504867872
Statistische Region Hannover,2015,Deutsche,Hauptschule,Prozent,SR032,79.8565840938722
Statistische Region Lüneburg,2015,Deutsche,Hauptschule,Prozent,SR033,85.3975535168196
Statistische Region Weser-Ems,2015,Deutsche,Hauptschule,Prozent,SR034,86.0171218915614
Niedersachsen,2015,Deutsche,Hauptschule,Prozent,SR030,84.1675330461904
Statistische Region Braunschweig,2014,Deutsche,Hauptschule,Prozent,SR031,86.5002836074872
Statistische Region Hannover,2014,Deutsche,Hauptschule,Prozent,SR032,84.0944073884043
Statistische Region Lüneburg,2014,Deutsche,Hauptschule,Prozent,SR033,89.0404515522107
Statistische Region Weser-Ems,2014,Deutsche,Hauptschule,Prozent,SR034,87.4157991426822
Niedersachsen,2014,Deutsche,Hauptschule,Prozent,SR030,86.9068541300527
Statistische Region Braunschweig,2013,Deutsche,Hauptschule,Prozent,SR031,87.6654064272212
Statistische Region Hannover,2013,Deutsche,Hauptschule,Prozent,SR032,84.060650887574
Statistische Region Lüneburg,2013,Deutsche,Hauptschule,Prozent,SR033,91.1909146715776
Statistische Region Weser-Ems,2013,Deutsche,Hauptschule,Prozent,SR034,90.4007820136852
Niedersachsen,2013,Deutsche,Hauptschule,Prozent,SR030,88.8577275828091
Statistische Region Braunschweig,2012,Deutsche,Hauptschule,Prozent,SR031,87.4326005806719
Statistische Region Hannover,2012,Deutsche,Hauptschule,Prozent,SR032,83.9548409168662
Statistische Region Lüneburg,2012,Deutsche,Hauptschule,Prozent,SR033,90.3919834954318
Statistische Region Weser-Ems,2012,Deutsche,Hauptschule,Prozent,SR034,90.0071633237822
Niedersachsen,2012,Deutsche,Hauptschule,Prozent,SR030,88.42848158759
Statistische Region Braunschweig,2011,Deutsche,Hauptschule,Prozent,SR031,87.3603082851638
Statistische Region Hannover,2011,Deutsche,Hauptschule,Prozent,SR032,84.6888478126925
Statistische Region Lüneburg,2011,Deutsche,Hauptschule,Prozent,SR033,90.7898189451588
Statistische Region Weser-Ems,2011,Deutsche,Hauptschule,Prozent,SR034,89.9293576474454
Niedersachsen,2011,Deutsche,Hauptschule,Prozent,SR030,88.6333312154521
Statistische Region Braunschweig,2010,Deutsche,Hauptschule,Prozent,SR031,86.2395340371314
Statistische Region Hannover,2010,Deutsche,Hauptschule,Prozent,SR032,83.7609417446423
Statistische Region Lüneburg,2010,Deutsche,Hauptschule,Prozent,SR033,90.6642259414226
Statistische Region Weser-Ems,2010,Deutsche,Hauptschule,Prozent,SR034,90.6942633637549
Niedersachsen,2010,Deutsche,Hauptschule,Prozent,SR030,88.4893882646692
Statistische Region Braunschweig,2005,Deutsche,Hauptschule,Prozent,SR031,86.9134638057062
Statistische Region Hannover,2005,Deutsche,Hauptschule,Prozent,SR032,85.288440917864
Statistische Region Lüneburg,2005,Deutsche,Hauptschule,Prozent,SR033,90.5775075987842
Statistische Region Weser-Ems,2005,Deutsche,Hauptschule,Prozent,SR034,92.0820117806978
Niedersachsen,2005,Deutsche,Hauptschule,Prozent,SR030,89.4233654876742
Statistische Region Braunschweig,2020,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,31.6868592730662
Statistische Region Hannover,2020,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,36.5019011406844
Statistische Region Lüneburg,2020,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,21.4939024390244
Statistische Region Weser-Ems,2020,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,27.8457196613358
Niedersachsen,2020,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,29.2043399638336
