Year,Nationality,School,Grade,Value
2019,German,A,BA,10
2019,German,A,MA,20
2019,German,B,BA,5
2019,German,B,MA,10
2019,French,A,BA,12
2019,French,A,MA,14
2019,French,B,BA,4
2019,French,B,MA,22
2018,German,A,BA,8
2018,German,A,MA,7
2018,German,B,BA,18
2018,German,B,MA,12
2018,French,A,BA,14
2018,French,A,MA,5
2018,French,B,BA,10
2018,French,B,MA,8
2017,German,A,BA,12
2017,German,A,MA,14
2017,German,B,BA,4
2017,German,B,MA,13
2017,French,A,BA,15
2017,French,A,MA,20
2017,French,B,BA,2
2017,French,B,MA,10
