Year,Geschlecht,Migrationshintergrund,Migrationserfahrung,Units,Value
2019,Insgesamt,Insgesamt,,%,11.9
2019,Männer,Insgesamt,,%,13.1
2019,Frauen,Insgesamt,,%,10.7
2018,Insgesamt,Insgesamt,,%,11.0
2018,Männer,Insgesamt,,%,12.1
2018,Frauen,Insgesamt,,%,9.7
2017,Insgesamt,Insgesamt,,%,11.3
2017,Männer,Insgesamt,,%,12.2
2017,Frauen,Insgesamt,,%,10.3
2016,Insgesamt,Insgesamt,,%,12.1
2016,Männer,Insgesamt,,%,12.5
2016,Frauen,Insgesamt,,%,11.5
2015,Insgesamt,Insgesamt,,%,10.7
2015,Männer,Insgesamt,,%,10.8
2015,Frauen,Insgesamt,,%,10.5
2014,Insgesamt,Insgesamt,,%,10.7
2014,Männer,Insgesamt,,%,11.5
2014,Frauen,Insgesamt,,%,9.9
2013,Insgesamt,Insgesamt,,%,10.7
2013,Männer,Insgesamt,,%,11.0
2013,Frauen,Insgesamt,,%,10.3
2012,Insgesamt,Insgesamt,,%,11.6
2012,Männer,Insgesamt,,%,13.1
2012,Frauen,Insgesamt,,%,9.9
2011,Insgesamt,Insgesamt,,%,13.9
2011,Männer,Insgesamt,,%,14.2
2011,Frauen,Insgesamt,,%,13.6
2005,Insgesamt,Insgesamt,,%,16.0
2005,Männer,Insgesamt,,%,13.7
2005,Frauen,Insgesamt,,%,18.5
2019,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,8.5
2019,Männer,Bevölkerung ohne Migrationshintergrund,,%,9.2
2019,Frauen,Bevölkerung ohne Migrationshintergrund,,%,7.7
2018,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,8.1
2018,Männer,Bevölkerung ohne Migrationshintergrund,,%,9.1
2018,Frauen,Bevölkerung ohne Migrationshintergrund,,%,7.0
2017,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,8.0
2017,Männer,Bevölkerung ohne Migrationshintergrund,,%,8.7
2017,Frauen,Bevölkerung ohne Migrationshintergrund,,%,7.3
2016,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,9.0
2016,Männer,Bevölkerung ohne Migrationshintergrund,,%,9.2
2016,Frauen,Bevölkerung ohne Migrationshintergrund,,%,8.9
2015,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,8.5
2015,Männer,Bevölkerung ohne Migrationshintergrund,,%,8.4
2015,Frauen,Bevölkerung ohne Migrationshintergrund,,%,8.6
2014,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,8.7
2014,Männer,Bevölkerung ohne Migrationshintergrund,,%,9.8
2014,Frauen,Bevölkerung ohne Migrationshintergrund,,%,7.5
2013,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,9.1
2013,Männer,Bevölkerung ohne Migrationshintergrund,,%,9.4
2013,Frauen,Bevölkerung ohne Migrationshintergrund,,%,8.7
2012,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,9.8
2012,Männer,Bevölkerung ohne Migrationshintergrund,,%,11.1
2012,Frauen,Bevölkerung ohne Migrationshintergrund,,%,8.4
2011,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,12.4
2011,Männer,Bevölkerung ohne Migrationshintergrund,,%,13.0
2011,Frauen,Bevölkerung ohne Migrationshintergrund,,%,11.9
2005,Insgesamt,Bevölkerung ohne Migrationshintergrund,,%,13.2
2005,Männer,Bevölkerung ohne Migrationshintergrund,,%,11.4
2005,Frauen,Bevölkerung ohne Migrationshintergrund,,%,15.2
2019,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,21.1
2019,Männer,Bevölkerung mit Migrationshintergrund,,%,22.9
2019,Frauen,Bevölkerung mit Migrationshintergrund,,%,19.1
2018,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,20.2
2018,Männer,Bevölkerung mit Migrationshintergrund,,%,20.9
2018,Frauen,Bevölkerung mit Migrationshintergrund,,%,19.3
2017,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,21.2
2017,Männer,Bevölkerung mit Migrationshintergrund,,%,21.6
2017,Frauen,Bevölkerung mit Migrationshintergrund,,%,20.8
2016,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,21.7
2016,Männer,Bevölkerung mit Migrationshintergrund,,%,22.3
2016,Frauen,Bevölkerung mit Migrationshintergrund,,%,20.9
2015,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,18.8
2015,Männer,Bevölkerung mit Migrationshintergrund,,%,19.7
2015,Frauen,Bevölkerung mit Migrationshintergrund,,%,17.8
2014,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,18.6
2014,Männer,Bevölkerung mit Migrationshintergrund,,%,18.3
2014,Frauen,Bevölkerung mit Migrationshintergrund,,%,18.9
2013,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,16.5
2013,Männer,Bevölkerung mit Migrationshintergrund,,%,16.9
2013,Frauen,Bevölkerung mit Migrationshintergrund,,%,16.1
2012,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,18.2
2012,Männer,Bevölkerung mit Migrationshintergrund,,%,20.3
2012,Frauen,Bevölkerung mit Migrationshintergrund,,%,15.8
2011,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,19.5
2011,Männer,Bevölkerung mit Migrationshintergrund,,%,18.8
2011,Frauen,Bevölkerung mit Migrationshintergrund,,%,20.2
2005,Insgesamt,Bevölkerung mit Migrationshintergrund,,%,25.3
2005,Männer,Bevölkerung mit Migrationshintergrund,,%,22.3
2005,Frauen,Bevölkerung mit Migrationshintergrund,,%,27.7
2019,Insgesamt,,mit eigener Migrationserfahrung,%,30.0
2019,Männer,,mit eigener Migrationserfahrung,%,29.7
2019,Frauen,,mit eigener Migrationserfahrung,%,30.4
2018,Insgesamt,,mit eigener Migrationserfahrung,%,26.0
2018,Männer,,mit eigener Migrationserfahrung,%,25.9
2018,Frauen,,mit eigener Migrationserfahrung,%,26.2
2017,Insgesamt,,mit eigener Migrationserfahrung,%,26.8
2017,Männer,,mit eigener Migrationserfahrung,%,27.0
2017,Frauen,,mit eigener Migrationserfahrung,%,26.5
2016,Insgesamt,,mit eigener Migrationserfahrung,%,25.8
2016,Männer,,mit eigener Migrationserfahrung,%,24.1
2016,Frauen,,mit eigener Migrationserfahrung,%,28.0
2015,Insgesamt,,mit eigener Migrationserfahrung,%,24.4
2015,Männer,,mit eigener Migrationserfahrung,%,24.7
2015,Frauen,,mit eigener Migrationserfahrung,%,24.0
2014,Insgesamt,,mit eigener Migrationserfahrung,%,22.4
2014,Männer,,mit eigener Migrationserfahrung,%,21.2
2014,Frauen,,mit eigener Migrationserfahrung,%,23.6
2013,Insgesamt,,mit eigener Migrationserfahrung,%,19.4
2013,Männer,,mit eigener Migrationserfahrung,%,18.4
2013,Frauen,,mit eigener Migrationserfahrung,%,20.5
2012,Insgesamt,,mit eigener Migrationserfahrung,%,20.5
2012,Männer,,mit eigener Migrationserfahrung,%,21.6
2012,Frauen,,mit eigener Migrationserfahrung,%,19.4
2011,Insgesamt,,mit eigener Migrationserfahrung,%,23.3
2011,Männer,,mit eigener Migrationserfahrung,%,22.3
2011,Frauen,,mit eigener Migrationserfahrung,%,24.3
2005,Insgesamt,,mit eigener Migrationserfahrung,%,25.0
2005,Männer,,mit eigener Migrationserfahrung,%,22.0
2005,Frauen,,mit eigener Migrationserfahrung,%,27.2
2019,Insgesamt,,ohne eigene Migrationserfahrung,%,14.9
2019,Männer,,ohne eigene Migrationserfahrung,%,18.2
2019,Frauen,,ohne eigene Migrationserfahrung,%,
2018,Insgesamt,,ohne eigene Migrationserfahrung,%,14.7
2018,Männer,,ohne eigene Migrationserfahrung,%,15.7
2018,Frauen,,ohne eigene Migrationserfahrung,%,
2017,Insgesamt,,ohne eigene Migrationserfahrung,%,15.8
2017,Männer,,ohne eigene Migrationserfahrung,%,15.8
2017,Frauen,,ohne eigene Migrationserfahrung,%,15.8
2016,Insgesamt,,ohne eigene Migrationserfahrung,%,17.4
2016,Männer,,ohne eigene Migrationserfahrung,%,20.5
2016,Frauen,,ohne eigene Migrationserfahrung,%,
2015,Insgesamt,,ohne eigene Migrationserfahrung,%,13.2
2015,Männer,,ohne eigene Migrationserfahrung,%,
2015,Frauen,,ohne eigene Migrationserfahrung,%,
2014,Insgesamt,,ohne eigene Migrationserfahrung,%,14.7
2014,Männer,,ohne eigene Migrationserfahrung,%,
2014,Frauen,,ohne eigene Migrationserfahrung,%,
2013,Insgesamt,,ohne eigene Migrationserfahrung,%,13.4
2013,Männer,,ohne eigene Migrationserfahrung,%,
2013,Frauen,,ohne eigene Migrationserfahrung,%,
2012,Insgesamt,,ohne eigene Migrationserfahrung,%,15.2
2012,Männer,,ohne eigene Migrationserfahrung,%,18.7
2012,Frauen,,ohne eigene Migrationserfahrung,%,
2011,Insgesamt,,ohne eigene Migrationserfahrung,%,14.2
2011,Männer,,ohne eigene Migrationserfahrung,%,
2011,Frauen,,ohne eigene Migrationserfahrung,%,
2005,Insgesamt,,ohne eigene Migrationserfahrung,%,26.2
2005,Männer,,ohne eigene Migrationserfahrung,%,
2005,Frauen,,ohne eigene Migrationserfahrung,%,
