Year,Fächergruppe,Nationalität,Geschlecht,Units,Value,,,
2013,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,3820,,,
2013,"Sport",Insgesamt,Insgesamt,Anzahl,280,,,
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,7367,,,
2013,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2968,,,
2013,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1229,,,
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1097,,,
2013,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5308,,,
2013,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,1072,,,
2013,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,1,,,
2013,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,23142,,,
2014,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,3435,,,
2014,"Sport",Insgesamt,Insgesamt,Anzahl,256,,,
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,6980,,,
2014,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,3191,,,
2014,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1258,,,
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1063,,,
2014,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5095,,,
2014,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,949,,,
2014,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,,,,
2014,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,22227,,,
2015,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,3461,,,
2015,"Sport",Insgesamt,Insgesamt,Anzahl,284,,,
