Year,Wirtschaftsabschnitte (WZ 2008) Zusammenfassungen,Geschlecht,Units,COMMENT_OBS,Value
2024,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,12.1326
2024,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,190.8747
2024,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,,12.3016
2024,"Baugewerbe",Insgesamt,in 1000,,71.38519
2024,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,137.31874
2024,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,89.05704
2024,"Gastgewerbe",Insgesamt,in 1000,,63.14485
2024,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,127.06587
2024,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,220.80441
2024,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,42.22533
2024,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,970.92789
2023,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,11.31989
2023,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,188.65814
2023,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,9.56066
2023,"Baugewerbe",Insgesamt,in 1000,,70.6292
2023,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,131.07691
2023,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,88.99246
2023,"Gastgewerbe",Insgesamt,in 1000,,61.6277
