Year,Kategorie,Migrationsstatus,Geschlecht,Units,Value
2022,Erwerbsquote,Insgesamt,Männer,%,85.2068871234791
2022,Erwerbsquote,Insgesamt,Frauen ,%,76.2969691837504
2022,Erwerbsquote,Insgesamt,Insgesamt,%,80.7821780096305
2021,Erwerbsquote,Insgesamt,Männer,%,83.7694720652952
2021,Erwerbsquote,Insgesamt,Frauen ,%,74.1246012093738
2021,Erwerbsquote,Insgesamt,Insgesamt,%,78.9934619420454
2019,Erwerbsquote,Insgesamt,Männer,%,83.03
2019,Erwerbsquote,Insgesamt,Frauen ,%,73.76
2019,Erwerbsquote,Insgesamt,Insgesamt,%,78.46
2018,Erwerbsquote,Insgesamt,Männer,%,82.14
2018,Erwerbsquote,Insgesamt,Frauen ,%,73.53
2018,Erwerbsquote,Insgesamt,Insgesamt,%,77.91
2017,Erwerbsquote,Insgesamt,Männer,%,81.61
2017,Erwerbsquote,Insgesamt,Frauen ,%,72.73
2017,Erwerbsquote,Insgesamt,Insgesamt,%,77.26
2016,Erwerbsquote,Insgesamt,Männer,%,81.13
2016,Erwerbsquote,Insgesamt,Frauen ,%,71.46
2016,Erwerbsquote,Insgesamt,Insgesamt,%,76.38
2015,Erwerbsquote,Insgesamt,Männer,%,81.4
2015,Erwerbsquote,Insgesamt,Frauen ,%,71.95
2015,Erwerbsquote,Insgesamt,Insgesamt,%,76.71
2014,Erwerbsquote,Insgesamt,Männer,%,82.1
2014,Erwerbsquote,Insgesamt,Frauen ,%,71.74
2014,Erwerbsquote,Insgesamt,Insgesamt,%,76.96
2013,Erwerbsquote,Insgesamt,Männer,%,82.15
2013,Erwerbsquote,Insgesamt,Frauen ,%,71.68
2013,Erwerbsquote,Insgesamt,Insgesamt,%,76.93
2012,Erwerbsquote,Insgesamt,Männer,%,81.54
2012,Erwerbsquote,Insgesamt,Frauen ,%,70.56
2012,Erwerbsquote,Insgesamt,Insgesamt,%,76.09
2011,Erwerbsquote,Insgesamt,Männer,%,81.68
2011,Erwerbsquote,Insgesamt,Frauen ,%,70.57
2011,Erwerbsquote,Insgesamt,Insgesamt,%,76.15
2005,Erwerbsquote,Insgesamt,Männer,%,79.62
2005,Erwerbsquote,Insgesamt,Frauen ,%,64.12
2005,Erwerbsquote,Insgesamt,Insgesamt,%,71.94
2022,Erwerbsquote,ohne Migrationshintergrund,Männer,%,87.2538307380806
2022,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,80.4426953708312
2022,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,83.8504247706446
2021,Erwerbsquote,ohne Migrationshintergrund,Männer,%,85.835447663258
2021,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,78.0162956706256
2021,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,81.9273510763995
2019,Erwerbsquote,ohne Migrationshintergrund,Männer,%,84.49
2019,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,76.93
2019,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.72
2018,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.7
2018,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,76.65
2018,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.2
2017,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.41
2017,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,75.9
2017,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,79.69
2016,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.69
2016,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,74.22
2016,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.49
2015,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.38
2015,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,74.43
2015,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.43
2014,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.01
2014,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,74
2014,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.53
2013,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.06
2013,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,73.74
2013,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.42
2012,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.19
2012,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,72.46
2012,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,77.37
2011,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.3
2011,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,72.46
2011,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,77.42
2005,Erwerbsquote,ohne Migrationshintergrund,Männer,%,80.35
2005,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,65.97
2005,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,73.21
