Year,Gebietseinheit,Kategorie,Nationalität,Units,GeoCode,Value
2019,Braunschweig  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03101,21264
2019,Salzgitter  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03102,15767
2019,Wolfsburg  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03103,9979
2019,Gifhorn,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03151,10676
2019,Goslar,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03153,13864
2019,Helmstedt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03154,7683
2019,Northeim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03155,10655
2019,Peine,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03157,11270
2019,Wolfenbüttel,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03158,9118
2019,Göttingen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03159,25835
2019,Statistische Region Braunschweig,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K031,136111
2019,Hannover  Region,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03241,136038
2019,dav. Hannover  Lhst.,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03241001,79330
2019,dav. Hannover  Umland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03241999,56708
2019,Diepholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03251,15107
2019,Hameln-Pyrmont,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03252,16030
2019,Hildesheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03254,25087
2019,Holzminden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03255,6318
2019,Nienburg (Weser),Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03256,11106
2019,Schaumburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03257,13489
2019,Statistische Region Hannover,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K032,223175
2019,Celle,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03351,17521
2019,Cuxhaven,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03352,14334
2019,Harburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03353,14521
2019,Lüchow-Dannenberg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03354,4439
2019,Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03355,15232
2019,Osterholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03356,5813
2019,Rotenburg (Wümme),Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03357,9161
2019,Heidekreis,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03358,10796
2019,Stade,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03359,16915
2019,Uelzen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03360,6620
2019,Verden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03361,9114
2019,Statistische Region Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K033,124466
2019,Delmenhorst  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03401,12501
2019,Emden  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03402,6719
2019,Oldenburg(Oldb)  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03403,19714
2019,Osnabrück  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03404,19047
2019,Wilhelmshaven  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03405,12637
2019,Ammerland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03451,7457
2019,Aurich,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03452,15980
2019,Cloppenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03453,9940
2019,Emsland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03454,16956
2019,Friesland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03455,6336
2019,Grafschaft Bentheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03456,7959
2019,Leer,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03457,11879
2019,Oldenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03458,7274
2019,Osnabrück,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03459,16307
2019,Vechta,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03460,8535
2019,Wesermarsch,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03461,8025
2019,Wittmund,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03462,3850
2019,Statistische Region Weser-Ems,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K034,191116
2019,Niedersachsen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K030,674868
2018,Braunschweig  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03101,21725
2018,Salzgitter  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03102,16120
2018,Wolfsburg  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03103,10117
2018,Gifhorn,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03151,11271
