Year,Gebieteseinheit,Altersgruppe,Nationalität,GeoCode,Value
2022,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,95
2022,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,131
2022,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,85
2022,"Gifhorn",im Alter bis unter 18 Jahren,Deutsche,K03151,47
2022,"Goslar",im Alter bis unter 18 Jahren,Deutsche,K03153,107
2022,"Helmstedt",im Alter bis unter 18 Jahren,Deutsche,K03154,69
2022,"Northeim",im Alter bis unter 18 Jahren,Deutsche,K03155,77
2022,"Peine",im Alter bis unter 18 Jahren,Deutsche,K03157,86
2022,"Wolfenbüttel",im Alter bis unter 18 Jahren,Deutsche,K03158,69
2022,"Göttingen",im Alter bis unter 18 Jahren,Deutsche,K03159,70
2022,"Statistische Region Braunschweig",im Alter bis unter 18 Jahren,Deutsche,K031,80
2022,"Region Hannover",im Alter bis unter 18 Jahren,Deutsche,K03241,112
2022,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,156
2022,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,81
2022,"Diepholz",im Alter bis unter 18 Jahren,Deutsche,K03251,56
2022,"Hameln-Pyrmont",im Alter bis unter 18 Jahren,Deutsche,K03252,102
2022,"Hildesheim",im Alter bis unter 18 Jahren,Deutsche,K03254,86
2022,"Holzminden",im Alter bis unter 18 Jahren,Deutsche,K03255,86
2022,"Nienburg (Weser)",im Alter bis unter 18 Jahren,Deutsche,K03256,90
2022,"Schaumburg",im Alter bis unter 18 Jahren,Deutsche,K03257,65
2022,"Statistische Region Hannover",im Alter bis unter 18 Jahren,Deutsche,K032,97
2022,"Celle",im Alter bis unter 18 Jahren,Deutsche,K03351,87
2022,"Cuxhaven",im Alter bis unter 18 Jahren,Deutsche,K03352,72
2022,"Harburg",im Alter bis unter 18 Jahren,Deutsche,K03353,55
2022,"Lüchow-Dannenberg",im Alter bis unter 18 Jahren,Deutsche,K03354,82
2022,"Lüneburg",im Alter bis unter 18 Jahren,Deutsche,K03355,68
2022,"Osterholz",im Alter bis unter 18 Jahren,Deutsche,K03356,37
2022,"Rotenburg (Wümme)",im Alter bis unter 18 Jahren,Deutsche,K03357,43
2022,"Heidekreis",im Alter bis unter 18 Jahren,Deutsche,K03358,81
2022,"Stade",im Alter bis unter 18 Jahren,Deutsche,K03359,79
2022,"Uelzen",im Alter bis unter 18 Jahren,Deutsche,K03360,73
2022,"Verden",im Alter bis unter 18 Jahren,Deutsche,K03361,50
2022,"Statistische Region Lüneburg",im Alter bis unter 18 Jahren,Deutsche,K033,65
2022,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,142
2022,"Emden, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03402,138
2022,"Oldenburg (Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,115
2022,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,111
2022,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,194
2022,"Ammerland",im Alter bis unter 18 Jahren,Deutsche,K03451,48
2022,"Aurich",im Alter bis unter 18 Jahren,Deutsche,K03452,94
2022,"Cloppenburg",im Alter bis unter 18 Jahren,Deutsche,K03453,49
2022,"Emsland",im Alter bis unter 18 Jahren,Deutsche,K03454,32
2022,"Friesland",im Alter bis unter 18 Jahren,Deutsche,K03455,58
2022,"Grafschaft Bentheim",im Alter bis unter 18 Jahren,Deutsche,K03456,48
2022,"Leer",im Alter bis unter 18 Jahren,Deutsche,K03457,54
2022,"Oldenburg",im Alter bis unter 18 Jahren,Deutsche,K03458,44
2022,"Osnabrück",im Alter bis unter 18 Jahren,Deutsche,K03459,35
2022,"Vechta",im Alter bis unter 18 Jahren,Deutsche,K03460,36
2022,"Wesermarsch",im Alter bis unter 18 Jahren,Deutsche,K03461,90
2022,"Wittmund",im Alter bis unter 18 Jahren,Deutsche,K03462,73
2022,"Statistische Region Weser-Ems",im Alter bis unter 18 Jahren,Deutsche,K034,64
2022,"Niedersachsen",im Alter bis unter 18 Jahren,Deutsche,K030,76
2021,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,98
2021,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,131
2021,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,86
2021,"Gifhorn",im Alter bis unter 18 Jahren,Deutsche,K03151,50
2021,"Goslar",im Alter bis unter 18 Jahren,Deutsche,K03153,111
2021,"Helmstedt",im Alter bis unter 18 Jahren,Deutsche,K03154,73
2021,"Northeim",im Alter bis unter 18 Jahren,Deutsche,K03155,83
2021,"Peine",im Alter bis unter 18 Jahren,Deutsche,K03157,90
2021,"Wolfenbüttel",im Alter bis unter 18 Jahren,Deutsche,K03158,71
2021,"Göttingen",im Alter bis unter 18 Jahren,Deutsche,K03159,74
2021,"Statistische Region Braunschweig",im Alter bis unter 18 Jahren,Deutsche,K031,83
2021,"Region Hannover",im Alter bis unter 18 Jahren,Deutsche,K03241,120
2021,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,164
2021,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,88
2021,"Diepholz",im Alter bis unter 18 Jahren,Deutsche,K03251,60
2021,"Hameln-Pyrmont",im Alter bis unter 18 Jahren,Deutsche,K03252,103
2021,"Hildesheim",im Alter bis unter 18 Jahren,Deutsche,K03254,92
2021,"Holzminden",im Alter bis unter 18 Jahren,Deutsche,K03255,94
2021,"Nienburg (Weser)",im Alter bis unter 18 Jahren,Deutsche,K03256,90
2021,"Schaumburg",im Alter bis unter 18 Jahren,Deutsche,K03257,73
2021,"Statistische Region Hannover",im Alter bis unter 18 Jahren,Deutsche,K032,103
2021,"Celle",im Alter bis unter 18 Jahren,Deutsche,K03351,90
2021,"Cuxhaven",im Alter bis unter 18 Jahren,Deutsche,K03352,76
2021,"Harburg",im Alter bis unter 18 Jahren,Deutsche,K03353,58
2021,"Lüchow-Dannenberg",im Alter bis unter 18 Jahren,Deutsche,K03354,88
2021,"Lüneburg",im Alter bis unter 18 Jahren,Deutsche,K03355,69
2021,"Osterholz",im Alter bis unter 18 Jahren,Deutsche,K03356,41
2021,"Rotenburg (Wümme)",im Alter bis unter 18 Jahren,Deutsche,K03357,44
2021,"Heidekreis",im Alter bis unter 18 Jahren,Deutsche,K03358,84
2021,"Stade",im Alter bis unter 18 Jahren,Deutsche,K03359,84
2021,"Uelzen",im Alter bis unter 18 Jahren,Deutsche,K03360,72
2021,"Verden",im Alter bis unter 18 Jahren,Deutsche,K03361,57
2021,"Statistische Region Lüneburg",im Alter bis unter 18 Jahren,Deutsche,K033,68
2021,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,157
2021,"Emden, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03402,156
2021,"Oldenburg (Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,123
2021,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,122
2021,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,198
2021,"Ammerland",im Alter bis unter 18 Jahren,Deutsche,K03451,52
2021,"Aurich",im Alter bis unter 18 Jahren,Deutsche,K03452,102
2021,"Cloppenburg",im Alter bis unter 18 Jahren,Deutsche,K03453,51
2021,"Emsland",im Alter bis unter 18 Jahren,Deutsche,K03454,34
2021,"Friesland",im Alter bis unter 18 Jahren,Deutsche,K03455,58
2021,"Grafschaft Bentheim",im Alter bis unter 18 Jahren,Deutsche,K03456,50
2021,"Leer",im Alter bis unter 18 Jahren,Deutsche,K03457,55
2021,"Oldenburg",im Alter bis unter 18 Jahren,Deutsche,K03458,44
