Year,Überwiegender Lebensunterhalt,Migrationsstatus,Geschlecht,Units,Value
2019,Insgesamt,Insgesamt,Insgesamt,%,100
2019,Insgesamt,ohne Migrationshintergrund,Männer,%,100
2019,Insgesamt,mit Migrationshintergrund,Männer,%,100
2019,Insgesamt,Insgesamt,Männer,%,100
2019,Insgesamt,ohne Migrationshintergrund,Frauen,%,100
2019,Insgesamt,mit Migrationshintergrund,Frauen,%,100
2019,Insgesamt,Insgesamt,Frauen,%,100
2018,Insgesamt,Insgesamt,Insgesamt,%,100.0
2018,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2018,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2018,Insgesamt,Insgesamt,Männer,%,100.0
2018,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2018,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2018,Insgesamt,Insgesamt,Frauen,%,100.0
2017,Insgesamt,Insgesamt,Insgesamt,%,100.0
2017,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2017,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2017,Insgesamt,Insgesamt,Männer,%,100.0
2017,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2017,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2017,Insgesamt,Insgesamt,Frauen,%,100.0
2016,Insgesamt,Insgesamt,Insgesamt,%,100.0
2016,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2016,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2016,Insgesamt,Insgesamt,Männer,%,100.0
2016,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2016,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2016,Insgesamt,Insgesamt,Frauen,%,100.0
2015,Insgesamt,Insgesamt,Insgesamt,%,100.0
2015,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2015,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2015,Insgesamt,Insgesamt,Männer,%,100.0
2015,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2015,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2015,Insgesamt,Insgesamt,Frauen,%,100.0
2014,Insgesamt,Insgesamt,Insgesamt,%,100.0
2014,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2014,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2014,Insgesamt,Insgesamt,Männer,%,100.0
2014,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2014,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2014,Insgesamt,Insgesamt,Frauen,%,100.0
2013,Insgesamt,Insgesamt,Insgesamt,%,100.0
2013,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2013,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2013,Insgesamt,Insgesamt,Männer,%,100.0
2013,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2013,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2013,Insgesamt,Insgesamt,Frauen,%,100.0
2012,Insgesamt,Insgesamt,Insgesamt,%,100.0
2012,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2012,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2012,Insgesamt,Insgesamt,Männer,%,100.0
2012,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2012,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2012,Insgesamt,Insgesamt,Frauen,%,100.0
2011,Insgesamt,Insgesamt,Insgesamt,%,100.0
2011,Insgesamt,ohne Migrationshintergrund,Männer,%,100.0
2011,Insgesamt,mit Migrationshintergrund,Männer,%,100.0
2011,Insgesamt,Insgesamt,Männer,%,100.0
2011,Insgesamt,ohne Migrationshintergrund,Frauen,%,100.0
2011,Insgesamt,mit Migrationshintergrund,Frauen,%,100.0
2011,Insgesamt,Insgesamt,Frauen,%,100.0
2019,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,46
2019,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,52.3
2019,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,48.6
2019,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,51.4
2019,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,42.4
2019,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,34.1
2019,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,40.6
2018,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,45.3
2018,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,51.6
2018,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,48.2
2018,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,50.8
2018,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,41.5
2018,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,34.0
2018,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,39.9
2017,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,44.7
2017,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,51.8
2017,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,45.3
2017,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,50.4
2017,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,41.0
2017,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,31.6
2017,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,39.1
2016,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,43.7
2016,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,51.2
2016,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,44.4
2016,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,49.7
2016,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,39.2
2016,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,31.5
2016,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,37.8
