Year,Migrationsstatus,Hauhaltsnettoeinkommen,Haushaltsgröße,COMMENT_OBS,Value
2025,Insgesamt,Insgesamt,insgesamt,,3938
2025,Insgesamt,unter 500,insgesamt,,51
2025,Insgesamt,500 - 1000,insgesamt,,218
2025,Insgesamt,1000 - 1500,insgesamt,,403
2025,Insgesamt,1500 - 2000,insgesamt,,445
2025,Insgesamt,2000 - 2500,insgesamt,,500
2025,Insgesamt,2500 - 3000,insgesamt,,391
2025,Insgesamt,3000 - 3500,insgesamt,,337
2025,Insgesamt,3500 - 4000,insgesamt,,295
2025,Insgesamt,4000 - 5000,insgesamt,,476
2025,Insgesamt,5000 und mehr,insgesamt,,822
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2902
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,33
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,142
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1500,insgesamt,,297
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,322
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,376
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,298
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,244
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,212
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,351
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,624
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,263
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1500,insgesamt,statistisch unsicher,5
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,11
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,16
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,18
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,27
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,28
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,49
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,107
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,773
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,17
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,75
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1500,insgesamt,,101
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,112
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,107
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,75
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,66
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,55
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,75
2025,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,90
2024,Insgesamt,Insgesamt,insgesamt,,3943
2024,Insgesamt,unter 500,insgesamt,,53
2024,Insgesamt,500 - 1000,insgesamt,,240
2024,Insgesamt,1000 - 1500,insgesamt,,425
2024,Insgesamt,1500 - 2000,insgesamt,,479
2024,Insgesamt,2000 - 2500,insgesamt,,505
2024,Insgesamt,2500 - 3000,insgesamt,,391
2024,Insgesamt,3000 - 3500,insgesamt,,345
2024,Insgesamt,3500 - 4000,insgesamt,,299
2024,Insgesamt,4000 - 5000,insgesamt,,461
2024,Insgesamt,5000 und mehr,insgesamt,,744
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2916
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,34
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,161
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1500,insgesamt,,317
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,351
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,384
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,291
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,255
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,218
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,339
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,566
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,269
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
