Year,Land der Staatsangehörigkeit,Kategorie,Units,Value
2022.0,Bulgarien,Ausländerinnen und Ausländer,Anzahl,35625.0
2022.0,Griechenland,Ausländerinnen und Ausländer,Anzahl,19010.0
2022.0,Italien,Ausländerinnen und Ausländer,Anzahl,28945.0
2022.0,Serbien (ohne Kosovo) ab 2008,Ausländerinnen und Ausländer,Anzahl,20475.0
2022.0,Kroatien,Ausländerinnen und Ausländer,Anzahl,12205.0
2022.0,Kosovo,Ausländerinnen und Ausländer,Anzahl,18775.0
2022.0,Niederlande,Ausländerinnen und Ausländer,Anzahl,29535.0
2022.0,Polen,Ausländerinnen und Ausländer,Anzahl,101635.0
2022.0,Rumänien,Ausländerinnen und Ausländer,Anzahl,74805.0
2022.0,Russische Föderation,Ausländerinnen und Ausländer,Anzahl,23810.0
2022.0,Spanien,Ausländerinnen und Ausländer,Anzahl,12745.0
2022.0,Türkei,Ausländerinnen und Ausländer,Anzahl,90615.0
2022.0,Ukraine,Ausländerinnen und Ausländer,Anzahl,119230.0
2022.0,übrige europäische Staaten,Ausländerinnen und Ausländer,Anzahl,10.0
2022.0,Europa insgesamt,Ausländerinnen und Ausländer,Anzahl,695750.0
2022.0,übrige afrikanische Staaten,Ausländerinnen und Ausländer,Anzahl,7795.0
2022.0,Afrika insgesamt,Ausländerinnen und Ausländer,Anzahl,51550.0
2022.0,übrige amerikanische Staaten,Ausländerinnen und Ausländer,Anzahl,1665.0
2022.0,Amerika insgesamt,Ausländerinnen und Ausländer,Anzahl,20895.0
2022.0,Afghanistan,Ausländerinnen und Ausländer,Anzahl,28755.0
2022.0,China,Ausländerinnen und Ausländer,Anzahl,9890.0
2022.0,Indien,Ausländerinnen und Ausländer,Anzahl,10035.0
2022.0,Irak,Ausländerinnen und Ausländer,Anzahl,46925.0
2022.0,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,12300.0
2022.0,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,96330.0
2022.0,Vietnam,Ausländerinnen und Ausländer,Anzahl,9690.0
2022.0,übrige asiatische Staaten,Ausländerinnen und Ausländer,Anzahl,4670.0
2022.0,Asien insgesamt,Ausländerinnen und Ausländer,Anzahl,262510.0
2022.0,Australien und Ozeanien,Ausländerinnen und Ausländer,Anzahl,1005.0
2022.0,staatenlos,Ausländerinnen und Ausländer,Anzahl,3755.0
2022.0,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,9650.0
2022.0,Ausländer insgesamt,Ausländerinnen und Ausländer,Anzahl,1045140.0
2021.0,Bulgarien,Ausländerinnen und Ausländer,Anzahl,33940.0
2021.0,Griechenland,Ausländerinnen und Ausländer,Anzahl,18920.0
2021.0,Italien,Ausländerinnen und Ausländer,Anzahl,29130.0
2021.0,Serbien (ohne Kosovo) ab 2008,Ausländerinnen und Ausländer,Anzahl,19975.0
2021.0,Kroatien,Ausländerinnen und Ausländer,Anzahl,12095.0
2021.0,Kosovo,Ausländerinnen und Ausländer,Anzahl,17810.0
2021.0,Niederlande,Ausländerinnen und Ausländer,Anzahl,29745.0
