Year,Gebietseinheit,Migrationshintergrund,Units,GeoCode,Value
2021,Niedersachsen,Personen ohne Migrationshintergrund,in 1000,MZ030,6021.0
2020,Niedersachsen,Personen ohne Migrationshintergrund,in 1000,MZ030,6098.0
2019,Braunschweig  Stadt,Personen ohne Migrationshintergrund,in 1000,MZ03101,181.27089
2019,Salzgitter  Stadt,Personen ohne Migrationshintergrund,in 1000,MZ03102,66.01907
2019,Wolfsburg  Stadt,Personen ohne Migrationshintergrund,in 1000,MZ03103,75.22717
2019,Gifhorn,Personen ohne Migrationshintergrund,in 1000,MZ03151,128.39846
2019,Goslar,Personen ohne Migrationshintergrund,in 1000,MZ03153,107.80583
2019,Helmstedt,Personen ohne Migrationshintergrund,in 1000,MZ03154,73.42208
2019,Northeim,Personen ohne Migrationshintergrund,in 1000,MZ03155,108.49247
2019,Peine,Personen ohne Migrationshintergrund,in 1000,MZ03157,103.82208
2019,Göttingen,Personen ohne Migrationshintergrund,in 1000,MZ03159,266.11967
2019,Wolfenbüttel,Personen ohne Migrationshintergrund,in 1000,MZ03158,99.70084
2019,Statistische Region Braunschweig,Personen ohne Migrationshintergrund,in 1000,MZ031,1211.11889
2019,Hannover  Region,Personen ohne Migrationshintergrund,in 1000,MZ03241,791.88406
2019,dav. Hannover  Lhst.,Personen ohne Migrationshintergrund,in 1000,MZ03241001,331.47849
2019,dav. Hannover  Umland,Personen ohne Migrationshintergrund,in 1000,MZ03241999,460.40557
2019,Diepholz,Personen ohne Migrationshintergrund,in 1000,MZ03251,176.09468
2019,Hameln-Pyrmont,Personen ohne Migrationshintergrund,in 1000,MZ03252,107.68164
2019,Hildesheim,Personen ohne Migrationshintergrund,in 1000,MZ03254,209.38745
2019,Holzminden,Personen ohne Migrationshintergrund,in 1000,MZ03255,54.93921
2019,Nienburg (Weser),Personen ohne Migrationshintergrund,in 1000,MZ03256,85.25176
2019,Schaumburg,Personen ohne Migrationshintergrund,in 1000,MZ03257,124.90874
2019,Statistische Region Hannover,Personen ohne Migrationshintergrund,in 1000,MZ032,1550.5034
2019,Celle,Personen ohne Migrationshintergrund,in 1000,MZ03351,139.56713
2019,Cuxhaven,Personen ohne Migrationshintergrund,in 1000,MZ03352,164.63307
2019,Harburg,Personen ohne Migrationshintergrund,in 1000,MZ03353,198.32566
2019,Uelzen Lüchow-Dannenberg,Personen ohne Migrationshintergrund,in 1000,MZ03354360,113.05122
2019,Lüneburg,Personen ohne Migrationshintergrund,in 1000,MZ03355,149.05781
2019,Osterholz,Personen ohne Migrationshintergrund,in 1000,MZ03356,96.4146
2019,Rotenburg (Wümme),Personen ohne Migrationshintergrund,in 1000,MZ03357,136.77219
2019,Heidekreis,Personen ohne Migrationshintergrund,in 1000,MZ03358,105.29538
2019,Stade,Personen ohne Migrationshintergrund,in 1000,MZ03359,165.67978
