Year,Gebietseinheit,Migrationshintergrund,Geocode,Value
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,74.0,4.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,64.0,26.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,61.0,77.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,73.0,25.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,80.0,88.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84.0,8.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,83.0,72.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,79.0,71.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,83.0,2.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84.0,49.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77.0,45.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69.0,54.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,62.0,68.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,75.0,5.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,82.0,58.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,73.0,38.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,77.0,18.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,79.0,79.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,73.0,78.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,81.0,5.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,73.0,58.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,80.0,7.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84.0,38.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,78.0,9.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,83.0,76.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,83.0,34.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,85.0,75.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,84.0,62.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,78.0,22.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,82.0,22.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80.0,14.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,82.0,2.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66.0,11.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,82.0,91.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,82.0,6.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,70.0,6.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,75.0,69.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,83.0,66.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,86.0,97.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,70.0,33.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,77.0,35.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,88.0,57.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,72.0,18.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,84.0,28.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,76.0,75.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,65.0,45.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,86.0,88.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78.0,37.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77.0,68.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,73.0,93.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,63.0,5.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,62.0,77.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,77.0,25.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,83.0,97.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,82.0,64.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,81.0,5.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81.0,74.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,81.0,94.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85.0,7.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77.0,88.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69.0,28.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,61.0,7.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,75.0,91.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,82.0,83.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,71.0,2.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,80.0,11.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,80.0,59.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,78.0,29.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,82.0,37.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,74.0,3.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,80.0,9.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84.0,33.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,80.0,37.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,84.0,3.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,84.0,9.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,88.0,69.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,81.0,16.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82.0,1.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,80.0,49.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80.0,15.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,82.0,37.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66.0,88.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,79.0,94.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,83.0,28.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,73.0,29.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,70.0,69.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,84.0,76.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,88.0,3.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,72.0,18.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,74.0,33.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91.0,83.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,72.0,85.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,83.0,17.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,77.0,26.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,67.0,79.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84.0,91.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78.0,29.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77.0,94.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,73.0,22.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,63.0,68.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,64.0,91.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,79.0,69.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,83.0,92.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84.0,35.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,79.0,44.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81.0,61.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,80.0,69.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85.0,7.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77.0,84.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69.0,53.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,63.0,52.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,74.0,78.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,83.0,88.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,69.0,67.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,78.0,79.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,82.0,53.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,77.0,29.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,81.0,47.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,73.0,9.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,79.0,5.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84.0,96.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,80.0,64.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,86.0,8.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,81.0,67.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,81.0,76.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,81.0,39.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82.0,99.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,79.0,82.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,81.0,26.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,81.0,88.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,63.0,38.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,81.0,73.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,80.0,73.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71.0,71.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,79.0,33.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,88.0,57.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,89.0,47.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,71.0,28.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,77.0,32.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,90.0,69.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,75.0,22.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,83.0,7.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,75.0,64.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,67.0,42.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84.0,6.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78.0,73.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77.0,93.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,75.0,53.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72.0,8.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,67.0,13.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,78.0,3.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,86.0,85.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,88.0,97.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,79.0,35.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,83.0,81.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,81.0,32.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,87.0,82.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,79.0,85.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,72.0,5.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,67.0,13.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,77.0,18.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85.0,2.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,78.0,1.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,84.0,2.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,83.0,52.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,81.0,6.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,85.0,51.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,77.0,43.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,79.0,9.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,86.0,95.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,85.0,42.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89.0,15.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,85.0,6.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,82.0,84.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,83.0,6.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,85.0,8.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,85.0,15.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,78.0,86.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,84.0,34.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66.0,31.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,87.0,48.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,82.0,66.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,73.0,16.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,86.0,33.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,90.0,62.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,91.0,78.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,72.0,76.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,76.0,96.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91.0,5.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,75.0,66.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,87.0,79.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,76.0,14.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,72.0,32.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85.0,17.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,80.0,67.0
