Year,Herkunftsland,Geschlecht,Units,COMMENT_OBS,Value
2023,Europa,Insgesamt,in 1000,,1206.0
2023,Bulgarien,Insgesamt,in 1000,,32.0
2023,Italien,Insgesamt,in 1000,,41.0
2023,Kroatien,Insgesamt,in 1000,,14.0
2023,Polen,Insgesamt,in 1000,,257.0
2023,Rumänien,Insgesamt,in 1000,,51.0
2023,Spanien,Insgesamt,in 1000,,19.0
2023,Sonstiges Europa,Insgesamt,in 1000,,630.0
2023,Kosovo,Insgesamt,in 1000,,39.0
2023,Russische Förderation,Insgesamt,in 1000,,165.0
2023,Serbien,Insgesamt,in 1000,,23.0
2023,Türkei,Insgesamt,in 1000,,194.0
2023,Ukraine,Insgesamt,in 1000,,112.0
2023,EU Staaten,Insgesamt,in 1000,,576.0
2023,Afrika,Insgesamt,in 1000,,89.0
2023,Marokko,Insgesamt,in 1000,,9.0
2023,Amerika,Insgesamt,in 1000,,43.0
2023,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,598.0
2023,Afghanistan,Insgesamt,in 1000,,43.0
2023,Irak,Insgesamt,in 1000,,60.0
2023,Kasachstan,Insgesamt,in 1000,,171.0
2023,Syrien,Insgesamt,in 1000,,134.0
2023,Vietnam,Insgesamt,in 1000,,16.0
2023,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,138.0
2023,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,112.0
2023,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,533.0
2023,Insgesamt,Insgesamt,in 1000,,2074.0
2022,Europa,Insgesamt,in 1000,,1165.0
2022,Bulgarien,Insgesamt,in 1000,,32.0
2022,Italien,Insgesamt,in 1000,,40.0
2022,Kroatien,Insgesamt,in 1000,,13.0
2022,Polen,Insgesamt,in 1000,,246.0
2022,Rumänien,Insgesamt,in 1000,,59.0
2022,Spanien,Insgesamt,in 1000,,17.0
2022,Sonstiges Europa,Insgesamt,in 1000,,593.0
2022,Kosovo,Insgesamt,in 1000,,49.0
2022,Russische Förderation,Insgesamt,in 1000,,180.0
2022,Serbien,Insgesamt,in 1000,,31.0
2022,Türkei,Insgesamt,in 1000,,197.0
2022,Ukraine,Insgesamt,in 1000,,46.0
2022,EU Staaten,Insgesamt,in 1000,,571.0
2022,Afrika,Insgesamt,in 1000,,81.0
2022,Marokko,Insgesamt,in 1000,,7.0
2022,Amerika,Insgesamt,in 1000,,40.0
2022,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,581.0
2022,Afghanistan,Insgesamt,in 1000,,39.0
2022,Irak,Insgesamt,in 1000,,57.0
2022,Kasachstan,Insgesamt,in 1000,,176.0
2022,Syrien,Insgesamt,in 1000,,132.0
2022,Vietnam,Insgesamt,in 1000,,20.0
2022,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,145.0
2022,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,128.0
2022,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,478.0
2022,Insgesamt,Insgesamt,in 1000,,2012.0
2021,Europa ,Insgesamt,in 1000,,1126.0
2021,Bulgarien,Insgesamt,in 1000,,25.0
2021,Italien,Insgesamt,in 1000,,45.0
2021,Kroatien,Insgesamt,in 1000,,13.0
2021,Polen ,Insgesamt,in 1000,,242.0
2021,Rumänien ,Insgesamt,in 1000,,64.0
2021,Spanien,Insgesamt,in 1000,,19.0
2021,Sonstiges Europa ,Insgesamt,in 1000,,560.0
2021,Kosovo,Insgesamt,in 1000,,52.0
2021,Russische Föderation ,Insgesamt,in 1000,,183.0
2021,Serbien,Insgesamt,in 1000,,19.0
2021,Türkei ,Insgesamt,in 1000,,193.0
2021,EU Staaten,Insgesamt,in 1000,,566.0
2021,Afrika,Insgesamt,in 1000,,67.0
2021,Marokko,Insgesamt,in 1000,"Aussagewert eingeschränkt, da der Zahlenwert statistisch relativ unsicher ist.",7.0
2021,Amerika,Insgesamt,in 1000,,35.0
2021,"Asien, Australien und Ozeanien",Insgesamt,in 1000,,547.0
2021,Afghanistan,Insgesamt,in 1000,,35.0
2021,Irak,Insgesamt,in 1000,,55.0
2021,Kasachstan,Insgesamt,in 1000,,171.0
2021,Syrien,Insgesamt,in 1000,,116.0
2021,Vietnam,Insgesamt,in 1000,,21.0
2021,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,152.0
2021,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Insgesamt,in 1000,,120.0
2021,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Insgesamt,in 1000,,452.0
2021,Insgesamt,Insgesamt,in 1000,,1926.0
2019,Insgesamt,Insgesamt,in 1000,,1751.0
2019,Europa ,Insgesamt,in 1000,,1070.0
2019,EU Staaten,Insgesamt,in 1000,,547.0
2019,Bulgarien ,Insgesamt,in 1000,,24.0
2019,Frankreich ,Insgesamt,in 1000,,8.0
2019,Griechenland ,Insgesamt,in 1000,,25.0
2019,Italien,Insgesamt,in 1000,,37.0
2019,Kroatien ,Insgesamt,in 1000,,16.0
2019,Niederlande ,Insgesamt,in 1000,,41.0
2019,Österreich,Insgesamt,in 1000,,13.0
2019,Polen ,Insgesamt,in 1000,,245.0
2019,Portugal ,Insgesamt,in 1000,,7.0
2019,Rumänien ,Insgesamt,in 1000,,44.0
2019,Spanien ,Insgesamt,in 1000,,17.0
2019,Vereinigtes Königreich ,Insgesamt,in 1000,,20.0
2019,Sonstiges Europa ,Insgesamt,in 1000,,522.0
2019,Bosnien und Herzegowina ,Insgesamt,in 1000,,16.0
2019,Kosovo ,Insgesamt,in 1000,,44.0
2019,Russische Föderation ,Insgesamt,in 1000,,179.0
2019,Serbien ,Insgesamt,in 1000,,21.0
2019,Türkei ,Insgesamt,in 1000,,187.0
2019,Ukraine ,Insgesamt,in 1000,,28.0
2019,Afrika,Insgesamt,in 1000,,54.0
2019,Marokko ,Insgesamt,in 1000,,7.0
2019,"Ägypten, Algerien, Libyen, Tunesien",Insgesamt,in 1000,,13.0
2019,Amerika,Insgesamt,in 1000,,36.0
2019,Nordamerika ,Insgesamt,in 1000,,9.0
2019,Vereinigte Staaten ,Insgesamt,in 1000,,7.0
2019,Mittel- und Südamerika ,Insgesamt,in 1000,,27.0
2019,Asien ,Insgesamt,in 1000,,465.0
2019,Naher und Mittlerer Osten ,Insgesamt,in 1000,,368.0
2019,Irak ,Insgesamt,in 1000,,38.0
2019,Iran ,Insgesamt,in 1000,,21.0
2019,Kasachstan ,Insgesamt,in 1000,,153.0
2019,Syrien ,Insgesamt,in 1000,,94.0
2019,Sonstiges Asien ,Insgesamt,in 1000,,97.0
2019,Afghanistan,Insgesamt,in 1000,,25.0
2019,China ,Insgesamt,in 1000,,15.0
2019,Indien ,Insgesamt,in 1000,,8.0
2019,Pakistan ,Insgesamt,in 1000,,10.0
2019,Vietnam,Insgesamt,in 1000,,19.0
2019,Australien und Ozeanien ,Insgesamt,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,Unbestimmt,Insgesamt,in 1000,,73.0
2019,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,50.0
2019,nachrichtlich:,Insgesamt,in 1000,,0.0
2018,Insgesamt,Insgesamt,in 1000,,1726.0
2018,Europa ,Insgesamt,in 1000,,1062.0
2018,EU Staaten,Insgesamt,in 1000,,560.0
2018,Bulgarien ,Insgesamt,in 1000,,20.0
2018,Frankreich ,Insgesamt,in 1000,,9.0
2018,Griechenland ,Insgesamt,in 1000,,23.0
2018,Italien,Insgesamt,in 1000,,39.0
2018,Kroatien ,Insgesamt,in 1000,,14.0
2018,Niederlande ,Insgesamt,in 1000,,48.0
2018,Österreich,Insgesamt,in 1000,,13.0
2018,Polen ,Insgesamt,in 1000,,255.0
2018,Portugal ,Insgesamt,in 1000,,10.0
2018,Rumänien ,Insgesamt,in 1000,,41.0
2018,Spanien ,Insgesamt,in 1000,,18.0
2018,Vereinigtes Königreich ,Insgesamt,in 1000,,17.0
2018,Sonstiges Europa ,Insgesamt,in 1000,,503.0
2018,Bosnien und Herzegowina ,Insgesamt,in 1000,,14.0
2018,Kosovo ,Insgesamt,in 1000,,41.0
2018,Russische Föderation ,Insgesamt,in 1000,,178.0
2018,Serbien ,Insgesamt,in 1000,,19.0
2018,Türkei ,Insgesamt,in 1000,,182.0
2018,Ukraine ,Insgesamt,in 1000,,29.0
2018,Afrika,Insgesamt,in 1000,,49.0
2018,Marokko ,Insgesamt,in 1000,,8.0
2018,"Ägypten, Algerien, Libyen, Tunesien",Insgesamt,in 1000,,14.0
2018,Amerika,Insgesamt,in 1000,,35.0
2018,Nordamerika ,Insgesamt,in 1000,,8.0
2018,Vereinigte Staaten ,Insgesamt,in 1000,,7.0
2018,Mittel- und Südamerika ,Insgesamt,in 1000,,27.0
2018,Asien ,Insgesamt,in 1000,,471.0
2018,Naher und Mittlerer Osten ,Insgesamt,in 1000,,377.0
2018,Irak ,Insgesamt,in 1000,,31.0
2018,Iran ,Insgesamt,in 1000,,20.0
2018,Kasachstan ,Insgesamt,in 1000,,163.0
2018,Syrien ,Insgesamt,in 1000,,99.0
2018,Sonstiges Asien ,Insgesamt,in 1000,,94.0
2018,Afghanistan,Insgesamt,in 1000,,21.0
2018,China ,Insgesamt,in 1000,,12.0
2018,Indien ,Insgesamt,in 1000,,7.0
2018,Pakistan ,Insgesamt,in 1000,,8.0
2018,Vietnam,Insgesamt,in 1000,,22.0
2018,Australien und Ozeanien ,Insgesamt,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,Unbestimmt,Insgesamt,in 1000,,66.0
2018,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,39.0
2018,nachrichtlich:,Insgesamt,in 1000,,0.0
2017,Insgesamt,Insgesamt,in 1000,,1733.0
2017,Europa ,Insgesamt,in 1000,,1015.0
2017,EU Staaten,Insgesamt,in 1000,,509.0
2017,Bulgarien ,Insgesamt,in 1000,,19.0
2017,Frankreich ,Insgesamt,in 1000,,8.0
2017,Griechenland ,Insgesamt,in 1000,,20.0
2017,Italien,Insgesamt,in 1000,,32.0
2017,Kroatien ,Insgesamt,in 1000,,12.0
2017,Niederlande ,Insgesamt,in 1000,,40.0
2017,Österreich,Insgesamt,in 1000,,10.0
2017,Polen ,Insgesamt,in 1000,,242.0
2017,Portugal ,Insgesamt,in 1000,,10.0
2017,Rumänien ,Insgesamt,in 1000,,34.0
2017,Spanien ,Insgesamt,in 1000,,16.0
2017,Vereinigtes Königreich ,Insgesamt,in 1000,,18.0
2017,Sonstiges Europa ,Insgesamt,in 1000,,505.0
2017,Bosnien und Herzegowina ,Insgesamt,in 1000,,11.0
2017,Kosovo ,Insgesamt,in 1000,,38.0
2017,Russische Föderation ,Insgesamt,in 1000,,197.0
2017,Serbien ,Insgesamt,in 1000,,22.0
2017,Türkei ,Insgesamt,in 1000,,172.0
2017,Ukraine ,Insgesamt,in 1000,,27.0
2017,Afrika,Insgesamt,in 1000,,50.0
2017,Marokko ,Insgesamt,in 1000,,6.0
2017,"Ägypten, Algerien, Libyen, Tunesien",Insgesamt,in 1000,,14.0
2017,Amerika,Insgesamt,in 1000,,31.0
2017,Nordamerika ,Insgesamt,in 1000,,7.0
2017,Vereinigte Staaten ,Insgesamt,in 1000,,7.0
2017,Mittel- und Südamerika ,Insgesamt,in 1000,,23.0
2017,Asien ,Insgesamt,in 1000,,429.0
2017,Naher und Mittlerer Osten ,Insgesamt,in 1000,,348.0
2017,Irak ,Insgesamt,in 1000,,32.0
2017,Iran ,Insgesamt,in 1000,,18.0
2017,Kasachstan ,Insgesamt,in 1000,,157.0
2017,Syrien ,Insgesamt,in 1000,,82.0
2017,Sonstiges Asien ,Insgesamt,in 1000,,81.0
2017,Afghanistan,Insgesamt,in 1000,,19.0
2017,China ,Insgesamt,in 1000,,10.0
