Year,Land,Units,Value
2006,Europa insgesamt,Anzahl,10389
2006,Albanien,Anzahl,8
2006,Bulgarien,Anzahl,69
2006,Griechenland,Anzahl,-255
2006,Kosovo,Anzahl,0
2006,"Moldau, Republik",Anzahl,35
2006,Nordmazedonien,Anzahl,8
2006,Polen,Anzahl,4548
2006,Rumänien,Anzahl,271
2006,Russische Föderation,Anzahl,5686
2006,Serbien (ab 2008),Anzahl,0
2006,Türkei,Anzahl,-306
2006,Ukraine,Anzahl,385
2006,EU Staaten (ab 2021 ohne GB),Anzahl,5422
2006,Afrika insgesamt,Anzahl,215
2006,Amerika insgesamt,Anzahl,-2
2006,Asien insgesamt,Anzahl,2427
2006,Afghanistan,Anzahl,-23
2006,Georgien,Anzahl,-54
2006,Indien,Anzahl,77
2006,Irak,Anzahl,19
2006,"Iran,Islamische Republik",Anzahl,37
2006,Kasachstan,Anzahl,1693
2006,Libanon,Anzahl,144
2006,"Syrien, Arabische Republik",Anzahl,58
2006,Australien und Ozeanien,Anzahl,-107
2006,Sonstige Ziele,Anzahl,227
2006,Insgesamt,Anzahl,13149
2007,Europa insgesamt,Anzahl,9514
2007,Albanien,Anzahl,6
2007,Bulgarien,Anzahl,553
2007,Griechenland,Anzahl,-248
2007,Kosovo,Anzahl,0
2007,"Moldau, Republik",Anzahl,32
2007,Nordmazedonien,Anzahl,11
2007,Polen,Anzahl,3865
2007,Rumänien,Anzahl,1288
2007,Russische Föderation,Anzahl,3943
2007,Serbien (ab 2008),Anzahl,0
2007,Türkei,Anzahl,-203
2007,Ukraine,Anzahl,411
2007,EU Staaten (ab 2021 ohne GB),Anzahl,6197
2007,Afrika insgesamt,Anzahl,404
2007,Amerika insgesamt,Anzahl,-229
2007,Asien insgesamt,Anzahl,2172
2007,Afghanistan,Anzahl,4
2007,Georgien,Anzahl,-15
2007,Indien,Anzahl,101
2007,Irak,Anzahl,176
2007,"Iran,Islamische Republik",Anzahl,57
2007,Kasachstan,Anzahl,1320
2007,Libanon,Anzahl,59
2007,"Syrien, Arabische Republik",Anzahl,49
2007,Australien und Ozeanien,Anzahl,-166
2007,Sonstige Ziele,Anzahl,32
2007,Insgesamt,Anzahl,11727
2008,Europa insgesamt,Anzahl,657
2008,Albanien,Anzahl,5
2008,Bulgarien,Anzahl,867
2008,Griechenland,Anzahl,-445
2008,Kosovo,Anzahl,96
2008,"Moldau, Republik",Anzahl,36
2008,Nordmazedonien,Anzahl,-6
2008,Polen,Anzahl,-508
2008,Rumänien,Anzahl,646
2008,Russische Föderation,Anzahl,2279
2008,Serbien (ab 2008),Anzahl,48
2008,Türkei,Anzahl,-554
2008,Ukraine,Anzahl,253
2008,EU Staaten (ab 2021 ohne GB),Anzahl,293
