Year,Gebietseinheit,Geschlecht,Aufenthaltstitel,Grund der Befristung,Unnamed: 5,GeoCode,Value
2021,"Braunschweig, Stadt",männlich,zeitlich unbefristet,,,RH03101,4200
2021,"Braunschweig, Stadt",weiblich,zeitlich unbefristet,,,RH03101,4095
2021,"Braunschweig, Stadt",insgesamt,zeitlich unbefristet,,,RH03101,8290
2021,"Salzgitter, Stadt",männlich,zeitlich unbefristet,,,RH03102,2870
2021,"Salzgitter, Stadt",weiblich,zeitlich unbefristet,,,RH03102,2740
2021,"Salzgitter, Stadt",insgesamt,zeitlich unbefristet,,,RH03102,5610
2021,"Wolfsburg, Stadt",männlich,zeitlich unbefristet,,,RH03103,1475
2021,"Wolfsburg, Stadt",weiblich,zeitlich unbefristet,,,RH03103,1500
2021,"Wolfsburg, Stadt",insgesamt,zeitlich unbefristet,,,RH03103,2975
2021,Gifhorn,männlich,zeitlich unbefristet,,,RH03151,1275
2021,Gifhorn,weiblich,zeitlich unbefristet,,,RH03151,1425
2021,Gifhorn,insgesamt,zeitlich unbefristet,,,RH03151,2700
2021,Goslar,männlich,zeitlich unbefristet,,,RH03153,1280
2021,Goslar,weiblich,zeitlich unbefristet,,,RH03153,1245
2021,Goslar,insgesamt,zeitlich unbefristet,,,RH03153,2525
2021,Helmstedt,männlich,zeitlich unbefristet,,,RH03154,700
2021,Helmstedt,weiblich,zeitlich unbefristet,,,RH03154,745
2021,Helmstedt,insgesamt,zeitlich unbefristet,,,RH03154,1445
2021,Northeim,männlich,zeitlich unbefristet,,,RH03155,770
2021,Northeim,weiblich,zeitlich unbefristet,,,RH03155,845
2021,Northeim,insgesamt,zeitlich unbefristet,,,RH03155,1615
2021,Peine,männlich,zeitlich unbefristet,,,RH03157,1455
2021,Peine,weiblich,zeitlich unbefristet,,,RH03157,1455
2021,Peine,insgesamt,zeitlich unbefristet,,,RH03157,2915
2021,Wolfenbüttel,männlich,zeitlich unbefristet,,,RH03158,735
2021,Wolfenbüttel,weiblich,zeitlich unbefristet,,,RH03158,860
2021,Wolfenbüttel,insgesamt,zeitlich unbefristet,,,RH03158,1595
2021,Göttingen,männlich,zeitlich unbefristet,,,RH03159,3040
2021,Göttingen,weiblich,zeitlich unbefristet,,,RH03159,3135
2021,Göttingen,insgesamt,zeitlich unbefristet,,,RH03159,6170
2021,Statistische Region Braunschweig,männlich,zeitlich unbefristet,,,RH031,17800
2021,Statistische Region Braunschweig,weiblich,zeitlich unbefristet,,,RH031,18045
2021,Statistische Region Braunschweig,insgesamt,zeitlich unbefristet,,,RH031,35845
2021,Hannover  Region,männlich,zeitlich unbefristet,,,RH03241,4200
2021,Hannover  Region,weiblich,zeitlich unbefristet,,,RH03241,4095
2021,Hannover  Region,insgesamt,zeitlich unbefristet,,,RH03241,8290
2021,Diepholz,männlich,zeitlich unbefristet,,,RH03251,2870
2021,Diepholz,weiblich,zeitlich unbefristet,,,RH03251,2740
2021,Diepholz,insgesamt,zeitlich unbefristet,,,RH03251,5610
2021,Hameln-Pyrmont,männlich,zeitlich unbefristet,,,RH03252,1475
2021,Hameln-Pyrmont,weiblich,zeitlich unbefristet,,,RH03252,1500
2021,Hameln-Pyrmont,insgesamt,zeitlich unbefristet,,,RH03252,2975
2021,Hildesheim,männlich,zeitlich unbefristet,,,RH03254,1275
2021,Hildesheim,weiblich,zeitlich unbefristet,,,RH03254,1425
2021,Hildesheim,insgesamt,zeitlich unbefristet,,,RH03254,2700
2021,Holzminden,männlich,zeitlich unbefristet,,,RH03255,1280
2021,Holzminden,weiblich,zeitlich unbefristet,,,RH03255,1245
2021,Holzminden,insgesamt,zeitlich unbefristet,,,RH03255,2525
2021,Nienburg (Weser),männlich,zeitlich unbefristet,,,RH03256,700
2021,Nienburg (Weser),weiblich,zeitlich unbefristet,,,RH03256,745
2021,Nienburg (Weser),insgesamt,zeitlich unbefristet,,,RH03256,1445
2021,Schaumburg,männlich,zeitlich unbefristet,,,RH03257,770
2021,Schaumburg,weiblich,zeitlich unbefristet,,,RH03257,845
2021,Schaumburg,insgesamt,zeitlich unbefristet,,,RH03257,1615
2021,Statistische Region Hannover,männlich,zeitlich unbefristet,,,RH032,34445
2021,Statistische Region Hannover,weiblich,zeitlich unbefristet,,,RH032,34665
2021,Statistische Region Hannover,insgesamt,zeitlich unbefristet,,,RH032,69110
2021,Celle,männlich,zeitlich unbefristet,,,RH03351,1120
2021,Celle,weiblich,zeitlich unbefristet,,,RH03351,1300
2021,Celle,insgesamt,zeitlich unbefristet,,,RH03351,2425
2021,Cuxhaven,männlich,zeitlich unbefristet,,,RH03352,940
2021,Cuxhaven,weiblich,zeitlich unbefristet,,,RH03352,1080
2021,Cuxhaven,insgesamt,zeitlich unbefristet,,,RH03352,2020
2021,Harburg,männlich,zeitlich unbefristet,,,RH03353,2120
2021,Harburg,weiblich,zeitlich unbefristet,,,RH03353,2125
2021,Harburg,insgesamt,zeitlich unbefristet,,,RH03353,4245
2021,Lüchow-Dannenberg,männlich,zeitlich unbefristet,,,RH03354,170
2021,Lüchow-Dannenberg,weiblich,zeitlich unbefristet,,,RH03354,205
2021,Lüchow-Dannenberg,insgesamt,zeitlich unbefristet,,,RH03354,380
2021,Lüneburg,männlich,zeitlich unbefristet,,,RH03355,1055
2021,Lüneburg,weiblich,zeitlich unbefristet,,,RH03355,1095
2021,Lüneburg,insgesamt,zeitlich unbefristet,,,RH03355,2150
2021,Osterholz,männlich,zeitlich unbefristet,,,RH03356,770
2021,Osterholz,weiblich,zeitlich unbefristet,,,RH03356,830
2021,Osterholz,insgesamt,zeitlich unbefristet,,,RH03356,1600
2021,Rotenburg (Wümme),männlich,zeitlich unbefristet,,,RH03357,945
2021,Rotenburg (Wümme),weiblich,zeitlich unbefristet,,,RH03357,1090
2021,Rotenburg (Wümme),insgesamt,zeitlich unbefristet,,,RH03357,2035
2021,Heidekreis,männlich,zeitlich unbefristet,,,RH03358,1065
2021,Heidekreis,weiblich,zeitlich unbefristet,,,RH03358,1075
2021,Heidekreis,insgesamt,zeitlich unbefristet,,,RH03358,2140
2021,Stade,männlich,zeitlich unbefristet,,,RH03359,1395
2021,Stade,weiblich,zeitlich unbefristet,,,RH03359,1425
2021,Stade,insgesamt,zeitlich unbefristet,,,RH03359,2820
2021,Uelzen,männlich,zeitlich unbefristet,,,RH03360,440
2021,Uelzen,weiblich,zeitlich unbefristet,,,RH03360,485
2021,Uelzen,insgesamt,zeitlich unbefristet,,,RH03360,920
2021,Verden,männlich,zeitlich unbefristet,,,RH03361,1395
2021,Verden,weiblich,zeitlich unbefristet,,,RH03361,1425
2021,Verden,insgesamt,zeitlich unbefristet,,,RH03361,2820
2021,Statistische Region Lüneburg,männlich,zeitlich unbefristet,,,RH033,11415
2021,Statistische Region Lüneburg,weiblich,zeitlich unbefristet,,,RH033,12135
2021,Statistische Region Lüneburg,insgesamt,zeitlich unbefristet,,,RH033,23550
2021,"Delmenhorst, Stadt",männlich,zeitlich unbefristet,,,RH03401,1665
2021,"Delmenhorst, Stadt",weiblich,zeitlich unbefristet,,,RH03401,1500
2021,"Delmenhorst, Stadt",insgesamt,zeitlich unbefristet,,,RH03401,3165
2021,Emden  Stadt,männlich,zeitlich unbefristet,,,RH03402,300
2021,Emden  Stadt,weiblich,zeitlich unbefristet,,,RH03402,290
2021,Emden  Stadt,insgesamt,zeitlich unbefristet,,,RH03402,585
2021,"Oldenburg(Oldb), Stadt",männlich,zeitlich unbefristet,,,RH03403,1845
2021,"Oldenburg(Oldb), Stadt",weiblich,zeitlich unbefristet,,,RH03403,1745
2021,"Oldenburg(Oldb), Stadt",insgesamt,zeitlich unbefristet,,,RH03403,3590
2021,"Osnabrück, Stadt",männlich,zeitlich unbefristet,,,RH03404,2980
2021,"Osnabrück, Stadt",weiblich,zeitlich unbefristet,,,RH03404,2700
2021,"Osnabrück, Stadt",insgesamt,zeitlich unbefristet,,,RH03404,5685
2021,"Wilhelmshaven, Stadt",männlich,zeitlich unbefristet,,,RH03405,535
2021,"Wilhelmshaven, Stadt",weiblich,zeitlich unbefristet,,,RH03405,560
2021,"Wilhelmshaven, Stadt",insgesamt,zeitlich unbefristet,,,RH03405,1095
2021,Ammerland,männlich,zeitlich unbefristet,,,RH03451,665
2021,Ammerland,weiblich,zeitlich unbefristet,,,RH03451,665
2021,Ammerland,insgesamt,zeitlich unbefristet,,,RH03451,1330
2021,Aurich,männlich,zeitlich unbefristet,,,RH03452,650
