Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2020) zu 2005,Braunschweig  Stadt,K03101,-34
Veränderung aktuelles Jahr (2020) zu 2005,Salzgitter  Stadt,K03102,-10
Veränderung aktuelles Jahr (2020) zu 2005,Wolfsburg  Stadt,K03103,140
Veränderung aktuelles Jahr (2020) zu 2005,Gifhorn,K03151,-4
Veränderung aktuelles Jahr (2020) zu 2005,Goslar,K03153,-80
Veränderung aktuelles Jahr (2020) zu 2005,Helmstedt,K03154,56
Veränderung aktuelles Jahr (2020) zu 2005,Northeim,K03155,16
Veränderung aktuelles Jahr (2020) zu 2005,Peine,K03157,-24
Veränderung aktuelles Jahr (2020) zu 2005,Wolfenbüttel,K03158,-11
Veränderung aktuelles Jahr (2020) zu 2005,Göttingen,K03159,-46
Veränderung aktuelles Jahr (2020) zu 2005,Statistische Region Braunschweig,K031,-124
Veränderung aktuelles Jahr (2020) zu 2005,Hannover  Region,K03241,-345
Veränderung aktuelles Jahr (2020) zu 2005,dav. Hannover  Lhst.,K03241001,-201
Veränderung aktuelles Jahr (2020) zu 2005,dav. Hannover  Umland,K03241999,-314
Veränderung aktuelles Jahr (2020) zu 2005,Diepholz,K03251,47
Veränderung aktuelles Jahr (2020) zu 2005,Hameln-Pyrmont,K03252,-30
Veränderung aktuelles Jahr (2020) zu 2005,Hildesheim,K03254,-204
Veränderung aktuelles Jahr (2020) zu 2005,Holzminden,K03255,1
Veränderung aktuelles Jahr (2020) zu 2005,Nienburg (Weser),K03256,-24
Veränderung aktuelles Jahr (2020) zu 2005,Schaumburg,K03257,3
Veränderung aktuelles Jahr (2020) zu 2005,Statistische Region Hannover,K032,-552
Veränderung aktuelles Jahr (2020) zu 2005,Celle,K03351,124
Veränderung aktuelles Jahr (2020) zu 2005,Cuxhaven,K03352,-35
Veränderung aktuelles Jahr (2020) zu 2005,Harburg,K03353,-22
Veränderung aktuelles Jahr (2020) zu 2005,Lüchow-Dannenberg,K03354,21
Veränderung aktuelles Jahr (2020) zu 2005,Lüneburg,K03355,56
Veränderung aktuelles Jahr (2020) zu 2005,Osterholz,K03356,55
Veränderung aktuelles Jahr (2020) zu 2005,Rotenburg (Wümme),K03357,40
Veränderung aktuelles Jahr (2020) zu 2005,Heidekreis,K03358,46
Veränderung aktuelles Jahr (2020) zu 2005,Stade,K03359,-19
Veränderung aktuelles Jahr (2020) zu 2005,Uelzen,K03360,21
Veränderung aktuelles Jahr (2020) zu 2005,Verden,K03361,0
Veränderung aktuelles Jahr (2020) zu 2005,Statistische Region Lüneburg,K033,287
Veränderung aktuelles Jahr (2020) zu 2005,Delmenhorst  Stadt,K03401,-43
Veränderung aktuelles Jahr (2020) zu 2005,Emden  Stadt,K03402,-13
Veränderung aktuelles Jahr (2020) zu 2005,Oldenburg(Oldb)  Stadt,K03403,58
Veränderung aktuelles Jahr (2020) zu 2005,Osnabrück  Stadt,K03404,-53
Veränderung aktuelles Jahr (2020) zu 2005,Wilhelmshaven  Stadt,K03405,-58
Veränderung aktuelles Jahr (2020) zu 2005,Ammerland,K03451,20
Veränderung aktuelles Jahr (2020) zu 2005,Aurich,K03452,-59
Veränderung aktuelles Jahr (2020) zu 2005,Cloppenburg,K03453,66
Veränderung aktuelles Jahr (2020) zu 2005,Emsland,K03454,72
Veränderung aktuelles Jahr (2020) zu 2005,Friesland,K03455,10
Veränderung aktuelles Jahr (2020) zu 2005,Grafschaft Bentheim,K03456,93
Veränderung aktuelles Jahr (2020) zu 2005,Leer,K03457,19
Veränderung aktuelles Jahr (2020) zu 2005,Oldenburg,K03458,79
Veränderung aktuelles Jahr (2020) zu 2005,Osnabrück,K03459,262
Veränderung aktuelles Jahr (2020) zu 2005,Vechta,K03460,-56
Veränderung aktuelles Jahr (2020) zu 2005,Wesermarsch,K03461,15
Veränderung aktuelles Jahr (2020) zu 2005,Wittmund,K03462,23
Veränderung aktuelles Jahr (2020) zu 2005,Statistische Region Weser-Ems,K034,435
Veränderung aktuelles Jahr (2020) zu 2005,Niedersachsen,K030,46
Veränderung aktuelles Jahr (2020) zu 2010,Braunschweig  Stadt,K03101,93
Veränderung aktuelles Jahr (2020) zu 2010,Salzgitter  Stadt,K03102,48
Veränderung aktuelles Jahr (2020) zu 2010,Wolfsburg  Stadt,K03103,131
Veränderung aktuelles Jahr (2020) zu 2010,Gifhorn,K03151,83
Veränderung aktuelles Jahr (2020) zu 2010,Goslar,K03153,-33
Veränderung aktuelles Jahr (2020) zu 2010,Helmstedt,K03154,47
Veränderung aktuelles Jahr (2020) zu 2010,Northeim,K03155,59
Veränderung aktuelles Jahr (2020) zu 2010,Peine,K03157,73
Veränderung aktuelles Jahr (2020) zu 2010,Wolfenbüttel,K03158,57
Veränderung aktuelles Jahr (2020) zu 2010,Göttingen,K03159,195
Veränderung aktuelles Jahr (2020) zu 2010,Statistische Region Braunschweig,K031,626
Veränderung aktuelles Jahr (2020) zu 2010,Hannover  Region,K03241,599
Veränderung aktuelles Jahr (2020) zu 2010,dav. Hannover  Lhst.,K03241001,128
Veränderung aktuelles Jahr (2020) zu 2010,dav. Hannover  Umland,K03241999,301
Veränderung aktuelles Jahr (2020) zu 2010,Diepholz,K03251,165
Veränderung aktuelles Jahr (2020) zu 2010,Hameln-Pyrmont,K03252,185
Veränderung aktuelles Jahr (2020) zu 2010,Hildesheim,K03254,110
Veränderung aktuelles Jahr (2020) zu 2010,Holzminden,K03255,23
Veränderung aktuelles Jahr (2020) zu 2010,Nienburg (Weser),K03256,38
