Year,Statistische Region,Nationalität,Schulform,Units,GeoCode,Value
2021,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,64.4876325088339
2021,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,70.1840490797546
2021,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,77.7777777777778
2021,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,72.2222222222222
2021,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,70.8
2020,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,68.3131407269338
2020,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,63.4980988593156
2020,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,78.5060975609756
2020,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,72.1542803386642
2020,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,70.7956600361664
2019,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,70.4809286898839
2019,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,64.5799011532125
2019,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,80.4769001490313
2019,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,74.6478873239437
2019,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,72.6519337016575
2018,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,73.90263367917
2018,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,69.3280632411067
2018,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,83.5493519441675
2018,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,79.0996784565916
2018,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,76.2608353033885
2017,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,77.2727272727273
2017,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,72.3856209150327
2017,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,83.7487537387836
2017,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,83.6016696481813
2017,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,79.4117647058823
2016,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,81.4035087719298
2016,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,78.8447653429603
2016,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,84.3434343434343
2016,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,84.3232716650438
2016,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,82.3859881031064
2015,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,84.4923504867872
2015,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,79.8565840938722
2015,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,85.3975535168196
2015,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,86.0171218915614
2015,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,84.1675330461904
2014,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,86.5002836074872
2014,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,84.0944073884043
2014,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,89.0404515522107
2014,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,87.4157991426822
2014,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,86.9068541300527
2013,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,87.6654064272212
2013,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,84.060650887574
2013,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,91.1909146715776
2013,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,90.4007820136852
2013,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,88.8577275828091
2012,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,87.4326005806719
2012,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,83.9548409168662
2012,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,90.3919834954318
2012,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,90.0071633237822
2012,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,88.42848158759
2011,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,87.3603082851638
2011,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,84.6888478126925
2011,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,90.7898189451588
2011,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,89.9293576474454
2011,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,88.6333312154521
2010,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,86.2395340371314
2010,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,83.7609417446423
2010,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,90.6642259414226
2010,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,90.6942633637549
2010,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,88.4893882646692
2005,Statistische Region Braunschweig,Deutsche,Hauptschule,Prozent,SR031,86.9134638057062
2005,Statistische Region Hannover,Deutsche,Hauptschule,Prozent,SR032,85.288440917864
2005,Statistische Region Lüneburg,Deutsche,Hauptschule,Prozent,SR033,90.5775075987842
2005,Statistische Region Weser-Ems,Deutsche,Hauptschule,Prozent,SR034,92.0820117806978
2005,Niedersachsen,Deutsche,Hauptschule,Prozent,SR0,89.4233654876742
2021,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,35.5123674911661
2021,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,29.8159509202454
2021,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,22.2222222222222
2021,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,27.7777777777778
2021,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,29.2284866468843
2020,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,31.6868592730662
2020,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,36.5019011406844
2020,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,21.4939024390244
2020,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,27.8457196613358
2020,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,29.2043399638336
2019,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,29.5190713101161
2019,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,35.4200988467875
2019,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,19.5230998509687
2019,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,25.3521126760563
2019,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,27.3480662983425
2018,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,26.09736632083
2018,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,30.6719367588933
2018,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,16.4506480558325
2018,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,20.9003215434084
2018,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,23.7391646966115
2017,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,22.7272727272727
2017,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,27.6143790849673
2017,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,16.2512462612164
2017,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,16.3983303518187
2017,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,20.5882352941176
2016,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,18.5964912280702
2016,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,21.1552346570397
2016,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,15.6565656565657
2016,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,15.6767283349562
2016,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,17.6140118968936
2015,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,15.5076495132128
2015,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,20.1434159061278
2015,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,14.6024464831804
2015,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,13.9828781084386
2015,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,15.8324669538096
2014,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,13.4997163925128
2014,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,15.9055926115957
2014,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,10.9595484477893
2014,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,12.5842008573178
2014,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,13.0931458699473
2013,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,12.3345935727788
2013,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,15.939349112426
2013,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,8.80908532842234
2013,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,9.59921798631476
2013,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,11.1422724171909
2012,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,12.5673994193281
2012,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,16.0451590831338
2012,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.60801650456823
2012,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,9.99283667621776
2012,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,11.57151841241
2011,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,12.6396917148362
2011,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,15.3111521873075
2011,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.21018105484125
2011,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,10.0706423525546
2011,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,11.3666687845479
2010,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,13.7604659628686
2010,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,16.2390582553577
2010,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.33577405857741
2010,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,9.30573663624511
2010,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,11.5106117353308
