Year,Staatsangehörigkeit,Erreichter Abschluss,Besuchte Schule,Value
2019,Deutsche,Allgemeine Hochschulreife,,5152.0
2019,Deutsche,Fachhochschulreife,,11557.0
2019,Deutsche,Schulischer Teil der Fachhochschulreife,,990.0
2019,Deutsche,Realschulabschluss,,12611.0
2019,Deutsche,Hauptschulabschluss,,2753.0
2019,Deutsche,Erfolgreicher Besuch,,44373.0
2019,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,,3371.0
2019,Deutsche,Ohne erfolgreichen Besuch/Abschluss,,8491.0
2019,Deutsche,,,89298.0
2019,Deutsche,   nachrichtlich: Abbruch im laufenden Schuljahr,,22021.0
2019,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,131.0
2019,Ausländerinnen und Ausländer,Fachhochschulreife,,445.0
2019,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,,54.0
2019,Ausländerinnen und Ausländer,Realschulabschluss,,1002.0
2019,Ausländerinnen und Ausländer,Hauptschulabschluss,,1567.0
2019,Ausländerinnen und Ausländer,Erfolgreicher Besuch,,2209.0
2019,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,,2953.0
2019,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,,1351.0
2019,Ausländerinnen und Ausländer,,,9712.0
2019,Ausländerinnen und Ausländer,   nachrichtlich: Abbruch im laufenden Schuljahr,,4115.0
2018,Deutsche,Allgemeine Hochschulreife,,5385.0
2018,Deutsche,Fachhochschulreife,,12507.0
2018,Deutsche,Schulischer Teil der Fachhochschulreife,,1162.0
2018,Deutsche,Realschulabschluss,,13211.0
2018,Deutsche,Hauptschulabschluss,,2845.0
2018,Deutsche,Erfolgreicher Besuch,,45797.0
2018,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,,3328.0
2018,Deutsche,Ohne erfolgreichen Besuch/Abschluss,,9019.0
2018,Deutsche,,,93254.0
2018,Deutsche,   nachrichtlich: Abbruch im laufenden Schuljahr,,22839.0
2018,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,180.0
2018,Ausländerinnen und Ausländer,Fachhochschulreife,,562.0
2018,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,,50.0
2018,Ausländerinnen und Ausländer,Realschulabschluss,,821.0
2018,Ausländerinnen und Ausländer,Hauptschulabschluss,,1662.0
2018,Ausländerinnen und Ausländer,Erfolgreicher Besuch,,2058.0
2018,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,,4343.0
2018,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,,1352.0
2018,Ausländerinnen und Ausländer,,,11028.0
2018,Ausländerinnen und Ausländer,   nachrichtlich: Abbruch im laufenden Schuljahr,,4212.0
2017,Deutsche,Allgemeine Hochschulreife,,5844.0
2017,Deutsche,Fachhochschulreife,,13130.0
2017,Deutsche,Schulischer Teil der Fachhochschulreife,,1182.0
2017,Deutsche,Realschulabschluss,,15537.0
2017,Deutsche,Hauptschulabschluss,,2792.0
2017,Deutsche,Erfolgreicher Besuch,,47119.0
2017,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,,3554.0
2017,Deutsche,Ohne erfolgreichen Besuch/Abschluss,,9362.0
2017,Deutsche,,,98520.0
2017,Deutsche,   nachrichtlich: Abbruch im laufenden Schuljahr,,23711.0
2017,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,168.0
2017,Ausländerinnen und Ausländer,Fachhochschulreife,,528.0
2017,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,,62.0
2017,Ausländerinnen und Ausländer,Realschulabschluss,,824.0
2017,Ausländerinnen und Ausländer,Hauptschulabschluss,,955.0
2017,Ausländerinnen und Ausländer,Erfolgreicher Besuch,,1895.0
2017,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,,5186.0
2017,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,,1167.0
2017,Ausländerinnen und Ausländer,,,10785.0
2017,Ausländerinnen und Ausländer,   nachrichtlich: Abbruch im laufenden Schuljahr,,3703.0
2015,Deutsche,Allgemeine Hochschulreife,,5775.0
2015,Deutsche,Fachhochschulreife,,14006.0
2015,Deutsche,Realschulabschluss,,17626.0
2015,Deutsche,Hauptschulabschluss,,3121.0
2015,Deutsche,erfolgreicher Besuch,,49608.0
2015,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,,3839.0
2015,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2015,Deutsche,ohne erfolgreichen Besuch/Abschluss,,9936.0
2015,Deutsche,,,103911.0
2015,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,,21781.0
2015,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,153.0
2015,Ausländerinnen und Ausländer,Fachhochschulreife,,467.0
2015,Ausländerinnen und Ausländer,Realschulabschluss,,860.0
2015,Ausländerinnen und Ausländer,Hauptschulabschluss,,422.0
2015,Ausländerinnen und Ausländer,erfolgreicher Besuch,,1709.0
2015,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,,988.0
2015,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2015,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,,1021.0
2015,Ausländerinnen und Ausländer,,,5620.0
2015,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,,1664.0
2014,Deutsche,Allgemeine Hochschulreife,,5831.0
2014,Deutsche,Fachhochschulreife,,13626.0
2014,Deutsche,Realschulabschluss,,19207.0
2014,Deutsche,Hauptschulabschluss,,3722.0
2014,Deutsche,erfolgreicher Besuch,,52108.0
2014,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,,3936.0
2014,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2014,Deutsche,ohne erfolgreichen Besuch/Abschluss,,10820.0
2014,Deutsche,,,109250.0
2014,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,,26176.0
2014,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,146.0
2014,Ausländerinnen und Ausländer,Fachhochschulreife,,516.0
2014,Ausländerinnen und Ausländer,Realschulabschluss,,816.0
2014,Ausländerinnen und Ausländer,Hauptschulabschluss,,399.0
2014,Ausländerinnen und Ausländer,erfolgreicher Besuch,,1713.0
2014,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,,659.0
2014,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2014,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,,950.0
2014,Ausländerinnen und Ausländer,,,5199.0
2014,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,,1702.0
2012,Deutsche,Allgemeine Hochschulreife,,6178.0
2012,Deutsche,Fachhochschulreife,,14040.0
2012,Deutsche,Realschulabschluss,,17810.0
2012,Deutsche,Hauptschulabschluss,,3695.0
2012,Deutsche,erfolgreicher Besuch,,50738.0
2012,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,,2978.0
2012,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2012,Deutsche,ohne erfolgreichen Besuch/Abschluss,,12136.0
2012,Deutsche,,,107575.0
2012,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,,23647.0
2012,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,154.0
2012,Ausländerinnen und Ausländer,Fachhochschulreife,,509.0
2012,Ausländerinnen und Ausländer,Realschulabschluss,,806.0
2012,Ausländerinnen und Ausländer,Hauptschulabschluss,,348.0
2012,Ausländerinnen und Ausländer,erfolgreicher Besuch,,1682.0
2012,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,,598.0
2012,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2012,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,,1086.0
2012,Ausländerinnen und Ausländer,,,5183.0
2012,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,,1466.0
2011,Deutsche,Allgemeine Hochschulreife,,5659.0
2011,Deutsche,Fachhochschulreife,,13619.0
2011,Deutsche,Realschulabschluss,,18302.0
2011,Deutsche,Hauptschulabschluss,,4056.0
2011,Deutsche,erfolgreicher Besuch,,52869.0
2011,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,,3221.0
2011,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2011,Deutsche,ohne erfolgreichen Besuch/Abschluss,,12385.0
2011,Deutsche,,,110111.0
2011,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,,23450.0
2011,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,150.0
2011,Ausländerinnen und Ausländer,Fachhochschulreife,,468.0
2011,Ausländerinnen und Ausländer,Realschulabschluss,,766.0
2011,Ausländerinnen und Ausländer,Hauptschulabschluss,,332.0
2011,Ausländerinnen und Ausländer,erfolgreicher Besuch,,1784.0
2011,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,,479.0
2011,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2011,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,,1022.0
2011,Ausländerinnen und Ausländer,,,5001.0
2011,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,,1493.0
2010,Deutsche,Allgemeine Hochschulreife,,5473.0
2010,Deutsche,Fachhochschulreife,,12306.0
2010,Deutsche,Realschulabschluss,,19365.0
2010,Deutsche,Hauptschulabschluss,,4139.0
2010,Deutsche,erfolgreicher Besuch,,56051.0
2010,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,,3283.0
2010,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2010,Deutsche,ohne erfolgreichen Besuch/Abschluss,,12940.0
2010,Deutsche,,,113557.0
2010,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,,22652.0
2010,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,,94.0
2010,Ausländerinnen und Ausländer,Fachhochschulreife,,363.0
2010,Ausländerinnen und Ausländer,Realschulabschluss,,794.0
2010,Ausländerinnen und Ausländer,Hauptschulabschluss,,368.0
2010,Ausländerinnen und Ausländer,erfolgreicher Besuch,,1746.0
2010,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,,432.0
2010,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,
2010,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,,1047.0
2010,Ausländerinnen und Ausländer,,,4844.0
2010,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,,1292.0
2006,Deutsche,Allgemeine Hochschulreife,,4541.0
2006,Deutsche,Fachhochschulreife,,10031.0
2006,Deutsche,Realschulabschluss,,20611.0
2006,Deutsche,Hauptschulabschluss,,2599.0
2006,Deutsche,erfolgreicher Besuch,,56167.0
2006,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,,5147.0
2006,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,,2.0
2006,Deutsche,ohne erfolgreichen Besuch/Abschluss,,15452.0
2006,Deutsche,,,114550.0
