Year,Höchster Beruflicher Abschluss,Migrationshintergrund,Geschlecht,Units,Value
2019,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,21.64
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,46.87
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,31.49
2018,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,21.82
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,48.44
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,29.74
2017,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,21.83
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,49.19
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,28.98
2016,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,22.14
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,50.52
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,27.35
2015,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,19.34
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,51.57
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,29.08
2014,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,19.53
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,53.93
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,26.54
2013,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,19.95
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,55.79
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,24.26
2012,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,19.93
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,55.69
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,24.38
2011,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,19.59
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,57.59
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,22.82
2005,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,Prozent,24.1544454209996
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,Prozent,58.9145618861606
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,Prozent,16.9309926928397
2019,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,Prozent,23.17
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,Prozent,48.72
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,Prozent,28.11
2018,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,Prozent,23.59
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,Prozent,50.1
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,Prozent,26.32
2017,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,Prozent,23.47
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,Prozent,50.81
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,Prozent,25.72
2016,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,Prozent,23.92
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,Prozent,51.29
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,Prozent,24.79
2015,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,Prozent,20.13
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,Prozent,53.84
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,Prozent,26.03
2014,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,Prozent,20.1
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,Prozent,55.86
