Year,Gebietseinheit,Geschlecht,Kategorie,Units,GeoCode,Value
2023,"Braunschweig, Stadt",Insgesamt,Insgesamt,Anzahl,K03101,14650.0
2023,"Salzgitter, Stadt",Insgesamt,Insgesamt,Anzahl,K03102,5873.0
2023,"Wolfsburg, Stadt",Insgesamt,Insgesamt,Anzahl,K03103,11293.0
2023,Gifhorn,Insgesamt,Insgesamt,Anzahl,K03151,4347.0
2023,Goslar,Insgesamt,Insgesamt,Anzahl,K03153,4169.0
2023,Helmstedt,Insgesamt,Insgesamt,Anzahl,K03154,3084.0
2023,Northeim,Insgesamt,Insgesamt,Anzahl,K03155,4247.0
2023,Peine,Insgesamt,Insgesamt,Anzahl,K03157,4438.0
2023,Wolfenbüttel,Insgesamt,Insgesamt,Anzahl,K03158,2002.0
2023,Göttingen,Insgesamt,Insgesamt,Anzahl,K03159,13306.0
2023,Statistische Region Braunschweig,Insgesamt,Insgesamt,Anzahl,K031,67409.0
2023,Region Hannover,Insgesamt,Insgesamt,Anzahl,K03241,80235.0
2023,"dav. Hannover, Lhst.",Insgesamt,Insgesamt,Anzahl,K03241001,49080.0
2023,"dav. Hannover, Umland",Insgesamt,Insgesamt,Anzahl,K03241999,31155.0
2023,Diepholz,Insgesamt,Insgesamt,Anzahl,K03251,9504.0
2023,Hameln-Pyrmont,Insgesamt,Insgesamt,Anzahl,K03252,5242.0
2023,Hildesheim,Insgesamt,Insgesamt,Anzahl,K03254,8762.0
2023,Holzminden,Insgesamt,Insgesamt,Anzahl,K03255,2132.0
2023,Nienburg (Weser),Insgesamt,Insgesamt,Anzahl,K03256,4401.0
2023,Schaumburg,Insgesamt,Insgesamt,Anzahl,K03257,5020.0
2023,Statistische Region Hannover,Insgesamt,Insgesamt,Anzahl,K032,115296.0
2023,Celle,Insgesamt,Insgesamt,Anzahl,K03351,5842.0
2023,Cuxhaven,Insgesamt,Insgesamt,Anzahl,K03352,6153.0
2023,Harburg,Insgesamt,Insgesamt,Anzahl,K03353,12859.0
