Year,Migrationsstatus,Hauhaltsnettoeinkommen,Haushaltsgröße,COMMENT_OBS,Value
2025,Insgesamt,Insgesamt,insgesamt,,3938.0
2025,Insgesamt,unter 500,insgesamt,,51.0
2025,Insgesamt,500 - 1000,insgesamt,,218.0
2025,Insgesamt,1000 - 1500,insgesamt,,403.0
2025,Insgesamt,1500 - 2000,insgesamt,,445.0
2025,Insgesamt,2000 - 2500,insgesamt,,500.0
2025,Insgesamt,2500 - 3000,insgesamt,,391.0
2025,Insgesamt,3000 - 3500,insgesamt,,337.0
2025,Insgesamt,3500 - 4000,insgesamt,,295.0
2025,Insgesamt,4000 - 5000,insgesamt,,476.0
2025,Insgesamt,5000 und mehr,insgesamt,,822.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2902.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,33.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,142.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1500,insgesamt,,297.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,322.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,376.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,298.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,244.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,212.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,351.0
2025,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,624.0
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,263.0
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2025,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
