Year,Bundesland,Geschlecht,Bezugspersonen mit selbst bewohntem Wohneigentum,Migrationsstatus,Units,Value
2018,Niedersachsen,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,196.882205
2018,Niedersachsen,männlich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,160.612831
2018,Niedersachsen,weiblich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,36.269374
2014,Niedersachsen,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,160.990443
2014,Niedersachsen,männlich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,133.09289
2014,Niedersachsen,weiblich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,27.897553
2010,Niedersachsen,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,144.068745
2010,Niedersachsen,männlich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,118.871832
2010,Niedersachsen,weiblich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,25.196913
2006,Niedersachsen,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,110.189513
2006,Niedersachsen,männlich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,98.970125
2006,Niedersachsen,weiblich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,11.219388
2018,Deutschland,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,1844.834571
2018,Deutschland,männlich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,1468.516179
2018,Deutschland,weiblich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,376.318392
2014,Deutschland,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,1519.032565
2014,Deutschland,männlich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,1250.524459
2014,Deutschland,weiblich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,268.508106000001
2010,Deutschland,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,1390.63153000001
2010,Deutschland,männlich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,1168.85625500001
2010,Deutschland,weiblich,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,221.775275000001
2006,Deutschland,Insgesamt,Bezugspersonen mit selbst bewohntem Wohneigentum,mit Migrationshintergrund,in 1000,1144.057913
