Year,Gebietseinheit,Kategorie,Value
KW 13 (31.03.2022),Bundesgebiet,Zugänge Insgesamt,369875.0
KW 16 (24.04.2022),Bundesgebiet,Zugänge Insgesamt,560498.0
KW 18 (01.05.2022),Bundesgebiet,Zugänge Insgesamt,610441.0
KW 19 (08.05.2022),Bundesgebiet,Zugänge Insgesamt,688133.0
KW 20 (15.05.2022),Bundesgebiet,Zugänge Insgesamt,742254.0
KW 21 (22.05.2022),Bundesgebiet,Zugänge Insgesamt,780510.0
KW 13 (31.03.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,4899.0
KW 16 (24.04.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,16382.0
KW 18 (01.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,17827.0
KW 19 (08.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,33141.0
KW 20 (15.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,35710.0
KW 21 (22.05.2022),Bundesgebiet,Aufenthaltstitel nach §24 AufenthG,38456.0
KW 13 (31.03.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 16 (24.04.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 18 (01.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 19 (08.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 20 (15.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,203147.0
KW 21 (22.05.2022),Bundesgebiet,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,230379.0
KW 13 (31.03.2022),Bundesgebiet,Schutzgesuch geäußert,86168.0
KW 16 (24.04.2022),Bundesgebiet,Schutzgesuch geäußert,183773.0
KW 18 (01.05.2022),Bundesgebiet,Schutzgesuch geäußert,216082.0
KW 19 (08.05.2022),Bundesgebiet,Schutzgesuch geäußert,271140.0
KW 20 (15.05.2022),Bundesgebiet,Schutzgesuch geäußert,215979.0
KW 21 (22.05.2022),Bundesgebiet,Schutzgesuch geäußert,234296.0
KW 13 (31.03.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,278790.0
KW 16 (24.04.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,360343.0
KW 18 (01.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,376532.0
KW 19 (08.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,384852.0
KW 20 (15.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,287418.0
KW 21 (22.05.2022),Bundesgebiet,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,277379.0
KW 13 (31.03.2022),Niedersachsen,Zugänge Insgesamt,34684.0
KW 16 (24.04.2022),Niedersachsen,Zugänge Insgesamt,54273.0
KW 18 (01.05.2022),Niedersachsen,Zugänge Insgesamt,58878.0
KW 19 (08.05.2022),Niedersachsen,Zugänge Insgesamt,65607.0
KW 20 (15.05.2022),Niedersachsen,Zugänge Insgesamt,69349.0
KW 21 (22.05.2022),Niedersachsen,Zugänge Insgesamt,72951.0
KW 13 (31.03.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,977.0
KW 16 (24.04.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,2167.0
KW 18 (01.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,2210.0
KW 19 (08.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,3814.0
KW 20 (15.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,3892.0
KW 21 (22.05.2022),Niedersachsen,Aufenthaltstitel nach §24 AufenthG,4028.0
KW 13 (31.03.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 16 (24.04.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 18 (01.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 19 (08.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,
KW 20 (15.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,12208.0
KW 21 (22.05.2022),Niedersachsen,Funktionsbescheinnigung § 81 Abs.3 S.1 AufenthG,13960.0
KW 13 (31.03.2022),Niedersachsen,Schutzgesuch geäußert,6383.0
KW 16 (24.04.2022),Niedersachsen,Schutzgesuch geäußert,14217.0
KW 18 (01.05.2022),Niedersachsen,Schutzgesuch geäußert,16271.0
KW 19 (08.05.2022),Niedersachsen,Schutzgesuch geäußert,20188.0
KW 20 (15.05.2022),Niedersachsen,Schutzgesuch geäußert,18904.0
KW 21 (22.05.2022),Niedersachsen,Schutzgesuch geäußert,20419.0
KW 13 (31.03.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,27324.0
KW 16 (24.04.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,37889.0
KW 18 (01.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,40397.0
KW 19 (08.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,41605.0
KW 20 (15.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,34345.0
KW 21 (22.05.2022),Niedersachsen,Eingereiste ukrainische Staatsangehörige ohne bisheriges Schutzgesuch und Titelerteilung,34472.0
