Year,Gebietseinheit,Units,GeoCode,Value
2022 / 2005,"Braunschweig, Stadt",%,K03101,2.66274722452125
2022 / 2005,"Salzgitter, Stadt",%,K03102,-2.95007704732377
2022 / 2005,"Wolfsburg, Stadt",%,K03103,3.92907532240365
2022 / 2005,Gifhorn,%,K03151,2.81463564900912
2022 / 2005,Goslar,%,K03153,-11.0794179013813
2022 / 2005,Helmstedt,%,K03154,-5.40056675771619
2022 / 2005,Northeim,%,K03155,-9.1567250664667
2022 / 2005,Peine,%,K03157,3.23225418149665
2022 / 2005,Wolfenbüttel,%,K03158,-4.68843903210501
2022 / 2005,Göttingen,%,K03159,-4.51996616347923
2022 / 2005,Statistische Region Braunschweig,%,K031,-2.39754973688755
2022 / 2005,Region Hannover,%,K03241,4.01827843511501
2022 / 2005,"dav. Hannover, Lhst.",%,K03241001,5.68438075035532
2022 / 2005,"dav. Hannover, Umland",%,K03241999,2.61612822161374
2022 / 2005,Diepholz,%,K03251,3.37187076660419
2022 / 2005,Hameln-Pyrmont,%,K03252,-5.75575575575576
2022 / 2005,Hildesheim,%,K03254,-4.22236214187164
2022 / 2005,Holzminden,%,K03255,-8.99278728920147
2022 / 2005,Nienburg (Weser),%,K03256,-1.90752363549694
2022 / 2005,Schaumburg,%,K03257,-3.38070875891687
2022 / 2005,Statistische Region Hannover,%,K032,0.74582274105454
2022 / 2005,Celle,%,K03351,-0.2466510271645
2022 / 2005,Cuxhaven,%,K03352,-1.88185662230363
2022 / 2005,Harburg,%,K03353,8.29642678443681
2022 / 2005,Lüchow-Dannenberg,%,K03354,-4.23352547125721
2022 / 2005,Lüneburg,%,K03355,6.90317542649666
2022 / 2005,Osterholz,%,K03356,3.3794271826576
2022 / 2005,Rotenburg (Wümme),%,K03357,1.655193328279
2022 / 2005,Heidekreis,%,K03358,1.90358709822117
2022 / 2005,Stade,%,K03359,7.03957246469016
2022 / 2005,Uelzen,%,K03360,-2.65937693418609
2022 / 2005,Verden,%,K03361,5.0930759822201
