Year,AGS,Nationalität,Gebietseinheit,GeoCode,Value
2005,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,84
2005,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,41
2005,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,42
2005,151,Ausländerinnen und Ausländer,Gifhorn,K03151,12
2005,153,Ausländerinnen und Ausländer,Goslar,K03153,44
2005,154,Ausländerinnen und Ausländer,Helmstedt,K03154,20
2005,155,Ausländerinnen und Ausländer,Northeim,K03155,41
2005,157,Ausländerinnen und Ausländer,Peine,K03157,38
2005,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,18
2005,159,Ausländerinnen und Ausländer,Göttingen,K03159,128
2005,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,468
2005,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,404
2005,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,270
2005,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,134
2005,251,Ausländerinnen und Ausländer,Diepholz,K03251,50
2005,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,35
2005,254,Ausländerinnen und Ausländer,Hildesheim,K03254,118
2005,255,Ausländerinnen und Ausländer,Holzminden,K03255,13
2005,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,48
2005,257,Ausländerinnen und Ausländer,Schaumburg,K03257,33
2005,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,701
2005,351,Ausländerinnen und Ausländer,Celle,K03351,40
2005,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,45
2005,353,Ausländerinnen und Ausländer,Harburg,K03353,55
2005,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,5
2005,355,Ausländerinnen und Ausländer,Lüneburg,K03355,42
2005,356,Ausländerinnen und Ausländer,Osterholz,K03356,42
2005,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,37
2005,358,Ausländerinnen und Ausländer,Heidekreis,K03358,42
2005,359,Ausländerinnen und Ausländer,Stade,K03359,43
2005,360,Ausländerinnen und Ausländer,Uelzen,K03360,28
2005,361,Ausländerinnen und Ausländer,Verden,K03361,44
2005,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,423
2005,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,18
2005,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,14
2005,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,101
2005,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,60
2005,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,26
2005,451,Ausländerinnen und Ausländer,Ammerland,K03451,14
2005,452,Ausländerinnen und Ausländer,Aurich,K03452,43
2005,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,32
2005,454,Ausländerinnen und Ausländer,Emsland,K03454,87
2005,455,Ausländerinnen und Ausländer,Friesland,K03455,17
2005,456,Ausländerinnen und Ausländer,Grafschaft Bentheim,K03456,57
2005,457,Ausländerinnen und Ausländer,Leer,K03457,35
2005,458,Ausländerinnen und Ausländer,Oldenburg,K03458,28
2005,459,Ausländerinnen und Ausländer,Osnabrück,K03459,61
2005,460,Ausländerinnen und Ausländer,Vechta,K03460,86
2005,461,Ausländerinnen und Ausländer,Wesermarsch,K03461,17
2005,462,Ausländerinnen und Ausländer,Wittmund,K03462,16
2005,4,Ausländerinnen und Ausländer,Statistische Region Weser-Ems,K034,712
2005,0,Ausländerinnen und Ausländer,Niedersachsen,K030,2304
2006,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,72
2006,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,37
2006,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,49
2006,151,Ausländerinnen und Ausländer,Gifhorn,K03151,8
2006,153,Ausländerinnen und Ausländer,Goslar,K03153,44
2006,154,Ausländerinnen und Ausländer,Helmstedt,K03154,12
2006,155,Ausländerinnen und Ausländer,Northeim,K03155,40
2006,157,Ausländerinnen und Ausländer,Peine,K03157,29
2006,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,19
2006,159,Ausländerinnen und Ausländer,Göttingen,K03159,114
2006,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,424
2006,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,467
2006,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,293
2006,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,174
2006,251,Ausländerinnen und Ausländer,Diepholz,K03251,48
2006,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,64
2006,254,Ausländerinnen und Ausländer,Hildesheim,K03254,107
2006,255,Ausländerinnen und Ausländer,Holzminden,K03255,16
2006,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,36
2006,257,Ausländerinnen und Ausländer,Schaumburg,K03257,33
2006,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,771
2006,351,Ausländerinnen und Ausländer,Celle,K03351,29
2006,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,44
2006,353,Ausländerinnen und Ausländer,Harburg,K03353,47
2006,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,10
2006,355,Ausländerinnen und Ausländer,Lüneburg,K03355,29
2006,356,Ausländerinnen und Ausländer,Osterholz,K03356,28
2006,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,41
2006,358,Ausländerinnen und Ausländer,Heidekreis,K03358,40
2006,359,Ausländerinnen und Ausländer,Stade,K03359,50
2006,360,Ausländerinnen und Ausländer,Uelzen,K03360,25
2006,361,Ausländerinnen und Ausländer,Verden,K03361,28
2006,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,371
2006,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,16
2006,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,15
2006,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,97
2006,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,80
2006,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,22
2006,451,Ausländerinnen und Ausländer,Ammerland,K03451,16
2006,452,Ausländerinnen und Ausländer,Aurich,K03452,37
2006,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,20
2006,454,Ausländerinnen und Ausländer,Emsland,K03454,81
2006,455,Ausländerinnen und Ausländer,Friesland,K03455,19
2006,456,Ausländerinnen und Ausländer,Grafschaft Bentheim,K03456,86
2006,457,Ausländerinnen und Ausländer,Leer,K03457,23
2006,458,Ausländerinnen und Ausländer,Oldenburg,K03458,15
2006,459,Ausländerinnen und Ausländer,Osnabrück,K03459,59
2006,460,Ausländerinnen und Ausländer,Vechta,K03460,92
2006,461,Ausländerinnen und Ausländer,Wesermarsch,K03461,16
2006,462,Ausländerinnen und Ausländer,Wittmund,K03462,14
2006,4,Ausländerinnen und Ausländer,Statistische Region Weser-Ems,K034,708
2006,0,Ausländerinnen und Ausländer,Niedersachsen,K030,2274
2007,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,82
2007,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,32
2007,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,43
2007,151,Ausländerinnen und Ausländer,Gifhorn,K03151,11
2007,153,Ausländerinnen und Ausländer,Goslar,K03153,28
2007,154,Ausländerinnen und Ausländer,Helmstedt,K03154,15
2007,155,Ausländerinnen und Ausländer,Northeim,K03155,49
2007,157,Ausländerinnen und Ausländer,Peine,K03157,27
2007,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,26
2007,159,Ausländerinnen und Ausländer,Göttingen,K03159,113
2007,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,426
2007,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,421
2007,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,262
2007,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,159
2007,251,Ausländerinnen und Ausländer,Diepholz,K03251,43
2007,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,66
2007,254,Ausländerinnen und Ausländer,Hildesheim,K03254,111
2007,255,Ausländerinnen und Ausländer,Holzminden,K03255,18
2007,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,29
2007,257,Ausländerinnen und Ausländer,Schaumburg,K03257,47
2007,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,735
2007,351,Ausländerinnen und Ausländer,Celle,K03351,35
2007,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,49
2007,353,Ausländerinnen und Ausländer,Harburg,K03353,60
2007,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,10
2007,355,Ausländerinnen und Ausländer,Lüneburg,K03355,33
2007,356,Ausländerinnen und Ausländer,Osterholz,K03356,29
2007,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,38
2007,358,Ausländerinnen und Ausländer,Heidekreis,K03358,23
2007,359,Ausländerinnen und Ausländer,Stade,K03359,31
2007,360,Ausländerinnen und Ausländer,Uelzen,K03360,20
2007,361,Ausländerinnen und Ausländer,Verden,K03361,46
2007,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,374
2007,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,28
2007,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,16
2007,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,95
2007,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,75
2007,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,16
2007,451,Ausländerinnen und Ausländer,Ammerland,K03451,20
2007,452,Ausländerinnen und Ausländer,Aurich,K03452,60
2007,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,44
