Year,Gebietseinheit,Migrationshintergrund,GeoCode,Value
Braunschweig Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,74,4.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,64,26.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,61,77.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,73,25.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,80,88.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84,8.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,83,72.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,79,71.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,83,2.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84,49.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77,45.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69,54.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,62,68.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,75,5.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,82,58.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,73,38.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,77,18.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,79,79.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,73,78.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,81,5.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,73,58.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,80,7.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84,38.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,78,9.0
Lüchow-Dannenberg und Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,83,76.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,83,34.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,85,75.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,84,62.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,78,22.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,82,22.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,14.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,82,2.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66,11.0
Emden  Stadt und Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,82,91.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,82,6.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,70,6.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,75,69.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,83,66.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,86,97.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,70,33.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,77,35.0
Friesland und Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,88,57.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,72,18.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,84,28.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,76,75.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,65,45.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,86,88.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78,37.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77,68.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,73,93.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,63,5.0
