Year,Herkunftsland,Migrationshintergrund,Units,Value
2019,Europa,Insgesamt,in 1000,1069.568
2019,Bulgarien,Insgesamt,in 1000,23.99
2019,Frankreich,Insgesamt,in 1000,7.889
2019,Griechenland,Insgesamt,in 1000,24.66
2019,Italien,Insgesamt,in 1000,37.345
2019,Kroatien,Insgesamt,in 1000,16.246
2019,Niederlande,Insgesamt,in 1000,41.393
2019,Österreich,Insgesamt,in 1000,13.145
2019,Polen,Insgesamt,in 1000,245.253
2019,Portugal,Insgesamt,in 1000,6.647
2019,Rumänien,Insgesamt,in 1000,44.097
2019,Spanien,Insgesamt,in 1000,17.314
2019,Vereinigtes Königreich,Insgesamt,in 1000,19.812
2019,Sonstiges Europa,Insgesamt,in 1000,522.297
2019,Bosnien und Herzegowina,Insgesamt,in 1000,16.424
2019,Kosovo,Insgesamt,in 1000,44.127
2019,Russische Föderation,Insgesamt,in 1000,179.209
2019,Serbien,Insgesamt,in 1000,20.809
2019,Türkei,Insgesamt,in 1000,186.631
2019,Ukraine,Insgesamt,in 1000,27.589
2019,EU-Staaten,Insgesamt,in 1000,547.271
2019,Afrika,Insgesamt,in 1000,54.087
2019,Marokko,Insgesamt,in 1000,6.678
2019,Ägypten Algerien Libyen Tunesien,Insgesamt,in 1000,13.024
2019,Amerika,Insgesamt,in 1000,35.924
2019,Asien Australien und Ozeanien,Insgesamt,in 1000,468.1
2019,Irak,Insgesamt,in 1000,38.106
2019,Iran,Insgesamt,in 1000,20.597
2019,Kasachstan,Insgesamt,in 1000,152.543
2019,Syrien,Insgesamt,in 1000,94.406
2019,Afghanistan,Insgesamt,in 1000,25.153
2019,Vietnam,Insgesamt,in 1000,18.516
2019,Ohne Angabe,Insgesamt,in 1000,50.156
2019,Insgesamt,Insgesamt,in 1000,1750.792
2018,Europa,Insgesamt,in 1000,1062.0
2018,Bulgarien,Insgesamt,in 1000,20.0
2018,Griechenland,Insgesamt,in 1000,23.0
2018,Italien,Insgesamt,in 1000,39.0
2018,Niederlande,Insgesamt,in 1000,48.0
2018,Polen,Insgesamt,in 1000,255.0
2018,Rumänien,Insgesamt,in 1000,41.0
2018,Spanien,Insgesamt,in 1000,18.0
2018,Vereinigtes Königreich,Insgesamt,in 1000,17.0
2018,Kosovo,Insgesamt,in 1000,41.0
2018,Russische Föderation,Insgesamt,in 1000,178.0
2018,Serbien,Insgesamt,in 1000,19.0
