Year,Land,Value
2005,Europa insgesamt,28436.0
2005,Albanien,-12.0
2005,Bulgarien,10.0
2005,Griechenland,-378.0
2005,Italien,-340.0
2005,Kosovo,0.0
2005,Moldau   Republik,147.0
2005,Polen,4937.0
2005,Rumänien,264.0
2005,Russische Föderation,21843.0
2005,Serbien (ab 2008),
2005,Spanien,-304.0
2005,Türkei,31.0
2005,Ukraine,1514.0
2005,EU Staaten,6464.0
2005,Afrika insgesamt,361.0
2005,Amerika insgesamt,-298.0
2005,Asien insgesamt,13016.0
2005,Afghanistan,20.0
2005,Indien,77.0
2005,Irak,-48.0
2005,Iran  Islamische Republik,81.0
2005,Kasachstan,11234.0
2005,Libanon,23.0
2005,Syrien   Arabische Republik,130.0
2005,Australien und Ozeanien,-124.0
2005,Sonstige Ziele,-874.0
2005,Insgesamt,40517.0
2006,Europa insgesamt,10389.0
2006,Albanien,8.0
2006,Bulgarien,69.0
2006,Griechenland,-255.0
2006,Italien,-278.0
2006,Kosovo,0.0
2006,Moldau   Republik,35.0
2006,Polen,4548.0
2006,Rumänien,271.0
2006,Russische Föderation,5686.0
2006,Serbien (ab 2008),
2006,Spanien,-419.0
2006,Türkei,-306.0
2006,Ukraine,385.0
2006,EU Staaten,5995.0
2006,Afrika insgesamt,215.0
2006,Amerika insgesamt,-2.0
2006,Asien insgesamt,2427.0
2006,Afghanistan,-23.0
2006,Indien,77.0
2006,Irak,19.0
2006,Iran  Islamische Republik,37.0
2006,Kasachstan,1693.0
2006,Libanon,144.0
2006,Syrien   Arabische Republik,58.0
2006,Australien und Ozeanien,-107.0
2006,Sonstige Ziele,227.0
2006,Insgesamt,13149.0
2007,Europa insgesamt,9514.0
2007,Albanien,6.0
2007,Bulgarien,553.0
2007,Griechenland,-248.0
2007,Italien,-282.0
2007,Kosovo,0.0
2007,Moldau   Republik,32.0
2007,Polen,3865.0
2007,Rumänien,1288.0
2007,Russische Föderation,3943.0
2007,Serbien (ab 2008),
2007,Spanien,-198.0
2007,Türkei,-203.0
2007,Ukraine,411.0
2007,EU Staaten,6309.0
2007,Afrika insgesamt,404.0
2007,Amerika insgesamt,-229.0
2007,Asien insgesamt,2172.0
2007,Afghanistan,4.0
2007,Indien,101.0
2007,Irak,176.0
2007,Iran  Islamische Republik,57.0
2007,Kasachstan,1320.0
2007,Libanon,59.0
2007,Syrien   Arabische Republik,49.0
2007,Australien und Ozeanien,-166.0
2007,Sonstige Ziele,32.0
2007,Insgesamt,11727.0
2008,Europa insgesamt,657.0
2008,Albanien,5.0
2008,Bulgarien,867.0
2008,Griechenland,-445.0
2008,Italien,-242.0
2008,Kosovo,96.0
2008,Moldau   Republik,36.0
2008,Polen,-508.0
2008,Rumänien,646.0
2008,Russische Föderation,2279.0
2008,Serbien (ab 2008),48.0
2008,Spanien,-361.0
2008,Türkei,-554.0
2008,Ukraine,253.0
2008,EU Staaten,607.0
2008,Afrika insgesamt,88.0
2008,Amerika insgesamt,-1035.0
2008,Asien insgesamt,1540.0
2008,Afghanistan,36.0
2008,Indien,3.0
2008,Irak,345.0
2008,Iran  Islamische Republik,29.0
2008,Kasachstan,962.0
2008,Libanon,87.0
2008,Syrien   Arabische Republik,62.0
2008,Australien und Ozeanien,-234.0
2008,Sonstige Ziele,-66.0
2008,Insgesamt,950.0
2009,Europa insgesamt,2716.0
2009,Albanien,-7.0
2009,Bulgarien,499.0
2009,Griechenland,-354.0
2009,Italien,-114.0
2009,Kosovo,212.0
2009,Moldau   Republik,32.0
2009,Polen,635.0
2009,Rumänien,916.0
2009,Russische Föderation,2095.0
2009,Serbien (ab 2008),-333.0
2009,Spanien,-16.0
2009,Türkei,-440.0
2009,Ukraine,388.0
2009,EU Staaten,1943.0
2009,Afrika insgesamt,384.0
2009,Amerika insgesamt,-170.0
2009,Asien insgesamt,4687.0
2009,Afghanistan,243.0
2009,Indien,97.0
2009,Irak,2603.0
2009,Iran  Islamische Republik,147.0
2009,Kasachstan,834.0
2009,Libanon,-44.0
2009,Syrien   Arabische Republik,189.0
2009,Australien und Ozeanien,-164.0
2009,Sonstige Ziele,190.0
2009,Insgesamt,7643.0
2010,Europa insgesamt,9999.0
2010,Albanien,-6.0
2010,Bulgarien,1045.0
2010,Griechenland,59.0
2010,Italien,381.0
2010,Kosovo,192.0
2010,Moldau   Republik,56.0
2010,Polen,2725.0
2010,Rumänien,1860.0
2010,Russische Föderation,1751.0
2010,Serbien (ab 2008),318.0
2010,Spanien,281.0
2010,Türkei,-206.0
2010,Ukraine,371.0
2010,EU Staaten,6335.0
2010,Afrika insgesamt,649.0
2010,Amerika insgesamt,42.0
2010,Asien insgesamt,3888.0
2010,Afghanistan,512.0
2010,Indien,243.0
2010,Irak,1176.0
2010,Iran  Islamische Republik,337.0
2010,Kasachstan,483.0
2010,Libanon,54.0
2010,Syrien   Arabische Republik,302.0
2010,Australien und Ozeanien,-120.0
2010,Sonstige Ziele,0.0
2010,Insgesamt,14458.0
2011,Europa insgesamt,17971.0
2011,Albanien,23.0
2011,Bulgarien,1193.0
2011,Griechenland,839.0
2011,Italien,176.0
2011,Kosovo,240.0
2011,Moldau   Republik,33.0
2011,Polen,7870.0
2011,Rumänien,2693.0
2011,Russische Föderation,1590.0
2011,Serbien (ab 2008),-87.0
2011,Spanien,452.0
2011,Türkei,41.0
2011,Ukraine,304.0
2011,EU Staaten,13900.0
2011,Afrika insgesamt,838.0
2011,Amerika insgesamt,549.0
2011,Asien insgesamt,4001.0
2011,Afghanistan,538.0
2011,Indien,162.0
2011,Irak,525.0
2011,Iran  Islamische Republik,487.0
2011,Kasachstan,559.0
2011,Libanon,42.0
2011,Syrien   Arabische Republik,610.0
2011,Australien und Ozeanien,1.0
2011,Sonstige Ziele,310.0
2011,Insgesamt,23670.0
2012,Europa insgesamt,21801.0
2012,Albanien,91.0
2012,Bulgarien,1439.0
2012,Griechenland,1186.0
2012,Italien,991.0
2012,Kosovo,229.0
2012,Moldau   Republik,75.0
2012,Polen,8059.0
2012,Rumänien,2257.0
2012,Russische Föderation,1551.0
2012,Serbien (ab 2008),213.0
2012,Spanien,1107.0
2012,Türkei,-140.0
2012,Ukraine,360.0
2012,EU Staaten,15364.0
2012,Afrika insgesamt,1199.0
2012,Amerika insgesamt,504.0
2012,Asien insgesamt,4526.0
2012,Afghanistan,433.0
2012,Indien,213.0
2012,Irak,244.0
2012,Iran  Islamische Republik,624.0
2012,Kasachstan,430.0
2012,Libanon,88.0
2012,Syrien   Arabische Republik,860.0
2012,Australien und Ozeanien,-23.0
2012,Sonstige Ziele,-487.0
2012,Insgesamt,27520.0
2013,Europa insgesamt,24542.0
2013,Albanien,287.0
2013,Bulgarien,1385.0
2013,Griechenland,1066.0
2013,Italien,1581.0
2013,Kosovo,460.0
2013,Moldau   Republik,90.0
2013,Polen,7980.0
2013,Rumänien,1978.0
2013,Russische Föderation,2915.0
2013,Serbien (ab 2008),791.0
2013,Spanien,1562.0
2013,Türkei,-332.0
2013,Ukraine,462.0
2013,EU Staaten,15107.0
2013,Afrika insgesamt,2863.0
2013,Amerika insgesamt,213.0
2013,Asien insgesamt,7392.0
2013,Afghanistan,489.0
2013,Indien,270.0
2013,Irak,366.0
2013,Iran  Islamische Republik,790.0
2013,Kasachstan,809.0
2013,Libanon,179.0
2013,Syrien   Arabische Republik,2374.0
2013,Australien und Ozeanien,-41.0
2013,Sonstige Ziele,-34.0
2013,Insgesamt,34935.0
2014,Europa insgesamt,33237.0
2014,Albanien,1687.0
2014,Bulgarien,2957.0
2014,Griechenland,773.0
2014,Italien,1659.0
2014,Kosovo,1350.0
2014,Moldau   Republik,302.0
2014,Polen,8211.0
2014,Rumänien,5802.0
2014,Russische Föderation,2928.0
2014,Serbien (ab 2008),1572.0
2014,Spanien,714.0
2014,Türkei,105.0
2014,Ukraine,1002.0
2014,EU Staaten,16581.0
2014,Afrika insgesamt,4009.0
