Year,Gebietseinheit,Geschlecht,Kategorie,Units,GeoCode,Value
2022,"Braunschweig, Stadt",männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03101,4995.0
2022,"Braunschweig, Stadt",weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03101,4620.0
2022,"Braunschweig, Stadt",insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03101,9615.0
2022,"Salzgitter, Stadt",männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03102,4015.0
2022,"Salzgitter, Stadt",weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03102,3170.0
2022,"Salzgitter, Stadt",insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03102,7185.0
2022,"Wolfsburg, Stadt",männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03103,5385.0
2022,"Wolfsburg, Stadt",weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03103,4380.0
2022,"Wolfsburg, Stadt",insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03103,9760.0
2022,Gifhorn,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03151,2850.0
2022,Gifhorn,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03151,2290.0
2022,Gifhorn,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03151,5140.0
2022,Goslar,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03153,2445.0
2022,Goslar,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03153,2015.0
2022,Goslar,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03153,4460.0
2022,Helmstedt,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03154,1720.0
2022,Helmstedt,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03154,1430.0
2022,Helmstedt,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03154,3150.0
2022,Northeim,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03155,1875.0
2022,Northeim,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03155,1640.0
2022,Northeim,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03155,3515.0
2022,Peine,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03157,2610.0
2022,Peine,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03157,2095.0
2022,Peine,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03157,4705.0
2022,Wolfenbüttel,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03158,1445.0
2022,Wolfenbüttel,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03158,1195.0
2022,Wolfenbüttel,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03158,2635.0
2022,Göttingen,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03159,5655.0
2022,Göttingen,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03159,5350.0
2022,Göttingen,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03159,11005.0
2022,Statistische Region Braunschweig,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH031,32995.0
2022,Statistische Region Braunschweig,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH031,28180.0
2022,Statistische Region Braunschweig,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH031,61170.0
2022,Region Hannover,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03241,36960.0
2022,Region Hannover,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03241,32730.0
2022,Region Hannover,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03241,69690.0
2022,Diepholz,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03251,5605.0
2022,Diepholz,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03251,4525.0
2022,Diepholz,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03251,10130.0
2022,Hameln-Pyrmont,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03252,3380.0
2022,Hameln-Pyrmont,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03252,2930.0
2022,Hameln-Pyrmont,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03252,6310.0
2022,Hildesheim,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03254,5060.0
2022,Hildesheim,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03254,4250.0
2022,Hildesheim,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03254,9310.0
2022,Holzminden,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03255,610.0
2022,Holzminden,weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03255,535.0
2022,Holzminden,insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03255,1145.0
2022,Nienburg (Weser),männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03256,2675.0
2022,Nienburg (Weser),weiblich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03256,1880.0
2022,Nienburg (Weser),insgesamt,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03256,4555.0
2022,Schaumburg,männlich,Aufenthaltsrecht nach FreizügG/EU,Anzahl,RH03257,3350.0
