Year,Land der Staatsangehörigkeit,Value
2007,Europa insgesamt,5866.0
2007,Bulgarien,33.0
2007,Griechenland,109.0
2007,Italien,70.0
2007,Kosovo,
2007,Polen,583.0
2007,Rumänien,209.0
2007,"Serbien, Serbien und Montegro",1198.0
2007,Türkei,2162.0
2007,Ukraine,493.0
2007,EU Staaten,1289.0
2007,Afrika insgesamt,521.0
2007,Ägypten,24.0
2007,Tunesien,112.0
2007,Amerika insgesamt,266.0
2007,Asien insgesamt,2375.0
2007,Afganistan,230.0
2007,Libanon,377.0
2007,Indien,33.0
2007,Irak,286.0
2007,"Iran, Islamische Republik",362.0
2007,Palestinensische Gebiete,
2007,"Syrien, Arabische Republik",210.0
2007,Australien und Ozeanien,1.0
2007,Sonstige Ziele,222.0
2007,staatenlos,136.0
2007,ungeklärt,86.0
2008,Europa insgesamt,4488.0
2008,Bulgarien,58.0
2008,Griechenland,98.0
2008,Italien,88.0
2008,Kosovo,
2008,Polen,548.0
2008,Rumänien,124.0
2008,"Serbien, Serbien und Montegro",540.0
2008,Türkei,2020.0
2008,Ukraine,185.0
2008,EU Staaten,1232.0
2008,Afrika insgesamt,564.0
2008,Ägypten,23.0
2008,Tunesien,76.0
2008,Amerika insgesamt,233.0
2008,Asien insgesamt,2272.0
2008,Afganistan,219.0
2008,Libanon,367.0
2008,Indien,38.0
2008,Irak,306.0
2008,"Iran, Islamische Republik",303.0
2008,Palestinensische Gebiete,
2008,"Syrien, Arabische Republik",208.0
2008,Australien und Ozeanien,
2008,Sonstige Ziele,147.0
2008,staatenlos,99.0
2008,ungeklärt,48.0
2009,Europa insgesamt,3947.0
2009,Bulgarien,60.0
2009,Griechenland,69.0
2009,Italien,53.0
2009,Kosovo,34.0
2009,Polen,434.0
2009,Rumänien,119.0
2009,"Serbien, Serbien und Montegro",109.0
2009,Türkei,2170.0
2009,Ukraine,143.0
2009,EU Staaten,1017.0
2009,Afrika insgesamt,542.0
2009,Ägypten,23.0
2009,Tunesien,73.0
2009,Amerika insgesamt,211.0
2009,Asien insgesamt,2338.0
2009,Afganistan,210.0
2009,Libanon,335.0
2009,Indien,34.0
2009,Irak,361.0
2009,"Iran, Islamische Republik",323.0
2009,Palestinensische Gebiete,
2009,"Syrien, Arabische Republik",225.0
2009,Australien und Ozeanien,1.0
2009,Sonstige Ziele,184.0
2009,staatenlos,125.0
2009,ungeklärt,59.0
2010,Europa insgesamt,4205.0
2010,Bulgarien,92.0
2010,Griechenland,72.0
2010,Italien,52.0
2010,Kosovo,170.0
2010,Polen,422.0
2010,Rumänien,136.0
2010,"Serbien, Serbien und Montegro",187.0
2010,Türkei,1892.0
2010,Ukraine,268.0
2010,EU Staaten,1165.0
2010,Afrika insgesamt,489.0
2010,Ägypten,17.0
2010,Tunesien,89.0
2010,Amerika insgesamt,225.0
2010,Asien insgesamt,2290.0
2010,Afganistan,161.0
2010,Libanon,295.0
2010,Indien,41.0
2010,Irak,392.0
2010,"Iran, Islamische Republik",245.0
2010,Palestinensische Gebiete,
2010,"Syrien, Arabische Republik",219.0
2010,Australien und Ozeanien,2.0
2010,Sonstige Ziele,152.0
2010,staatenlos,125.0
2010,ungeklärt,27.0
2011,Europa insgesamt,4595.0
2011,Bulgarien,62.0
2011,Griechenland,126.0
2011,Italien,77.0
2011,Kosovo,221.0
2011,Polen,477.0
2011,Rumänien,132.0
2011,"Serbien, Serbien und Montegro",258.0
2011,Türkei,2010.0
2011,Ukraine,380.0
2011,EU Staaten,1263.0
2011,Afrika insgesamt,599.0
2011,Ägypten,24.0
2011,Tunesien,96.0
2011,Amerika insgesamt,211.0
2011,Asien insgesamt,2443.0
2011,Afganistan,124.0
2011,Libanon,240.0
2011,Indien,44.0
2011,Irak,434.0
2011,"Iran, Islamische Republik",255.0
2011,Palestinensische Gebiete,
2011,"Syrien, Arabische Republik",219.0
2011,Australien und Ozeanien,3.0
2011,Sonstige Ziele,144.0
2011,staatenlos,99.0
2011,ungeklärt,45.0
2012,Europa insgesamt,5096.0
2012,Bulgarien,61.0
2012,Griechenland,344.0
2012,Italien,89.0
2012,Kosovo,181.0
2012,Polen,518.0
2012,Rumänien,81.0
2012,"Serbien, Serbien und Montegro",225.0
2012,Türkei,2361.0
2012,Ukraine,325.0
2012,EU Staaten,1482.0
2012,Afrika insgesamt,596.0
2012,Ägypten,28.0
2012,Tunesien,110.0
2012,Amerika insgesamt,211.0
2012,Asien insgesamt,2488.0
2012,Afganistan,121.0
2012,Libanon,209.0
2012,Indien,64.0
2012,Irak,273.0
2012,"Iran, Islamische Republik",227.0
2012,Palestinensische Gebiete,
2012,"Syrien, Arabische Republik",208.0
2012,Australien und Ozeanien,2.0
2012,Sonstige Ziele,133.0
2012,staatenlos,117.0
2012,ungeklärt,16.0
