Year,Nationalität,Schulart,Erreichter Abschluss,Units,Value
2020,Deutsche,Insgesamt,Insgesamt,Anzahl,98376
2020,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,4660
2020,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,12039
2020,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1070
2020,Deutsche,Insgesamt,Realschulabschluss,Anzahl,14462
2020,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,4845
2020,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,46368
2020,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,5565
2020,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,9367
2020,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,24393
2020,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,10180
2020,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,136
2020,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,490
2020,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,51
2020,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,1588
2020,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,1595
2020,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,2559
2020,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,2185
2020,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,1576
2020,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,3823
2019,Deutsche,Insgesamt,Insgesamt,Anzahl,99010
2019,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,5283
2019,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,12002
2019,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1044
2019,Deutsche,Insgesamt,Realschulabschluss,Anzahl,13613
2019,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,4320
2019,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,46582
2019,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,6324
2019,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,9842
2019,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,26136
2019,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,9712
