Year,Migrationsstatus,Altersgruppe,Bildungsstand,Geschlecht,Units,Value
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,617.0
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,315.0
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,303.0
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,417.0
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,210.0
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,207.0
2023,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,200.0
2023,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,105.0
2023,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,95.0
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,622.0
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,318.0
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,304.0
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,434.0
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,219.0
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,215.0
2022,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,188.0
2022,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,99.0
2022,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,89.0
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,618.0
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,318.0
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,300.0
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,434.0
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,217.0
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,216.0
2021,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,184.0
2021,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,101.0
2021,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,83.0
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,4299.0
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,2153.0
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,2146.0
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,3192.0
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,1594.0
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,1598.0
2023,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,1107.0
2023,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,558.0
2023,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,549.0
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,4278.0
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,2142.0
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,2136.0
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,3195.0
