Year,Höchster beruflicher Abschluss,Migrationshintergrund,Geschlecht,Units,Value
2025,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,21.3681062983007
2025,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,49.1450651729874
2025,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,29.4868285287119
2024,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,24.8719514087932
2024,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,46.7814533903128
2024,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,28.346595200894
2023,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,26.1978555872005
2023,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,46.4734461383816
2023,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,27.3286982744178
2022,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,26.8960125097733
2022,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,47.0648521860406
2022,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,26.0391353041861
2021,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,25.288056606597
2021,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,49.9230423908164
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,24.7889010025866
2019,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,21.64
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,46.87
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,31.49
2018,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,21.82
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,48.44
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,29.74
2017,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,21.83
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,49.19
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,28.98
2016,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,22.14
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,50.52
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,27.35
2015,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,19.34
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,51.57
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,29.08
2014,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,19.53
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,53.93
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,26.54
2013,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,19.95
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,55.79
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,24.26
2012,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,19.93
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,55.69
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,24.38
2011,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,19.59
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,57.59
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,22.82
2005,Ohne Abschluss1),mit und ohne Migrationshintergrund,Insgesamt,%,24.1544454209996
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,58.9145618861606
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,16.9309926928397
2025,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,24.2059255976958
2025,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,49.8318193719914
2025,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,25.9622550303128
2024,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,27.1917234780529
2024,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,48.1202408005422
2024,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.6880357214049
2023,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,27.4257525420316
2023,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,48.4143763213531
2023,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.1598711366153
2022,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,28.540175833163
2022,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,47.7898180331221
2022,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.670006133715
2021,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,27.7355202460277
2021,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,49.7488467452588
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,22.5176832393644
2019,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.17
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,48.72
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,28.11
2018,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.59
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,50.1
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,26.32
2017,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.47
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,50.81
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,25.72
2016,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.92
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,51.29
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.79
2015,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.13
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,53.84
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,26.03
2014,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.1
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,55.86
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.05
2013,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.03
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,56.53
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.43
2012,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.06
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,56.79
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.15
2011,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.45
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,58.22
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,21.33
2005,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,22.719256399342
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,59.5185574678739
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,17.7621861327841
2025,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,18.2598336605705
2025,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,48.3928610823093
2025,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,33.3473052571202
2024,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,22.3663826491092
2024,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,45.3373784318788
2024,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,32.296238919012
2023,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,24.8674709308667
2023,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,44.3705141909727
2023,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,30.7620148781605
2022,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,25.1393838686403
2022,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,46.2885628703238
2022,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,28.5720532610359
2021,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,22.6229288553437
2021,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,50.1116520030369
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,27.2654191416194
2019,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,19.91
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,44.77
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,35.31
2018,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,19.86
