Year,Land der Staatsangehörigkeit,Kategorie,Value
WS 2005/06,China,Ausländische Studierende (Insgesamt),3080
WS 2005/06,Türkei,Ausländische Studierende (Insgesamt),1141
WS 2005/06,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),156
WS 2005/06,Indien,Ausländische Studierende (Insgesamt),284
WS 2005/06,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),365
WS 2005/06,Staaten insgesamt,Ausländische Studierende (Insgesamt),17028
WS 2006/07,China,Ausländische Studierende (Insgesamt),2985
WS 2006/07,Türkei,Ausländische Studierende (Insgesamt),1071
WS 2006/07,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),173
WS 2006/07,Indien,Ausländische Studierende (Insgesamt),302
WS 2006/07,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),363
WS 2006/07,Staaten insgesamt,Ausländische Studierende (Insgesamt),16356
WS 2007/08,China,Ausländische Studierende (Insgesamt),2635
WS 2007/08,Türkei,Ausländische Studierende (Insgesamt),1059
WS 2007/08,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),167
WS 2007/08,Indien,Ausländische Studierende (Insgesamt),271
WS 2007/08,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),376
WS 2007/08,Staaten insgesamt,Ausländische Studierende (Insgesamt),15221
WS 2008/09,China,Ausländische Studierende (Insgesamt),2503
WS 2008/09,Türkei,Ausländische Studierende (Insgesamt),1103
WS 2008/09,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),188
WS 2008/09,Indien,Ausländische Studierende (Insgesamt),233
WS 2008/09,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),416
WS 2008/09,Staaten insgesamt,Ausländische Studierende (Insgesamt),15142
WS 2009/10,China,Ausländische Studierende (Insgesamt),2419
WS 2009/10,Türkei,Ausländische Studierende (Insgesamt),1170
WS 2009/10,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),196
WS 2009/10,Indien,Ausländische Studierende (Insgesamt),236
WS 2009/10,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),431
WS 2009/10,Staaten insgesamt,Ausländische Studierende (Insgesamt),14980
WS 2010/11,China,Ausländische Studierende (Insgesamt),2391
WS 2010/11,Türkei,Ausländische Studierende (Insgesamt),1229
WS 2010/11,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),205
WS 2010/11,Indien,Ausländische Studierende (Insgesamt),279
WS 2010/11,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),473
WS 2010/11,Staaten insgesamt,Ausländische Studierende (Insgesamt),14839
WS 2011/12,China,Ausländische Studierende (Insgesamt),2320
WS 2011/12,Türkei,Ausländische Studierende (Insgesamt),1367
WS 2011/12,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),236
WS 2011/12,Indien,Ausländische Studierende (Insgesamt),335
WS 2011/12,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),496
WS 2011/12,Staaten insgesamt,Ausländische Studierende (Insgesamt),14923
WS 2012/13,China,Ausländische Studierende (Insgesamt),2526
WS 2012/13,Türkei,Ausländische Studierende (Insgesamt),1495
WS 2012/13,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),231
WS 2012/13,Indien,Ausländische Studierende (Insgesamt),424
WS 2012/13,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),537
WS 2012/13,Staaten insgesamt,Ausländische Studierende (Insgesamt),15515
WS 2013/14,China,Ausländische Studierende (Insgesamt),2863
WS 2013/14,Türkei,Ausländische Studierende (Insgesamt),1607
WS 2013/14,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),249
WS 2013/14,Indien,Ausländische Studierende (Insgesamt),508
WS 2013/14,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),581
WS 2013/14,Staaten insgesamt,Ausländische Studierende (Insgesamt),16368
WS 2014/15,China,Ausländische Studierende (Insgesamt),3102
WS 2014/15,Türkei,Ausländische Studierende (Insgesamt),1735
WS 2014/15,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),293
WS 2014/15,Indien,Ausländische Studierende (Insgesamt),589
WS 2014/15,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),595
WS 2014/15,Staaten insgesamt,Ausländische Studierende (Insgesamt),17920
WS 2015/16,China,Ausländische Studierende (Insgesamt),3365
WS 2015/16,Türkei,Ausländische Studierende (Insgesamt),1870
WS 2015/16,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),416
WS 2015/16,Indien,Ausländische Studierende (Insgesamt),642
WS 2015/16,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),678
WS 2015/16,Staaten insgesamt,Ausländische Studierende (Insgesamt),19213
WS 2016/17,China,Ausländische Studierende (Insgesamt),3608
WS 2016/17,Türkei,Ausländische Studierende (Insgesamt),1954
WS 2016/17,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),559
WS 2016/17,Indien,Ausländische Studierende (Insgesamt),709
WS 2016/17,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),737
WS 2016/17,Staaten insgesamt,Ausländische Studierende (Insgesamt),20591
WS 2017/18,China,Ausländische Studierende (Insgesamt),4027
WS 2017/18,Türkei,Ausländische Studierende (Insgesamt),2041
WS 2017/18,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),884
WS 2017/18,Indien,Ausländische Studierende (Insgesamt),840
WS 2017/18,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),810
WS 2017/18,Staaten insgesamt,Ausländische Studierende (Insgesamt),22202
WS 2018/19,China,Ausländische Studierende (Insgesamt),4335
WS 2018/19,Türkei,Ausländische Studierende (Insgesamt),2015
WS 2018/19,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),1267
WS 2018/19,Indien,Ausländische Studierende (Insgesamt),1063
WS 2018/19,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),930
WS 2018/19,Staaten insgesamt,Ausländische Studierende (Insgesamt),23707
WS 2019/20,China,Ausländische Studierende (Insgesamt),4413
WS 2019/20,Türkei,Ausländische Studierende (Insgesamt),1999
WS 2019/20,Syrien  Arab. Republik,Ausländische Studierende (Insgesamt),1593
WS 2019/20,Indien,Ausländische Studierende (Insgesamt),1338
WS 2019/20,Iran  Islamische Republik,Ausländische Studierende (Insgesamt),1032
WS 2019/20,Staaten insgesamt,Ausländische Studierende (Insgesamt),25077
WS 2005/06,China,Ausländische Studierende (Männer),1700
WS 2005/06,Türkei,Ausländische Studierende (Männer),735
WS 2005/06,Syrien  Arab. Republik,Ausländische Studierende (Männer),121
WS 2005/06,Indien,Ausländische Studierende (Männer),218
WS 2005/06,Iran  Islamische Republik,Ausländische Studierende (Männer),205
WS 2005/06,Staaten insgesamt,Ausländische Studierende (Männer),8800
WS 2006/07,China,Ausländische Studierende (Männer),1660
WS 2006/07,Türkei,Ausländische Studierende (Männer),664
WS 2006/07,Syrien  Arab. Republik,Ausländische Studierende (Männer),132
WS 2006/07,Indien,Ausländische Studierende (Männer),231
WS 2006/07,Iran  Islamische Republik,Ausländische Studierende (Männer),205
WS 2006/07,Staaten insgesamt,Ausländische Studierende (Männer),8363
WS 2007/08,China,Ausländische Studierende (Männer),1445
WS 2007/08,Türkei,Ausländische Studierende (Männer),623
WS 2007/08,Syrien  Arab. Republik,Ausländische Studierende (Männer),126
WS 2007/08,Indien,Ausländische Studierende (Männer),187
WS 2007/08,Iran  Islamische Republik,Ausländische Studierende (Männer),215
WS 2007/08,Staaten insgesamt,Ausländische Studierende (Männer),7719
WS 2008/09,China,Ausländische Studierende (Männer),1377
WS 2008/09,Türkei,Ausländische Studierende (Männer),633
WS 2008/09,Syrien  Arab. Republik,Ausländische Studierende (Männer),138
WS 2008/09,Indien,Ausländische Studierende (Männer),155
WS 2008/09,Iran  Islamische Republik,Ausländische Studierende (Männer),241
WS 2008/09,Staaten insgesamt,Ausländische Studierende (Männer),7733
WS 2009/10,China,Ausländische Studierende (Männer),1320
WS 2009/10,Türkei,Ausländische Studierende (Männer),666
WS 2009/10,Syrien  Arab. Republik,Ausländische Studierende (Männer),140
WS 2009/10,Indien,Ausländische Studierende (Männer),154
WS 2009/10,Iran  Islamische Republik,Ausländische Studierende (Männer),251
WS 2009/10,Staaten insgesamt,Ausländische Studierende (Männer),7706
WS 2010/11,China,Ausländische Studierende (Männer),1339
WS 2010/11,Türkei,Ausländische Studierende (Männer),692
WS 2010/11,Syrien  Arab. Republik,Ausländische Studierende (Männer),148
WS 2010/11,Indien,Ausländische Studierende (Männer),185
WS 2010/11,Iran  Islamische Republik,Ausländische Studierende (Männer),266
WS 2010/11,Staaten insgesamt,Ausländische Studierende (Männer),7678
WS 2011/12,China,Ausländische Studierende (Männer),1308
WS 2011/12,Türkei,Ausländische Studierende (Männer),759
WS 2011/12,Syrien  Arab. Republik,Ausländische Studierende (Männer),175
WS 2011/12,Indien,Ausländische Studierende (Männer),217
WS 2011/12,Iran  Islamische Republik,Ausländische Studierende (Männer),273
WS 2011/12,Staaten insgesamt,Ausländische Studierende (Männer),7817
WS 2012/13,China,Ausländische Studierende (Männer),1461
WS 2012/13,Türkei,Ausländische Studierende (Männer),807
WS 2012/13,Syrien  Arab. Republik,Ausländische Studierende (Männer),166
WS 2012/13,Indien,Ausländische Studierende (Männer),284
WS 2012/13,Iran  Islamische Republik,Ausländische Studierende (Männer),288
WS 2012/13,Staaten insgesamt,Ausländische Studierende (Männer),8241
WS 2013/14,China,Ausländische Studierende (Männer),1641
WS 2013/14,Türkei,Ausländische Studierende (Männer),843
WS 2013/14,Syrien  Arab. Republik,Ausländische Studierende (Männer),178
WS 2013/14,Indien,Ausländische Studierende (Männer),345
WS 2013/14,Iran  Islamische Republik,Ausländische Studierende (Männer),317
WS 2013/14,Staaten insgesamt,Ausländische Studierende (Männer),8685
WS 2014/15,China,Ausländische Studierende (Männer),1752
WS 2014/15,Türkei,Ausländische Studierende (Männer),892
WS 2014/15,Syrien  Arab. Republik,Ausländische Studierende (Männer),209
WS 2014/15,Indien,Ausländische Studierende (Männer),406
WS 2014/15,Iran  Islamische Republik,Ausländische Studierende (Männer),338
WS 2014/15,Staaten insgesamt,Ausländische Studierende (Männer),9580
WS 2015/16,China,Ausländische Studierende (Männer),1893
WS 2015/16,Türkei,Ausländische Studierende (Männer),943
WS 2015/16,Syrien  Arab. Republik,Ausländische Studierende (Männer),306
WS 2015/16,Indien,Ausländische Studierende (Männer),439
WS 2015/16,Iran  Islamische Republik,Ausländische Studierende (Männer),361
WS 2015/16,Staaten insgesamt,Ausländische Studierende (Männer),10249
WS 2016/17,China,Ausländische Studierende (Männer),1992
WS 2016/17,Türkei,Ausländische Studierende (Männer),966
WS 2016/17,Syrien  Arab. Republik,Ausländische Studierende (Männer),432
WS 2016/17,Indien,Ausländische Studierende (Männer),498
WS 2016/17,Iran  Islamische Republik,Ausländische Studierende (Männer),378
WS 2016/17,Staaten insgesamt,Ausländische Studierende (Männer),11163
WS 2017/18,China,Ausländische Studierende (Männer),2287
WS 2017/18,Türkei,Ausländische Studierende (Männer),1018
WS 2017/18,Syrien  Arab. Republik,Ausländische Studierende (Männer),703
WS 2017/18,Indien,Ausländische Studierende (Männer),612
WS 2017/18,Iran  Islamische Republik,Ausländische Studierende (Männer),413
WS 2017/18,Staaten insgesamt,Ausländische Studierende (Männer),12237
WS 2018/19,China,Ausländische Studierende (Männer),2499
WS 2018/19,Türkei,Ausländische Studierende (Männer),1017
