Year,Kategorie,Geocode,Value
2019.0,insgesamt,121,6120.0
2019.0,insgesamt,124,1300.0
2019.0,insgesamt,122,7860.0
2019.0,insgesamt,125,28360.0
2019.0,insgesamt,126,1450.0
2019.0,insgesamt,127,515.0
2019.0,insgesamt,128,1050.0
2019.0,insgesamt,129,4800.0
2019.0,insgesamt,134,18815.0
2019.0,insgesamt,135,740.0
2019.0,insgesamt,136,140.0
2019.0,insgesamt,137,28825.0
2019.0,insgesamt,132,1690.0
2019.0,insgesamt,133,470.0
2019.0,insgesamt,170,19115.0
2019.0,insgesamt,140,4405.0
2019.0,insgesamt,130,11915.0
2019.0,insgesamt,150,16475.0
2019.0,insgesamt,139,5590.0
2019.0,insgesamt,142,7745.0
2019.0,insgesamt,143,240.0
2019.0,insgesamt,145,40.0
2019.0,insgesamt,144,6105.0
2019.0,insgesamt,146,2825.0
2019.0,insgesamt,147,5.0
2019.0,insgesamt,148,29865.0
2019.0,insgesamt,149,525.0
2019.0,insgesamt,151,6680.0
2019.0,insgesamt,152,98015.0
2019.0,insgesamt,153,8740.0
2019.0,insgesamt,154,58980.0
2019.0,insgesamt,160,22260.0
2019.0,insgesamt,157,1565.0
2019.0,insgesamt,158,2385.0
2019.0,insgesamt,155,2835.0
2019.0,insgesamt,131,915.0
2019.0,insgesamt,159,85.0
2019.0,insgesamt,161,11970.0
2019.0,insgesamt,162,90.0
2019.0,insgesamt,164,2180.0
2019.0,insgesamt,163,88735.0
2019.0,insgesamt,166,11345.0
2019.0,insgesamt,165,9465.0
2019.0,insgesamt,168,6750.0
2019.0,insgesamt,169,2070.0
2019.0,insgesamt,181,115.0
2019.0,insgesamt,   ,5.0
2019.0,insgesamt,   ,542155.0
2019.0,insgesamt,221,1380.0
2019.0,insgesamt,223,235.0
2019.0,insgesamt,287,2095.0
2019.0,insgesamt,225,375.0
2019.0,insgesamt,229,125.0
2019.0,insgesamt,258,100.0
2019.0,insgesamt,231,3040.0
2019.0,insgesamt,224,3800.0
2019.0,insgesamt,237,880.0
2019.0,insgesamt,238,2945.0
2019.0,insgesamt,262,2005.0
2019.0,insgesamt,243,665.0
2019.0,insgesamt,247,645.0
2019.0,insgesamt,252,2380.0
2019.0,insgesamt,232,2835.0
2019.0,insgesamt,269,265.0
2019.0,insgesamt,272,125.0
2019.0,insgesamt,273,3205.0
2019.0,insgesamt,263,515.0
2019.0,insgesamt,276,240.0
2019.0,insgesamt,277,4425.0
2019.0,insgesamt,278,185.0
2019.0,insgesamt,283,575.0
2019.0,insgesamt,285,3725.0
2019.0,insgesamt,246,255.0
2019.0,insgesamt,   ,4990.0
2019.0,insgesamt,   ,42015.0
2019.0,insgesamt,323,395.0
2019.0,insgesamt,326,145.0
2019.0,insgesamt,327,3190.0
2019.0,insgesamt,332,555.0
2019.0,insgesamt,335,455.0
2019.0,insgesamt,348,1020.0
2019.0,insgesamt,349,1875.0
2019.0,insgesamt,351,390.0
2019.0,insgesamt,353,1705.0
2019.0,insgesamt,361,750.0
2019.0,insgesamt,367,360.0
2019.0,insgesamt,368,5390.0
2019.0,insgesamt,   ,1355.0
2019.0,insgesamt,   ,17580.0
2019.0,insgesamt,423,21190.0
2019.0,insgesamt,422,1515.0
2019.0,insgesamt,425,1620.0
2019.0,insgesamt,460,375.0
2019.0,insgesamt,479,10490.0
2019.0,insgesamt,430,2640.0
2019.0,insgesamt,436,7025.0
2019.0,insgesamt,437,1585.0
2019.0,insgesamt,441,695.0
2019.0,insgesamt,438,41035.0
2019.0,insgesamt,439,10780.0
2019.0,insgesamt,442,1465.0
2019.0,insgesamt,445,970.0
2019.0,insgesamt,444,4825.0
2019.0,insgesamt,467,1550.0
2019.0,insgesamt,451,6740.0
2019.0,insgesamt,482,565.0
2019.0,insgesamt,458,755.0
2019.0,insgesamt,461,4295.0
2019.0,insgesamt,459,1030.0
2019.0,insgesamt,462,1870.0
2019.0,insgesamt,431,1250.0
2019.0,insgesamt,475,84805.0
2019.0,insgesamt,465,460.0
2019.0,insgesamt,476,4190.0
2019.0,insgesamt,432,8760.0
2019.0,insgesamt,   ,3570.0
2019.0,insgesamt,   ,226045.0
2019.0,insgesamt,   ,1065.0
2019.0,insgesamt,997,3540.0
2019.0,insgesamt,   ,8730.0
2019.0,insgesamt,185,35.0
2019.0,insgesamt,   ,841165.0
2019.0,männlich,121,3530.0
2019.0,männlich,124,665.0
2019.0,männlich,122,4255.0
2019.0,männlich,125,15555.0
2019.0,männlich,126,585.0
2019.0,männlich,127,185.0
2019.0,männlich,128,295.0
2019.0,männlich,129,2270.0
2019.0,männlich,134,10670.0
2019.0,männlich,135,450.0
2019.0,männlich,136,85.0
2019.0,männlich,137,17460.0
2019.0,männlich,132,935.0
2019.0,männlich,133,230.0
2019.0,männlich,170,9740.0
2019.0,männlich,140,2385.0
2019.0,männlich,130,6790.0
2019.0,männlich,150,8550.0
2019.0,männlich,139,2985.0
2019.0,männlich,142,3825.0
2019.0,männlich,143,120.0
2019.0,männlich,145,20.0
2019.0,männlich,144,3250.0
2019.0,männlich,146,1160.0
2019.0,männlich,147,0.0
2019.0,männlich,148,16910.0
2019.0,männlich,149,250.0
2019.0,männlich,151,3515.0
2019.0,männlich,152,53655.0
2019.0,männlich,153,4730.0
2019.0,männlich,154,35745.0
2019.0,männlich,160,8180.0
2019.0,männlich,157,735.0
2019.0,männlich,158,1110.0
2019.0,männlich,155,1480.0
2019.0,männlich,131,515.0
2019.0,männlich,159,30.0
2019.0,männlich,161,6320.0
2019.0,männlich,162,35.0
2019.0,männlich,164,975.0
2019.0,männlich,163,45520.0
2019.0,männlich,166,4195.0
2019.0,männlich,165,5690.0
2019.0,männlich,168,4715.0
2019.0,männlich,169,605.0
2019.0,männlich,181,60.0
2019.0,männlich,   ,5.0
2019.0,männlich,   ,290985.0
2019.0,männlich,221,1015.0
2019.0,männlich,223,130.0
2019.0,männlich,287,1415.0
2019.0,männlich,225,180.0
2019.0,männlich,229,80.0
2019.0,männlich,258,65.0
2019.0,männlich,231,2230.0
2019.0,männlich,224,2585.0
2019.0,männlich,237,710.0
2019.0,männlich,238,1475.0
2019.0,männlich,262,1110.0
2019.0,männlich,243,205.0
2019.0,männlich,247,520.0
2019.0,männlich,252,1345.0
2019.0,männlich,232,1635.0
2019.0,männlich,269,165.0
2019.0,männlich,272,90.0
2019.0,männlich,273,1995.0
2019.0,männlich,263,240.0
2019.0,männlich,276,210.0
2019.0,männlich,277,3555.0
2019.0,männlich,278,155.0
2019.0,männlich,283,260.0
2019.0,männlich,285,2425.0
2019.0,männlich,246,135.0
2019.0,männlich,   ,2935.0
2019.0,männlich,   ,26865.0
2019.0,männlich,323,195.0
2019.0,männlich,326,55.0
2019.0,männlich,327,1205.0
2019.0,männlich,332,285.0
2019.0,männlich,335,165.0
2019.0,männlich,348,490.0
2019.0,männlich,349,840.0
2019.0,männlich,351,135.0
2019.0,männlich,353,785.0
2019.0,männlich,361,280.0
2019.0,männlich,367,160.0
2019.0,männlich,368,2820.0
2019.0,männlich,   ,605.0
2019.0,männlich,   ,8020.0
2019.0,männlich,423,13435.0
2019.0,männlich,422,710.0
2019.0,männlich,425,800.0
2019.0,männlich,460,250.0
2019.0,männlich,479,5300.0
2019.0,männlich,430,1240.0
2019.0,männlich,436,4325.0
2019.0,männlich,437,665.0
2019.0,männlich,441,420.0
2019.0,männlich,438,22650.0
2019.0,männlich,439,6185.0
2019.0,männlich,442,575.0
2019.0,männlich,445,585.0
2019.0,männlich,444,2200.0
2019.0,männlich,467,590.0
2019.0,männlich,451,3885.0
2019.0,männlich,482,285.0
2019.0,männlich,458,400.0
2019.0,männlich,461,2980.0
2019.0,männlich,459,630.0
2019.0,männlich,462,425.0
2019.0,männlich,431,585.0
2019.0,männlich,475,48260.0
2019.0,männlich,465,125.0
2019.0,männlich,476,400.0
2019.0,männlich,432,3970.0
2019.0,männlich,   ,1825.0
2019.0,männlich,   ,123710.0
2019.0,männlich,   ,600.0
2019.0,männlich,997,2005.0
2019.0,männlich,   ,5110.0
2019.0,männlich,185,15.0
2019.0,männlich,   ,457315.0
2019.0,weiblich,121,2590.0
2019.0,weiblich,124,640.0
2019.0,weiblich,122,3605.0
2019.0,weiblich,125,12800.0
2019.0,weiblich,126,865.0
2019.0,weiblich,127,330.0
2019.0,weiblich,128,750.0
2019.0,weiblich,129,2530.0
2019.0,weiblich,134,8145.0
2019.0,weiblich,135,295.0
2019.0,weiblich,136,55.0
2019.0,weiblich,137,11360.0
2019.0,weiblich,132,750.0
2019.0,weiblich,133,240.0
2019.0,weiblich,170,9375.0
2019.0,weiblich,140,2020.0
2019.0,weiblich,130,5120.0
2019.0,weiblich,150,7925.0
2019.0,weiblich,139,2600.0
2019.0,weiblich,142,3915.0
2019.0,weiblich,143,120.0
2019.0,weiblich,145,20.0
2019.0,weiblich,144,2855.0
2019.0,weiblich,146,1665.0
2019.0,weiblich,147,0.0
2019.0,weiblich,148,12955.0
2019.0,weiblich,149,275.0
2019.0,weiblich,151,3165.0
2019.0,weiblich,152,44365.0
2019.0,weiblich,153,4010.0
2019.0,weiblich,154,23235.0
2019.0,weiblich,160,14075.0
2019.0,weiblich,157,830.0
2019.0,weiblich,158,1275.0
2019.0,weiblich,155,1355.0
2019.0,weiblich,131,405.0
2019.0,weiblich,159,55.0
2019.0,weiblich,161,5650.0
2019.0,weiblich,162,55.0
2019.0,weiblich,164,1205.0
2019.0,weiblich,163,43215.0
2019.0,weiblich,166,7150.0
2019.0,weiblich,165,3775.0
2019.0,weiblich,168,2030.0
2019.0,weiblich,169,1465.0
2019.0,weiblich,181,55.0
2019.0,weiblich,   ,0.0
2019.0,weiblich,   ,251170.0
2019.0,weiblich,221,370.0
2019.0,weiblich,223,105.0
2019.0,weiblich,287,680.0
2019.0,weiblich,225,195.0
2019.0,weiblich,229,50.0
2019.0,weiblich,258,35.0
2019.0,weiblich,231,815.0
2019.0,weiblich,224,1220.0
2019.0,weiblich,237,175.0
2019.0,weiblich,238,1465.0
2019.0,weiblich,262,895.0
2019.0,weiblich,243,460.0
2019.0,weiblich,247,125.0
2019.0,weiblich,252,1035.0
2019.0,weiblich,232,1200.0
2019.0,weiblich,269,100.0
2019.0,weiblich,272,35.0
2019.0,weiblich,273,1210.0
2019.0,weiblich,263,275.0
2019.0,weiblich,276,30.0
2019.0,weiblich,277,870.0
2019.0,weiblich,278,30.0
2019.0,weiblich,283,315.0
2019.0,weiblich,285,1295.0
2019.0,weiblich,246,120.0
2019.0,weiblich,   ,2055.0
2019.0,weiblich,   ,15155.0
2019.0,weiblich,323,200.0
2019.0,weiblich,326,85.0
2019.0,weiblich,327,1985.0
2019.0,weiblich,332,270.0
2019.0,weiblich,335,285.0
2019.0,weiblich,348,530.0
2019.0,weiblich,349,1040.0
2019.0,weiblich,351,255.0
2019.0,weiblich,353,920.0
2019.0,weiblich,361,475.0
2019.0,weiblich,367,195.0
2019.0,weiblich,368,2570.0
2019.0,weiblich,   ,745.0
2019.0,weiblich,   ,9560.0
2019.0,weiblich,423,7755.0
2019.0,weiblich,422,810.0
2019.0,weiblich,425,815.0
2019.0,weiblich,460,125.0
2019.0,weiblich,479,5195.0
2019.0,weiblich,430,1400.0
2019.0,weiblich,436,2700.0
2019.0,weiblich,437,920.0
2019.0,weiblich,441,275.0
2019.0,weiblich,438,18385.0
2019.0,weiblich,439,4595.0
2019.0,weiblich,442,890.0
2019.0,weiblich,445,385.0
2019.0,weiblich,444,2625.0
2019.0,weiblich,467,960.0
2019.0,weiblich,451,2850.0
2019.0,weiblich,482,280.0
2019.0,weiblich,458,355.0
2019.0,weiblich,461,1315.0
2019.0,weiblich,459,400.0
2019.0,weiblich,462,1445.0
2019.0,weiblich,431,665.0
2019.0,weiblich,475,36545.0
2019.0,weiblich,465,335.0
2019.0,weiblich,476,3790.0
2019.0,weiblich,432,4790.0
2019.0,weiblich,   ,1740.0
2019.0,weiblich,   ,102335.0
2019.0,weiblich,   ,460.0
2019.0,weiblich,997,1530.0
2019.0,weiblich,   ,3620.0
2019.0,weiblich,185,20.0
2019.0,weiblich,   ,383850.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
