Year,Berufsgruppe,Geschlecht,Verfahren,Entscheidung vor Rechtsbehelf,Value
2021,alle Berufsgruppen,Männer,Insgesamt,,3264.0
2021,alle Berufsgruppen,Frauen,Insgesamt,,4362.0
2021,alle Berufsgruppen,Insgesamt,Insgesamt,,7626.0
2021,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,2211.0
2021,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,3726.0
2021,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,5397.0
2020,alle Berufsgruppen,Männer,Insgesamt,,2943.0
2020,alle Berufsgruppen,Frauen,Insgesamt,,4008.0
2020,alle Berufsgruppen,Insgesamt,Insgesamt,,6951.0
2020,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,1902.0
2020,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,3225.0
2020,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,5127.0
2019,alle Berufsgruppen,Männer,Insgesamt,,2622.0
2019,alle Berufsgruppen,Frauen,Insgesamt,,3597.0
2019,alle Berufsgruppen,Insgesamt,Insgesamt,,6219.0
2019,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,1785.0
2019,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,2712.0
2019,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,4497.0
2018,alle Berufsgruppen,Männer,Insgesamt,,2112.0
2018,alle Berufsgruppen,Frauen,Insgesamt,,2466.0
2018,alle Berufsgruppen,Insgesamt,Insgesamt,,4578.0
2018,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,1179.0
2018,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,1710.0
2018,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,2889.0
2017,alle Berufsgruppen,Männer,Insgesamt,,1770.0
2017,alle Berufsgruppen,Frauen,Insgesamt,,1818.0
2017,alle Berufsgruppen,Insgesamt,Insgesamt,,3588.0
2017,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,843.0
2017,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,1230.0
2017,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,2070.0
2016,alle Berufsgruppen,Männer,Insgesamt,,1620.0
2016,alle Berufsgruppen,Frauen,Insgesamt,,1737.0
2016,alle Berufsgruppen,Insgesamt,Insgesamt,,3360.0
2016,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,798.0
2016,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,1071.0
2016,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,1869.0
2015,alle Berufsgruppen,Männer,Insgesamt,,1098.0
2015,alle Berufsgruppen,Frauen,Insgesamt,,1506.0
2015,alle Berufsgruppen,Insgesamt,Insgesamt,,2616.0
2015,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,648.0
2015,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,885.0
2015,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,1530.0
2014,alle Berufsgruppen,Männer,Insgesamt,,1005.0
2014,alle Berufsgruppen,Frauen,Insgesamt,,1665.0
2014,alle Berufsgruppen,Insgesamt,Insgesamt,,2670.0
2014,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,635.0
2014,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,730.0
2014,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,1365.0
2012,alle Berufsgruppen,Männer,Insgesamt,,261.0
2012,alle Berufsgruppen,Frauen,Insgesamt,,402.0
2012,alle Berufsgruppen,Insgesamt,Insgesamt,,663.0
2012,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,189.0
2012,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,327.0
2012,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,519.0
2021,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,2496.0
2021,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,2940.0
2021,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,5439.0
2021,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,1650.0
2021,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,2394.0
2021,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,4044.0
2020,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,2439.0
2020,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,3087.0
2020,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,5529.0
2020,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,1614.0
2020,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,2484.0
2020,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,4095.0
2019,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,2184.0
2019,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,2757.0
2019,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,4941.0
2019,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,1518.0
2019,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,2100.0
2019,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,3615.0
