Year,Gebietseinheit,Geschlecht,Units,GeoCode,Value
2022,"Braunschweig, Stadt",Insgesamt,Anzahl,K03101,13491
2022,"Salzgitter, Stadt",Insgesamt,Anzahl,K03102,5434
2022,"Wolfsburg, Stadt",Insgesamt,Anzahl,K03103,10542
2022,Gifhorn,Insgesamt,Anzahl,K03151,3947
2022,Goslar,Insgesamt,Anzahl,K03153,3993
2022,Helmstedt,Insgesamt,Anzahl,K03154,1876
2022,Northeim,Insgesamt,Anzahl,K03155,4047
2022,Peine,Insgesamt,Anzahl,K03157,3921
2022,Wolfenbüttel,Insgesamt,Anzahl,K03158,1946
2022,Göttingen,Insgesamt,Anzahl,K03159,12403
2022,Statistische Region Braunschweig,Insgesamt,Anzahl,K031,61600
2022,Region Hannover,Insgesamt,Anzahl,K03241,74318
2022,"dav. Hannover, Lhst.",Insgesamt,Anzahl,K03241001,45006
2022,"dav. Hannover, Umland",Insgesamt,Anzahl,K03241999,29312
2022,Diepholz,Insgesamt,Anzahl,K03251,8729
2022,Hameln-Pyrmont,Insgesamt,Anzahl,K03252,4943
2022,Hildesheim,Insgesamt,Anzahl,K03254,8012
2022,Holzminden,Insgesamt,Anzahl,K03255,1829
2022,Nienburg (Weser),Insgesamt,Anzahl,K03256,4675
2022,Schaumburg,Insgesamt,Anzahl,K03257,4677
2022,Statistische Region Hannover,Insgesamt,Anzahl,K032,107183
2022,Celle,Insgesamt,Anzahl,K03351,5171
2022,Cuxhaven,Insgesamt,Anzahl,K03352,5824
2022,Harburg,Insgesamt,Anzahl,K03353,11741
2022,Lüchow-Dannenberg,Insgesamt,Anzahl,K03354,967
2022,Lüneburg,Insgesamt,Anzahl,K03355,4541
2022,Osterholz,Insgesamt,Anzahl,K03356,2437
2022,Rotenburg (Wümme),Insgesamt,Anzahl,K03357,5034
2022,Heidekreis,Insgesamt,Anzahl,K03358,5326
2022,Stade,Insgesamt,Anzahl,K03359,6903
2022,Uelzen,Insgesamt,Anzahl,K03360,2150
2022,Verden,Insgesamt,Anzahl,K03361,8229
2022,Statistische Region Lüneburg,Insgesamt,Anzahl,K033,58323
2022,"Delmenhorst, Stadt",Insgesamt,Anzahl,K03401,2890
2022,"Emden, Stadt",Insgesamt,Anzahl,K03402,2237
2022,"Oldenburg (Oldb), Stadt",Insgesamt,Anzahl,K03403,7509
2022,"Osnabrück, Stadt",Insgesamt,Anzahl,K03404,10758
2022,"Wilhelmshaven, Stadt",Insgesamt,Anzahl,K03405,2411
2022,Ammerland,Insgesamt,Anzahl,K03451,5123
2022,Aurich,Insgesamt,Anzahl,K03452,4894
2022,Cloppenburg,Insgesamt,Anzahl,K03453,13577
2022,Emsland,Insgesamt,Anzahl,K03454,19130
2022,Friesland,Insgesamt,Anzahl,K03455,2004
2022,Grafschaft Bentheim,Insgesamt,Anzahl,K03456,6893
2022,Leer,Insgesamt,Anzahl,K03457,4664
2022,Oldenburg,Insgesamt,Anzahl,K03458,6220
2022,Osnabrück,Insgesamt,Anzahl,K03459,16876
2022,Vechta,Insgesamt,Anzahl,K03460,13335
2022,Wesermarsch,Insgesamt,Anzahl,K03461,2897
2022,Wittmund,Insgesamt,Anzahl,K03462,1125
2022,Statistische Region Weser-Ems,Insgesamt,Anzahl,K034,122543
2022,Niedersachsen,Insgesamt,Anzahl,K030,349649
2022,"Braunschweig, Stadt",Männer,Anzahl,K03101,7987
2022,"Salzgitter, Stadt",Männer,Anzahl,K03102,4111
2022,"Wolfsburg, Stadt",Männer,Anzahl,K03103,7063
2022,Gifhorn,Männer,Anzahl,K03151,2536
2022,Goslar,Männer,Anzahl,K03153,2533
2022,Helmstedt,Männer,Anzahl,K03154,1224
2022,Northeim,Männer,Anzahl,K03155,2899
2022,Peine,Männer,Anzahl,K03157,2804
2022,Wolfenbüttel,Männer,Anzahl,K03158,1226
2022,Göttingen,Männer,Anzahl,K03159,7575
2022,Statistische Region Braunschweig,Männer,Anzahl,K031,39958
2022,Region Hannover,Männer,Anzahl,K03241,46332
2022,"dav. Hannover, Lhst.",Männer,Anzahl,K03241001,26916
2022,"dav. Hannover, Umland",Männer,Anzahl,K03241999,19416
2022,Diepholz,Männer,Anzahl,K03251,5944
2022,Hameln-Pyrmont,Männer,Anzahl,K03252,3016
2022,Hildesheim,Männer,Anzahl,K03254,5213
2022,Holzminden,Männer,Anzahl,K03255,1250
2022,Nienburg (Weser),Männer,Anzahl,K03256,3093
2022,Schaumburg,Männer,Anzahl,K03257,3009
2022,Statistische Region Hannover,Männer,Anzahl,K032,67857
2022,Celle,Männer,Anzahl,K03351,3272
2022,Cuxhaven,Männer,Anzahl,K03352,3960
2022,Harburg,Männer,Anzahl,K03353,8493
2022,Lüchow-Dannenberg,Männer,Anzahl,K03354,560
2022,Lüneburg,Männer,Anzahl,K03355,2983
2022,Osterholz,Männer,Anzahl,K03356,1638
2022,Rotenburg (Wümme),Männer,Anzahl,K03357,3310
2022,Heidekreis,Männer,Anzahl,K03358,3482
2022,Stade,Männer,Anzahl,K03359,4622
2022,Uelzen,Männer,Anzahl,K03360,1267
2022,Verden,Männer,Anzahl,K03361,5793
2022,Statistische Region Lüneburg,Männer,Anzahl,K033,39380
2022,"Delmenhorst, Stadt",Männer,Anzahl,K03401,1785
2022,"Emden, Stadt",Männer,Anzahl,K03402,1620
2022,"Oldenburg (Oldb), Stadt",Männer,Anzahl,K03403,4641
2022,"Osnabrück, Stadt",Männer,Anzahl,K03404,5941
2022,"Wilhelmshaven, Stadt",Männer,Anzahl,K03405,1644
2022,Ammerland,Männer,Anzahl,K03451,3432
2022,Aurich,Männer,Anzahl,K03452,3005
2022,Cloppenburg,Männer,Anzahl,K03453,9359
2022,Emsland,Männer,Anzahl,K03454,13480
2022,Friesland,Männer,Anzahl,K03455,1280
2022,Grafschaft Bentheim,Männer,Anzahl,K03456,4730
2022,Leer,Männer,Anzahl,K03457,3207
2022,Oldenburg,Männer,Anzahl,K03458,3934
2022,Osnabrück,Männer,Anzahl,K03459,11424
2022,Vechta,Männer,Anzahl,K03460,8926
2022,Wesermarsch,Männer,Anzahl,K03461,2282
2022,Wittmund,Männer,Anzahl,K03462,650
2022,Statistische Region Weser-Ems,Männer,Anzahl,K034,81340
2022,Niedersachsen,Männer,Anzahl,K030,228535
2022,"Braunschweig, Stadt",Frauen,Anzahl,K03101,5504
2022,"Salzgitter, Stadt",Frauen,Anzahl,K03102,1323
2022,"Wolfsburg, Stadt",Frauen,Anzahl,K03103,3479
2022,Gifhorn,Frauen,Anzahl,K03151,1411
2022,Goslar,Frauen,Anzahl,K03153,1460
2022,Helmstedt,Frauen,Anzahl,K03154,652
2022,Northeim,Frauen,Anzahl,K03155,1148
2022,Peine,Frauen,Anzahl,K03157,1117
2022,Wolfenbüttel,Frauen,Anzahl,K03158,720
2022,Göttingen,Frauen,Anzahl,K03159,4828
2022,Statistische Region Braunschweig,Frauen,Anzahl,K031,21642
2022,Region Hannover,Frauen,Anzahl,K03241,27986
2022,"dav. Hannover, Lhst.",Frauen,Anzahl,K03241001,18090
2022,"dav. Hannover, Umland",Frauen,Anzahl,K03241999,9896
2022,Diepholz,Frauen,Anzahl,K03251,2785
2022,Hameln-Pyrmont,Frauen,Anzahl,K03252,1927
2022,Hildesheim,Frauen,Anzahl,K03254,2799
2022,Holzminden,Frauen,Anzahl,K03255,579
2022,Nienburg (Weser),Frauen,Anzahl,K03256,1582
2022,Schaumburg,Frauen,Anzahl,K03257,1668
2022,Statistische Region Hannover,Frauen,Anzahl,K032,39326
2022,Celle,Frauen,Anzahl,K03351,1899
2022,Cuxhaven,Frauen,Anzahl,K03352,1864
2022,Harburg,Frauen,Anzahl,K03353,3248
2022,Lüchow-Dannenberg,Frauen,Anzahl,K03354,407
2022,Lüneburg,Frauen,Anzahl,K03355,1558
2022,Osterholz,Frauen,Anzahl,K03356,799
2022,Rotenburg (Wümme),Frauen,Anzahl,K03357,1724
2022,Heidekreis,Frauen,Anzahl,K03358,1844
2022,Stade,Frauen,Anzahl,K03359,2281
2022,Uelzen,Frauen,Anzahl,K03360,883
2022,Verden,Frauen,Anzahl,K03361,2436
2022,Statistische Region Lüneburg,Frauen,Anzahl,K033,18943
2022,"Delmenhorst, Stadt",Frauen,Anzahl,K03401,1105
2022,"Emden, Stadt",Frauen,Anzahl,K03402,617
2022,"Oldenburg (Oldb), Stadt",Frauen,Anzahl,K03403,2868
2022,"Osnabrück, Stadt",Frauen,Anzahl,K03404,4817
2022,"Wilhelmshaven, Stadt",Frauen,Anzahl,K03405,767
2022,Ammerland,Frauen,Anzahl,K03451,1691
2022,Aurich,Frauen,Anzahl,K03452,1889
2022,Cloppenburg,Frauen,Anzahl,K03453,4218
2022,Emsland,Frauen,Anzahl,K03454,5650
2022,Friesland,Frauen,Anzahl,K03455,724
2022,Grafschaft Bentheim,Frauen,Anzahl,K03456,2163
2022,Leer,Frauen,Anzahl,K03457,1457
2022,Oldenburg,Frauen,Anzahl,K03458,2286
2022,Osnabrück,Frauen,Anzahl,K03459,5452
2022,Vechta,Frauen,Anzahl,K03460,4409
2022,Wesermarsch,Frauen,Anzahl,K03461,615
2022,Wittmund,Frauen,Anzahl,K03462,475
2022,Statistische Region Weser-Ems,Frauen,Anzahl,K034,41203
2022,Niedersachsen,Frauen,Anzahl,K030,121114
2021,"Braunschweig, Stadt",Insgesamt,Anzahl,K03101,12488
2021,"Salzgitter, Stadt",Insgesamt,Anzahl,K03102,5160
2021,"Wolfsburg, Stadt",Insgesamt,Anzahl,K03103,10451
2021,Gifhorn,Insgesamt,Anzahl,K03151,3538
2021,Goslar,Insgesamt,Anzahl,K03153,3560
2021,Helmstedt,Insgesamt,Anzahl,K03154,1789
2021,Northeim,Insgesamt,Anzahl,K03155,3665
2021,Peine,Insgesamt,Anzahl,K03157,3683
2021,Wolfenbüttel,Insgesamt,Anzahl,K03158,1670
2021,Göttingen,Insgesamt,Anzahl,K03159,11034
2021,Statistische Region Braunschweig,Insgesamt,Anzahl,K031,57038
2021,Region Hannover,Insgesamt,Anzahl,K03241,67790
2021,"dav. Hannover, Lhst.",Insgesamt,Anzahl,K03241001,41541
2021,"dav. Hannover, Umland",Insgesamt,Anzahl,K03241999,26249
2021,Diepholz,Insgesamt,Anzahl,K03251,7577
2021,Hameln-Pyrmont,Insgesamt,Anzahl,K03252,4537
2021,Hildesheim,Insgesamt,Anzahl,K03254,7157
2021,Holzminden,Insgesamt,Anzahl,K03255,1610
2021,Nienburg (Weser),Insgesamt,Anzahl,K03256,4689
2021,Schaumburg,Insgesamt,Anzahl,K03257,4345
2021,Statistische Region Hannover,Insgesamt,Anzahl,K032,97705
2021,Celle,Insgesamt,Anzahl,K03351,4503
2021,Cuxhaven,Insgesamt,Anzahl,K03352,5168
2021,Harburg,Insgesamt,Anzahl,K03353,10372
2021,Lüchow-Dannenberg,Insgesamt,Anzahl,K03354,843
2021,Lüneburg,Insgesamt,Anzahl,K03355,4097
2021,Osterholz,Insgesamt,Anzahl,K03356,2233
2021,Rotenburg (Wümme),Insgesamt,Anzahl,K03357,4577
2021,Heidekreis,Insgesamt,Anzahl,K03358,4621
2021,Stade,Insgesamt,Anzahl,K03359,6264
2021,Uelzen,Insgesamt,Anzahl,K03360,1937
2021,Verden,Insgesamt,Anzahl,K03361,6718
2021,Statistische Region Lüneburg,Insgesamt,Anzahl,K033,51333
2021,"Delmenhorst, Stadt",Insgesamt,Anzahl,K03401,2570
2021,"Emden, Stadt",Insgesamt,Anzahl,K03402,1965
2021,"Oldenburg (Oldb), Stadt",Insgesamt,Anzahl,K03403,6798
2021,"Osnabrück, Stadt",Insgesamt,Anzahl,K03404,9858
2021,"Wilhelmshaven, Stadt",Insgesamt,Anzahl,K03405,2123
2021,Ammerland,Insgesamt,Anzahl,K03451,4674
2021,Aurich,Insgesamt,Anzahl,K03452,4425
2021,Cloppenburg,Insgesamt,Anzahl,K03453,12765
2021,Emsland,Insgesamt,Anzahl,K03454,16917
2021,Friesland,Insgesamt,Anzahl,K03455,1677
2021,Grafschaft Bentheim,Insgesamt,Anzahl,K03456,6295
2021,Leer,Insgesamt,Anzahl,K03457,4075
2021,Oldenburg,Insgesamt,Anzahl,K03458,5979
2021,Osnabrück,Insgesamt,Anzahl,K03459,16016
2021,Vechta,Insgesamt,Anzahl,K03460,12100
2021,Wesermarsch,Insgesamt,Anzahl,K03461,2704
2021,Wittmund,Insgesamt,Anzahl,K03462,998
2021,Statistische Region Weser-Ems,Insgesamt,Anzahl,K034,111939
2021,Niedersachsen,Insgesamt,Anzahl,K030,318015
2021,"Braunschweig, Stadt",Männer,Anzahl,K03101,7553
2021,"Salzgitter, Stadt",Männer,Anzahl,K03102,3966
2021,"Wolfsburg, Stadt",Männer,Anzahl,K03103,7101
2021,Gifhorn,Männer,Anzahl,K03151,2351
2021,Goslar,Männer,Anzahl,K03153,2302
2021,Helmstedt,Männer,Anzahl,K03154,1183
2021,Northeim,Männer,Anzahl,K03155,2688
2021,Peine,Männer,Anzahl,K03157,2639
2021,Wolfenbüttel,Männer,Anzahl,K03158,1041
2021,Göttingen,Männer,Anzahl,K03159,6824
2021,Statistische Region Braunschweig,Männer,Anzahl,K031,37648
