Year,Gebietseinheit,Geschlecht,Qualifikation,Units,GeoCode,Value
2020,Braunschweig  Stadt,Insgesamt,,Anzahl,K03101,11541
2020,Salzgitter  Stadt,Insgesamt,,Anzahl,K03102,4878
2020,Wolfsburg  Stadt,Insgesamt,,Anzahl,K03103,10661
2020,Gifhorn,Insgesamt,,Anzahl,K03151,3257
2020,Goslar,Insgesamt,,Anzahl,K03153,3225
2020,Helmstedt,Insgesamt,,Anzahl,K03154,1701
2020,Northeim,Insgesamt,,Anzahl,K03155,3416
2020,Peine,Insgesamt,,Anzahl,K03157,3368
2020,Wolfenbüttel,Insgesamt,,Anzahl,K03158,1586
2020,Göttingen,Insgesamt,,Anzahl,K03159,9833
2020,Stat. Region Braunschweig,Insgesamt,,Anzahl,K031,53466
2020,Hannover  Region,Insgesamt,,Anzahl,K03241,62632
2020,dav. Hannover  Lhst.,Insgesamt,,Anzahl,K03241001,38815
2020,dav. Hannover  Umland,Insgesamt,,Anzahl,K03241999,23817
2020,Diepholz,Insgesamt,,Anzahl,K03251,6594
2020,Hameln-Pyrmont,Insgesamt,,Anzahl,K03252,4124
2020,Hildesheim,Insgesamt,,Anzahl,K03254,6461
2020,Holzminden,Insgesamt,,Anzahl,K03255,1484
2020,Nienburg (Weser),Insgesamt,,Anzahl,K03256,4349
2020,Schaumburg,Insgesamt,,Anzahl,K03257,3862
2020,Stat. Region Hannover,Insgesamt,,Anzahl,K032,89506
2020,Celle,Insgesamt,,Anzahl,K03351,4092
2020,Cuxhaven,Insgesamt,,Anzahl,K03352,4388
2020,Harburg,Insgesamt,,Anzahl,K03353,9737
2020,Lüchow-Dannenberg,Insgesamt,,Anzahl,K03354,750
2020,Lüneburg,Insgesamt,,Anzahl,K03355,3926
2020,Osterholz,Insgesamt,,Anzahl,K03356,2020
2020,Rotenburg (Wümme),Insgesamt,,Anzahl,K03357,4630
2020,Heidekreis,Insgesamt,,Anzahl,K03358,4303
2020,Stade,Insgesamt,,Anzahl,K03359,5874
2020,Uelzen,Insgesamt,,Anzahl,K03360,1682
2020,Verden,Insgesamt,,Anzahl,K03361,5629
2020,Stat. Region Lüneburg,Insgesamt,,Anzahl,K033,47031
2020,Delmenhorst  Stadt,Insgesamt,,Anzahl,K03401,1864
2020,Emden  Stadt,Insgesamt,,Anzahl,K03402,1823
2020,Oldenburg(Oldb)  Stadt,Insgesamt,,Anzahl,K03403,6162
2020,Osnabrück  Stadt,Insgesamt,,Anzahl,K03404,8847
2020,Wilhelmshaven  Stadt,Insgesamt,,Anzahl,K03405,1855
2020,Ammerland,Insgesamt,,Anzahl,K03451,4153
2020,Aurich,Insgesamt,,Anzahl,K03452,4164
2020,Cloppenburg,Insgesamt,,Anzahl,K03453,10632
2020,Emsland,Insgesamt,,Anzahl,K03454,14967
2020,Friesland,Insgesamt,,Anzahl,K03455,1524
2020,Grafschaft Bentheim,Insgesamt,,Anzahl,K03456,5790
2020,Leer,Insgesamt,,Anzahl,K03457,3766
2020,Oldenburg,Insgesamt,,Anzahl,K03458,3842
2020,Osnabrück,Insgesamt,,Anzahl,K03459,17707
2020,Vechta,Insgesamt,,Anzahl,K03460,11205
2020,Wesermarsch,Insgesamt,,Anzahl,K03461,2505
2020,Wittmund,Insgesamt,,Anzahl,K03462,924
2020,Stat. Region Weser-Ems,Insgesamt,,Anzahl,K034,101730
2020,Niedersachsen,Insgesamt,,Anzahl,K030,291733
2020,Braunschweig  Stadt,Männer,,Anzahl,K03101,6997
2020,Salzgitter  Stadt,Männer,,Anzahl,K03102,3738
2020,Wolfsburg  Stadt,Männer,,Anzahl,K03103,7333
2020,Gifhorn,Männer,,Anzahl,K03151,2169
2020,Goslar,Männer,,Anzahl,K03153,2090
2020,Helmstedt,Männer,,Anzahl,K03154,1149
2020,Northeim,Männer,,Anzahl,K03155,2534
2020,Peine,Männer,,Anzahl,K03157,2434
2020,Wolfenbüttel,Männer,,Anzahl,K03158,1010
2020,Göttingen,Männer,,Anzahl,K03159,6074
2020,Stat. Region Braunschweig,Männer,,Anzahl,K031,35528
2020,Hannover  Region,Männer,,Anzahl,K03241,38889
2020,dav. Hannover  Lhst.,Männer,,Anzahl,K03241001,22979
2020,dav. Hannover  Umland,Männer,,Anzahl,K03241999,15910
2020,Diepholz,Männer,,Anzahl,K03251,4544
2020,Hameln-Pyrmont,Männer,,Anzahl,K03252,2541
2020,Hildesheim,Männer,,Anzahl,K03254,4211
2020,Holzminden,Männer,,Anzahl,K03255,998
2020,Nienburg (Weser),Männer,,Anzahl,K03256,3022
2020,Schaumburg,Männer,,Anzahl,K03257,2539
2020,Stat. Region Hannover,Männer,,Anzahl,K032,56744
2020,Celle,Männer,,Anzahl,K03351,2631
2020,Cuxhaven,Männer,,Anzahl,K03352,2924
