Year,Nationalität / Migrationshintergrund,Gebietseinheit,Units,Value
2005,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,13.1
2005,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,43.0
2005,mit Migrationshintergrund,Niedersachsen,Prozent,33.2
2005,ohne Migrationshintergrund,Niedersachsen,Prozent,11.7
2005,Insgesamt,Niedersachsen,Prozent,15.1
2005,deutsche Staatsangehörigkeit,Deutschland,Prozent,12.8
2005,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,34.3
2005,mit Migrationshintergrund,Deutschland,Prozent,28.2
2005,ohne Migrationshintergrund,Deutschland,Prozent,11.6
2005,Insgesamt,Deutschland,Prozent,14.7
2007,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,12.8
2007,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,40.3
2007,mit Migrationshintergrund,Niedersachsen,Prozent,32.2
2007,ohne Migrationshintergrund,Niedersachsen,Prozent,11.3
2007,Insgesamt,Niedersachsen,Prozent,14.7
2007,deutsche Staatsangehörigkeit,Deutschland,Prozent,12.5
2007,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,32.6
2007,mit Migrationshintergrund,Deutschland,Prozent,26.9
2007,ohne Migrationshintergrund,Deutschland,Prozent,11.3
2007,Insgesamt,Deutschland,Prozent,14.3
2009,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,13.0
2009,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,37.9
2009,mit Migrationshintergrund,Niedersachsen,Prozent,29.7
2009,ohne Migrationshintergrund,Niedersachsen,Prozent,11.5
2009,Insgesamt,Niedersachsen,Prozent,14.6
2009,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.0
2009,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,31.8
2009,mit Migrationshintergrund,Deutschland,Prozent,26.6
2009,ohne Migrationshintergrund,Deutschland,Prozent,11.7
2009,Insgesamt,Deutschland,Prozent,14.6
2010,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,12.9
2010,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,36.7
2010,mit Migrationshintergrund,Niedersachsen,Prozent,29.1
2010,ohne Migrationshintergrund,Niedersachsen,Prozent,11.5
2010,Insgesamt,Niedersachsen,Prozent,14.5
2010,deutsche Staatsangehörigkeit,Deutschland,Prozent,12.9
2010,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,31.7
2010,mit Migrationshintergrund,Deutschland,Prozent,26.2
2010,ohne Migrationshintergrund,Deutschland,Prozent,11.7
2010,Insgesamt,Deutschland,Prozent,14.5
2012,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,13.9
2012,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,36.5
2012,mit Migrationshintergrund,Niedersachsen,Prozent,28.7
2012,ohne Migrationshintergrund,Niedersachsen,Prozent,12.4
2012,Insgesamt,Niedersachsen,Prozent,15.2
2012,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.6
2012,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,31.5
2012,mit Migrationshintergrund,Deutschland,Prozent,26.3
2012,ohne Migrationshintergrund,Deutschland,Prozent,12.3
2012,Insgesamt,Deutschland,Prozent,15.0
2013,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,14.5
2013,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,36.0
2013,mit Migrationshintergrund,Niedersachsen,Prozent,28.5
2013,ohne Migrationshintergrund,Niedersachsen,Prozent,13.0
2013,Insgesamt,Niedersachsen,Prozent,15.8
2013,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.9
2013,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,32.0
2013,mit Migrationshintergrund,Deutschland,Prozent,26.6
2013,ohne Migrationshintergrund,Deutschland,Prozent,12.6
2013,Insgesamt,Deutschland,Prozent,15.5
2014,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,13.8
2014,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,36.6
2014,mit Migrationshintergrund,Niedersachsen,Prozent,27.7
2014,ohne Migrationshintergrund,Niedersachsen,Prozent,12.6
2014,Insgesamt,Niedersachsen,Prozent,15.3
2014,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.7
2014,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,32.5
2014,mit Migrationshintergrund,Deutschland,Prozent,26.7
2014,ohne Migrationshintergrund,Deutschland,Prozent,12.5
2014,Insgesamt,Deutschland,Prozent,15.4
2015,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,14.0
2015,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,40.5
2015,mit Migrationshintergrund,Niedersachsen,Prozent,30.2
2015,ohne Migrationshintergrund,Niedersachsen,Prozent,12.7
2015,Insgesamt,Niedersachsen,Prozent,15.9
2015,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.8
2015,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,33.7
2015,mit Migrationshintergrund,Deutschland,Prozent,27.7
2015,ohne Migrationshintergrund,Deutschland,Prozent,12.5
2015,Insgesamt,Deutschland,Prozent,15.7
2016,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,13.5
2016,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,43.0
2016,mit Migrationshintergrund,Niedersachsen,Prozent,30.9
2016,ohne Migrationshintergrund,Niedersachsen,Prozent,12.2
2016,Insgesamt,Niedersachsen,Prozent,16.0
2016,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.3
2016,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,35.5
2016,mit Migrationshintergrund,Deutschland,Prozent,28.0
2016,ohne Migrationshintergrund,Deutschland,Prozent,12.1
2016,Insgesamt,Deutschland,Prozent,15.7
2017,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,13.3
2017,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,41.0
2017,mit Migrationshintergrund,Niedersachsen,Prozent,30.1
2017,ohne Migrationshintergrund,Niedersachsen,Prozent,11.9
2017,Insgesamt,Niedersachsen,Prozent,15.8
2017,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.1
2017,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,36.2
2017,mit Migrationshintergrund,Deutschland,Prozent,28.6
2017,ohne Migrationshintergrund,Deutschland,Prozent,11.8
2017,Insgesamt,Deutschland,Prozent,15.8
2018,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,12.5
2018,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,38.5
2018,mit Migrationshintergrund,Niedersachsen,Prozent,28.2
2018,ohne Migrationshintergrund,Niedersachsen,Prozent,11.2
2018,Insgesamt,Niedersachsen,Prozent,15.0
2018,deutsche Staatsangehörigkeit,Deutschland,Prozent,12.8
2018,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,34.8
2018,mit Migrationshintergrund,Deutschland,Prozent,27.2
2018,ohne Migrationshintergrund,Deutschland,Prozent,11.4
2018,Insgesamt,Deutschland,Prozent,15.5
2019,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,13.4
2019,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,40.8
2019,mit Migrationshintergrund,Niedersachsen,Prozent,30.4
2019,ohne Migrationshintergrund,Niedersachsen,Prozent,11.9
2019,Insgesamt,Niedersachsen,Prozent,16.0
2019,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.2
2019,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,35.2
2019,mit Migrationshintergrund,Deutschland,Prozent,27.8
2019,ohne Migrationshintergrund,Deutschland,Prozent,11.7
2019,Insgesamt,Deutschland,Prozent,15.9
2020,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,14.0
2020,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,44.2
2020,mit Migrationshintergrund,Niedersachsen,Prozent,32.5
2020,ohne Migrationshintergrund,Niedersachsen,Prozent,12.5
2020,Insgesamt,Niedersachsen,Prozent,17.0
2020,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.3
2020,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,35.8
2020,mit Migrationshintergrund,Deutschland,Prozent,27.9
2020,ohne Migrationshintergrund,Deutschland,Prozent,11.8
2020,Insgesamt,Deutschland,Prozent,16.1
2021,deutsche Staatsangehörigkeit,Niedersachsen,Prozent,14.0
2021,nichtdeutsche Staatsangehörigkeit,Niedersachsen,Prozent,41.0
2021,mit Migrationshintergrund,Niedersachsen,Prozent,29.9
2021,ohne Migrationshintergrund,Niedersachsen,Prozent,12.7
2021,Insgesamt,Niedersachsen,Prozent,16.8
2021,deutsche Staatsangehörigkeit,Deutschland,Prozent,13.9
2021,nichtdeutsche Staatsangehörigkeit,Deutschland,Prozent,35.3
2021,mit Migrationshintergrund,Deutschland,Prozent,28.1
2021,ohne Migrationshintergrund,Deutschland,Prozent,12.3
2021,Insgesamt,Deutschland,Prozent,16.6
