Year,Gebietseinheit,Nationalität,Units,GeoCode,Value
2019,Braunschweig  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03101,21264
2019,Salzgitter  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03102,15767
2019,Wolfsburg  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03103,9979
2019,Gifhorn,Insgesamt,Empfängerinnen und Empfänger,K03151,10676
2019,Goslar,Insgesamt,Empfängerinnen und Empfänger,K03153,13864
2019,Helmstedt,Insgesamt,Empfängerinnen und Empfänger,K03154,7683
2019,Northeim,Insgesamt,Empfängerinnen und Empfänger,K03155,10655
2019,Peine,Insgesamt,Empfängerinnen und Empfänger,K03157,11270
2019,Wolfenbüttel,Insgesamt,Empfängerinnen und Empfänger,K03158,9118
2019,Göttingen,Insgesamt,Empfängerinnen und Empfänger,K03159,25835
2019,Statistische Region Braunschweig,Insgesamt,Empfängerinnen und Empfänger,K031,136111
2019,Hannover  Region,Insgesamt,Empfängerinnen und Empfänger,K03241,136038
2019,dav. Hannover  Lhst.,Insgesamt,Empfängerinnen und Empfänger,K03241001,79330
2019,dav. Hannover  Umland,Insgesamt,Empfängerinnen und Empfänger,K03241999,56708
2019,Diepholz,Insgesamt,Empfängerinnen und Empfänger,K03251,15107
2019,Hameln-Pyrmont,Insgesamt,Empfängerinnen und Empfänger,K03252,16030
2019,Hildesheim,Insgesamt,Empfängerinnen und Empfänger,K03254,25087
2019,Holzminden,Insgesamt,Empfängerinnen und Empfänger,K03255,6318
2019,Nienburg (Weser),Insgesamt,Empfängerinnen und Empfänger,K03256,11106
2019,Schaumburg,Insgesamt,Empfängerinnen und Empfänger,K03257,13489
2019,Statistische Region Hannover,Insgesamt,Empfängerinnen und Empfänger,K032,223175
2019,Celle,Insgesamt,Empfängerinnen und Empfänger,K03351,17521
2019,Cuxhaven,Insgesamt,Empfängerinnen und Empfänger,K03352,14334
2019,Harburg,Insgesamt,Empfängerinnen und Empfänger,K03353,14521
2019,Lüchow-Dannenberg,Insgesamt,Empfängerinnen und Empfänger,K03354,4439
2019,Lüneburg,Insgesamt,Empfängerinnen und Empfänger,K03355,15232
2019,Osterholz,Insgesamt,Empfängerinnen und Empfänger,K03356,5813
2019,Rotenburg (Wümme),Insgesamt,Empfängerinnen und Empfänger,K03357,9161
2019,Heidekreis,Insgesamt,Empfängerinnen und Empfänger,K03358,10796
2019,Stade,Insgesamt,Empfängerinnen und Empfänger,K03359,16915
2019,Uelzen,Insgesamt,Empfängerinnen und Empfänger,K03360,6620
2019,Verden,Insgesamt,Empfängerinnen und Empfänger,K03361,9114
2019,Statistische Region Lüneburg,Insgesamt,Empfängerinnen und Empfänger,K033,124466
2019,Delmenhorst  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03401,12501
2019,Emden  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03402,6719
2019,Oldenburg(Oldb)  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03403,19714
2019,Osnabrück  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03404,19047
2019,Wilhelmshaven  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03405,12637
2019,Ammerland,Insgesamt,Empfängerinnen und Empfänger,K03451,7457
2019,Aurich,Insgesamt,Empfängerinnen und Empfänger,K03452,15980
2019,Cloppenburg,Insgesamt,Empfängerinnen und Empfänger,K03453,9940
2019,Emsland,Insgesamt,Empfängerinnen und Empfänger,K03454,16956
2019,Friesland,Insgesamt,Empfängerinnen und Empfänger,K03455,6336
2019,Grafschaft Bentheim,Insgesamt,Empfängerinnen und Empfänger,K03456,7959
2019,Leer,Insgesamt,Empfängerinnen und Empfänger,K03457,11879
2019,Oldenburg,Insgesamt,Empfängerinnen und Empfänger,K03458,7274
2019,Osnabrück,Insgesamt,Empfängerinnen und Empfänger,K03459,16307
2019,Vechta,Insgesamt,Empfängerinnen und Empfänger,K03460,8535
2019,Wesermarsch,Insgesamt,Empfängerinnen und Empfänger,K03461,8025
2019,Wittmund,Insgesamt,Empfängerinnen und Empfänger,K03462,3850
2019,Statistische Region Weser-Ems,Insgesamt,Empfängerinnen und Empfänger,K034,191116
2019,Niedersachsen,Insgesamt,Empfängerinnen und Empfänger,K030,674868
2018,Braunschweig  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03101,21725
2018,Salzgitter  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03102,16120
2018,Wolfsburg  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03103,10117
2018,Gifhorn,Insgesamt,Empfängerinnen und Empfänger,K03151,11271
2018,Goslar,Insgesamt,Empfängerinnen und Empfänger,K03153,14854
2018,Helmstedt,Insgesamt,Empfängerinnen und Empfänger,K03154,8135
2018,Northeim,Insgesamt,Empfängerinnen und Empfänger,K03155,11065
2018,Peine,Insgesamt,Empfängerinnen und Empfänger,K03157,11692
2018,Wolfenbüttel,Insgesamt,Empfängerinnen und Empfänger,K03158,9549
2018,Göttingen,Insgesamt,Empfängerinnen und Empfänger,K03159,27198
2018,Statistische Region Braunschweig,Insgesamt,Empfängerinnen und Empfänger,K031,141726
2018,Hannover  Region,Insgesamt,Empfängerinnen und Empfänger,K03241,142110
2018,dav. Hannover  Lhst.,Insgesamt,Empfängerinnen und Empfänger,K03241001,82128
2018,Diepholz,Insgesamt,Empfängerinnen und Empfänger,K03251,16127
2018,Hameln-Pyrmont,Insgesamt,Empfängerinnen und Empfänger,K03252,16821
2018,Hildesheim,Insgesamt,Empfängerinnen und Empfänger,K03254,26480
2018,Holzminden,Insgesamt,Empfängerinnen und Empfänger,K03255,6656
2018,Nienburg (Weser),Insgesamt,Empfängerinnen und Empfänger,K03256,11411
2018,Schaumburg,Insgesamt,Empfängerinnen und Empfänger,K03257,14478
2018,Statistische Region Hannover,Insgesamt,Empfängerinnen und Empfänger,K032,234083
2018,Celle,Insgesamt,Empfängerinnen und Empfänger,K03351,18504
2018,Cuxhaven,Insgesamt,Empfängerinnen und Empfänger,K03352,15176
2018,Harburg,Insgesamt,Empfängerinnen und Empfänger,K03353,15174
2018,Lüchow-Dannenberg,Insgesamt,Empfängerinnen und Empfänger,K03354,4428
2018,Lüneburg,Insgesamt,Empfängerinnen und Empfänger,K03355,16052
2018,Osterholz,Insgesamt,Empfängerinnen und Empfänger,K03356,6180
2018,Rotenburg (Wümme),Insgesamt,Empfängerinnen und Empfänger,K03357,9954
2018,Heidekreis,Insgesamt,Empfängerinnen und Empfänger,K03358,11423
2018,Stade,Insgesamt,Empfängerinnen und Empfänger,K03359,17806
2018,Uelzen,Insgesamt,Empfängerinnen und Empfänger,K03360,7138
2018,Verden,Insgesamt,Empfängerinnen und Empfänger,K03361,9660
2018,Statistische Region Lüneburg,Insgesamt,Empfängerinnen und Empfänger,K033,131495
2018,Delmenhorst  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03401,12930
2018,Emden  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03402,6900
2018,Oldenburg(Oldb)  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03403,20707
2018,Osnabrück  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03404,20125
2018,Wilhelmshaven  Stadt,Insgesamt,Empfängerinnen und Empfänger,K03405,13260
2018,Ammerland,Insgesamt,Empfängerinnen und Empfänger,K03451,8011
2018,Aurich,Insgesamt,Empfängerinnen und Empfänger,K03452,16534
2018,Cloppenburg,Insgesamt,Empfängerinnen und Empfänger,K03453,10664
2018,Emsland,Insgesamt,Empfängerinnen und Empfänger,K03454,18559
2018,Friesland,Insgesamt,Empfängerinnen und Empfänger,K03455,6866
2018,Grafschaft Bentheim,Insgesamt,Empfängerinnen und Empfänger,K03456,8445
2018,Leer,Insgesamt,Empfängerinnen und Empfänger,K03457,12542
2018,Oldenburg,Insgesamt,Empfängerinnen und Empfänger,K03458,7956
2018,Osnabrück,Insgesamt,Empfängerinnen und Empfänger,K03459,17640
2018,Vechta,Insgesamt,Empfängerinnen und Empfänger,K03460,8594
2018,Wesermarsch,Insgesamt,Empfängerinnen und Empfänger,K03461,8593
2018,Wittmund,Insgesamt,Empfängerinnen und Empfänger,K03462,4086
2018,Statistische Region Weser-Ems,Insgesamt,Empfängerinnen und Empfänger,K034,202412
2018,Niedersachsen,Insgesamt,Empfängerinnen und Empfänger,K030,709716
2014,Braunschweig  Stadt,Insgesamt,Empfängerinnen und Empfänger,,23979
2014,Salzgitter  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12490
2014,Wolfsburg  Stadt,Insgesamt,Empfängerinnen und Empfänger,,9127
2014,Gifhorn,Insgesamt,Empfängerinnen und Empfänger,,10971
2014,Göttingen,Insgesamt,Empfängerinnen und Empfänger,,22271
2014,Goslar,Insgesamt,Empfängerinnen und Empfänger,,15485
2014,Helmstedt,Insgesamt,Empfängerinnen und Empfänger,,8425
2014,Northeim,Insgesamt,Empfängerinnen und Empfänger,,11796
2014,Osterode,Insgesamt,Empfängerinnen und Empfänger,,7385
2014,Peine,Insgesamt,Empfängerinnen und Empfänger,,11794
2014,Wolfenbüttel,Insgesamt,Empfängerinnen und Empfänger,,10536
2014,Statistische Region Braunschweig,Insgesamt,Empfängerinnen und Empfänger,,144259
2014,Hannover  Region,Insgesamt,Empfängerinnen und Empfänger,,142348
2014,dav. Hannover  Lhst.,Insgesamt,Empfängerinnen und Empfänger,,85577
2014,dav. Hannover  Umland,Insgesamt,Empfängerinnen und Empfänger,,56771
2014,Diepholz,Insgesamt,Empfängerinnen und Empfänger,,15156
2014,Hameln-Pyrmont,Insgesamt,Empfängerinnen und Empfänger,,16703
2014,Hildesheim,Insgesamt,Empfängerinnen und Empfänger,,27612
2014,Holzminden,Insgesamt,Empfängerinnen und Empfänger,,6966
2014,Nienburg (Weser),Insgesamt,Empfängerinnen und Empfänger,,10697
2014,Schaumburg,Insgesamt,Empfängerinnen und Empfänger,,14425
2014,Statistische Region Hannover,Insgesamt,Empfängerinnen und Empfänger,,233907
2014,Celle,Insgesamt,Empfängerinnen und Empfänger,,18434
2014,Cuxhaven,Insgesamt,Empfängerinnen und Empfänger,,15733
2014,Harburg,Insgesamt,Empfängerinnen und Empfänger,,15251
2014,Lüchow-Dannenberg,Insgesamt,Empfängerinnen und Empfänger,,5199
2014,Lüneburg,Insgesamt,Empfängerinnen und Empfänger,,16459
2014,Osterholz,Insgesamt,Empfängerinnen und Empfänger,,6603
2014,Rotenburg (Wümme),Insgesamt,Empfängerinnen und Empfänger,,10245
2014,Heidekreis,Insgesamt,Empfängerinnen und Empfänger,,12417
2014,Stade,Insgesamt,Empfängerinnen und Empfänger,,17075
2014,Uelzen,Insgesamt,Empfängerinnen und Empfänger,,7741
2014,Verden,Insgesamt,Empfängerinnen und Empfänger,,10254
2014,Statistische Region Lüneburg,Insgesamt,Empfängerinnen und Empfänger,,135411
2014,Delmenhorst  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12551
2014,Emden  Stadt,Insgesamt,Empfängerinnen und Empfänger,,6370
2014,Oldenburg(Oldb)  Stadt,Insgesamt,Empfängerinnen und Empfänger,,20139
2014,Osnabrück  Stadt,Insgesamt,Empfängerinnen und Empfänger,,20777
2014,Wilhelmshaven  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12716
2014,Ammerland,Insgesamt,Empfängerinnen und Empfänger,,7765
2014,Aurich,Insgesamt,Empfängerinnen und Empfänger,,17343
2014,Cloppenburg,Insgesamt,Empfängerinnen und Empfänger,,11586
2014,Emsland,Insgesamt,Empfängerinnen und Empfänger,,18538
2014,Friesland,Insgesamt,Empfängerinnen und Empfänger,,7485
2014,Grafschaft Bentheim,Insgesamt,Empfängerinnen und Empfänger,,9130
2014,Leer,Insgesamt,Empfängerinnen und Empfänger,,13044
2014,Oldenburg,Insgesamt,Empfängerinnen und Empfänger,,8498
2014,Osnabrück,Insgesamt,Empfängerinnen und Empfänger,,20350
2014,Vechta,Insgesamt,Empfängerinnen und Empfänger,,7649
2014,Wesermarsch,Insgesamt,Empfängerinnen und Empfänger,,9207
2014,Wittmund,Insgesamt,Empfängerinnen und Empfänger,,4934
2014,Statistische Region Weser-Ems,Insgesamt,Empfängerinnen und Empfänger,,208082
2014,Niedersachsen,Insgesamt,Empfängerinnen und Empfänger,,721659
2012,Braunschweig  Stadt,Insgesamt,Empfängerinnen und Empfänger,,24926
2012,Salzgitter  Stadt,Insgesamt,Empfängerinnen und Empfänger,,11785
2012,Wolfsburg  Stadt,Insgesamt,Empfängerinnen und Empfänger,,8699
2012,Gifhorn,Insgesamt,Empfängerinnen und Empfänger,,11136
2012,Göttingen,Insgesamt,Empfängerinnen und Empfänger,,22886
2012,Goslar,Insgesamt,Empfängerinnen und Empfänger,,15464
2012,Helmstedt,Insgesamt,Empfängerinnen und Empfänger,,8168
2012,Northeim,Insgesamt,Empfängerinnen und Empfänger,,11591
2012,Osterode,Insgesamt,Empfängerinnen und Empfänger,,7782
2012,Peine,Insgesamt,Empfängerinnen und Empfänger,,11970
2012,Wolfenbüttel,Insgesamt,Empfängerinnen und Empfänger,,10285
2012,Statistische Region Braunschweig,Insgesamt,Empfängerinnen und Empfänger,,144692
2012,Hannover  Region,Insgesamt,Empfängerinnen und Empfänger,,133559
2012,dav. Hannover  Lhst.,Insgesamt,Empfängerinnen und Empfänger,,80964
2012,dav. Hannover  Umland,Insgesamt,Empfängerinnen und Empfänger,,52595
2012,Diepholz,Insgesamt,Empfängerinnen und Empfänger,,14576
2012,Hameln-Pyrmont,Insgesamt,Empfängerinnen und Empfänger,,15934
2012,Hildesheim,Insgesamt,Empfängerinnen und Empfänger,,26934
2012,Holzminden,Insgesamt,Empfängerinnen und Empfänger,,6827
2012,Nienburg (Weser),Insgesamt,Empfängerinnen und Empfänger,,10064
2012,Schaumburg,Insgesamt,Empfängerinnen und Empfänger,,14375
2012,Statistische Region Hannover,Insgesamt,Empfängerinnen und Empfänger,,222269
2012,Celle,Insgesamt,Empfängerinnen und Empfänger,,17733
2012,Cuxhaven,Insgesamt,Empfängerinnen und Empfänger,,15035
2012,Harburg,Insgesamt,Empfängerinnen und Empfänger,,14212
2012,Lüchow-Dannenberg,Insgesamt,Empfängerinnen und Empfänger,,4979
2012,Lüneburg,Insgesamt,Empfängerinnen und Empfänger,,16126
2012,Osterholz,Insgesamt,Empfängerinnen und Empfänger,,6053
2012,Rotenburg (Wümme),Insgesamt,Empfängerinnen und Empfänger,,9879
2012,Heidekreis,Insgesamt,Empfängerinnen und Empfänger,,11979
2012,Stade,Insgesamt,Empfängerinnen und Empfänger,,16309
2012,Uelzen,Insgesamt,Empfängerinnen und Empfänger,,7452
2012,Verden,Insgesamt,Empfängerinnen und Empfänger,,10283
2012,Statistische Region Lüneburg,Insgesamt,Empfängerinnen und Empfänger,,130040
2012,Delmenhorst  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12179
2012,Emden  Stadt,Insgesamt,Empfängerinnen und Empfänger,,6198
2012,Oldenburg(Oldb)  Stadt,Insgesamt,Empfängerinnen und Empfänger,,19326
2012,Osnabrück  Stadt,Insgesamt,Empfängerinnen und Empfänger,,19431
2012,Wilhelmshaven  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12362
2012,Ammerland,Insgesamt,Empfängerinnen und Empfänger,,7364
2012,Aurich,Insgesamt,Empfängerinnen und Empfänger,,17041
2012,Cloppenburg,Insgesamt,Empfängerinnen und Empfänger,,10351
2012,Emsland,Insgesamt,Empfängerinnen und Empfänger,,17110
2012,Friesland,Insgesamt,Empfängerinnen und Empfänger,,7156
2012,Grafschaft Bentheim,Insgesamt,Empfängerinnen und Empfänger,,8393
2012,Leer,Insgesamt,Empfängerinnen und Empfänger,,12400
2012,Oldenburg,Insgesamt,Empfängerinnen und Empfänger,,7930
2012,Osnabrück,Insgesamt,Empfängerinnen und Empfänger,,20513
2012,Vechta,Insgesamt,Empfängerinnen und Empfänger,,7067
2012,Wesermarsch,Insgesamt,Empfängerinnen und Empfänger,,8719
2012,Wittmund,Insgesamt,Empfängerinnen und Empfänger,,4853
2012,Statistische Region Weser-Ems,Insgesamt,Empfängerinnen und Empfänger,,198393
2012,Niedersachsen,Insgesamt,Empfängerinnen und Empfänger,,695394
2011,Braunschweig  Stadt,Insgesamt,Empfängerinnen und Empfänger,,25632
2011,Salzgitter  Stadt,Insgesamt,Empfängerinnen und Empfänger,,11821
2011,Wolfsburg  Stadt,Insgesamt,Empfängerinnen und Empfänger,,8938
2011,Gifhorn,Insgesamt,Empfängerinnen und Empfänger,,11703
2011,Göttingen,Insgesamt,Empfängerinnen und Empfänger,,23549
2011,Goslar,Insgesamt,Empfängerinnen und Empfänger,,15680
2011,Helmstedt,Insgesamt,Empfängerinnen und Empfänger,,8339
2011,Northeim,Insgesamt,Empfängerinnen und Empfänger,,11876
2011,Osterode,Insgesamt,Empfängerinnen und Empfänger,,8080
2011,Peine,Insgesamt,Empfängerinnen und Empfänger,,12255
2011,Wolfenbüttel,Insgesamt,Empfängerinnen und Empfänger,,10475
2011,Statistische Region Braunschweig,Insgesamt,Empfängerinnen und Empfänger,,148348
2011,Hannover  Region,Insgesamt,Empfängerinnen und Empfänger,,131816
2011,dav. Hannover  Lhst.,Insgesamt,Empfängerinnen und Empfänger,,79872
2011,dav. Hannover  Umland,Insgesamt,Empfängerinnen und Empfänger,,51944
2011,Diepholz,Insgesamt,Empfängerinnen und Empfänger,,14505
2011,Hameln-Pyrmont,Insgesamt,Empfängerinnen und Empfänger,,15982
2011,Hildesheim,Insgesamt,Empfängerinnen und Empfänger,,27119
2011,Holzminden,Insgesamt,Empfängerinnen und Empfänger,,6983
2011,Nienburg (Weser),Insgesamt,Empfängerinnen und Empfänger,,10376
2011,Schaumburg,Insgesamt,Empfängerinnen und Empfänger,,14363
2011,Statistische Region Hannover,Insgesamt,Empfängerinnen und Empfänger,,221144
2011,Celle,Insgesamt,Empfängerinnen und Empfänger,,17808
2011,Cuxhaven,Insgesamt,Empfängerinnen und Empfänger,,15550
2011,Harburg,Insgesamt,Empfängerinnen und Empfänger,,14372
2011,Lüchow-Dannenberg,Insgesamt,Empfängerinnen und Empfänger,,4905
2011,Lüneburg,Insgesamt,Empfängerinnen und Empfänger,,16250
2011,Osterholz,Insgesamt,Empfängerinnen und Empfänger,,6314
2011,Rotenburg (Wümme),Insgesamt,Empfängerinnen und Empfänger,,10424
2011,Heidekreis,Insgesamt,Empfängerinnen und Empfänger,,11751
2011,Stade,Insgesamt,Empfängerinnen und Empfänger,,16307
2011,Uelzen,Insgesamt,Empfängerinnen und Empfänger,,7538
2011,Verden,Insgesamt,Empfängerinnen und Empfänger,,10489
2011,Statistische Region Lüneburg,Insgesamt,Empfängerinnen und Empfänger,,131708
2011,Delmenhorst  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12049
2011,Emden  Stadt,Insgesamt,Empfängerinnen und Empfänger,,6374
2011,Oldenburg(Oldb)  Stadt,Insgesamt,Empfängerinnen und Empfänger,,19164
2011,Osnabrück  Stadt,Insgesamt,Empfängerinnen und Empfänger,,19338
2011,Wilhelmshaven  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12448
2011,Ammerland,Insgesamt,Empfängerinnen und Empfänger,,7370
2011,Aurich,Insgesamt,Empfängerinnen und Empfänger,,16884
2011,Cloppenburg,Insgesamt,Empfängerinnen und Empfänger,,10252
2011,Emsland,Insgesamt,Empfängerinnen und Empfänger,,17199
2011,Friesland,Insgesamt,Empfängerinnen und Empfänger,,7438
2011,Grafschaft Bentheim,Insgesamt,Empfängerinnen und Empfänger,,7988
2011,Leer,Insgesamt,Empfängerinnen und Empfänger,,12925
2011,Oldenburg,Insgesamt,Empfängerinnen und Empfänger,,7946
2011,Osnabrück,Insgesamt,Empfängerinnen und Empfänger,,20966
2011,Vechta,Insgesamt,Empfängerinnen und Empfänger,,6913
2011,Wesermarsch,Insgesamt,Empfängerinnen und Empfänger,,9027
2011,Wittmund,Insgesamt,Empfängerinnen und Empfänger,,4775
2011,Statistische Region Weser-Ems,Insgesamt,Empfängerinnen und Empfänger,,199056
2011,Niedersachsen,Insgesamt,Empfängerinnen und Empfänger,,700256
2010,Braunschweig  Stadt,Insgesamt,Empfängerinnen und Empfänger,,27349
2010,Salzgitter  Stadt,Insgesamt,Empfängerinnen und Empfänger,,12899
2010,Wolfsburg  Stadt,Insgesamt,Empfängerinnen und Empfänger,,9842
2010,Gifhorn,Insgesamt,Empfängerinnen und Empfänger,,13106
2010,Göttingen,Insgesamt,Empfängerinnen und Empfänger,,24817
2010,Goslar,Insgesamt,Empfängerinnen und Empfänger,,16102
2010,Helmstedt,Insgesamt,Empfängerinnen und Empfänger,,8886
2010,Northeim,Insgesamt,Empfängerinnen und Empfänger,,12571
2010,Osterode,Insgesamt,Empfängerinnen und Empfänger,,8617
2010,Peine,Insgesamt,Empfängerinnen und Empfänger,,12473
2010,Wolfenbüttel,Insgesamt,Empfängerinnen und Empfänger,,10799
2010,Statistische Region Braunschweig,Insgesamt,Empfängerinnen und Empfänger,,157461
2010,Hannover  Region,Insgesamt,Empfängerinnen und Empfänger,,133623
