Year,Kategorie,Units,Migrationsstatus,Value
2018,Wohnfläche,qm,Insgesamt,53.8
2018,Wohnfläche,qm,ohne Migrationshintergrund,55.7
2018,Wohnfläche,qm,mit Migrationshintergrund,42.6
2018,Wohnfläche,qm,dav. mit eigener Migrationserfahrung,36.4
2018,Wohnfläche,qm,dav.ohne eigene Migrationserfahrung,47.0
2014,Wohnfläche,qm,Insgesamt,48.7
2014,Wohnfläche,qm,ohne Migrationshintergrund,51.6
2014,Wohnfläche,qm,mit Migrationshintergrund,35.4
2014,Wohnfläche,qm,dav. mit eigener Migrationserfahrung,29.0
2014,Wohnfläche,qm,dav.ohne eigene Migrationserfahrung,38.4
2010,Wohnfläche,qm,Insgesamt,49.1105
2010,Wohnfläche,qm,ohne Migrationshintergrund,52.0513
2010,Wohnfläche,qm,mit Migrationshintergrund,34.6853
2010,Wohnfläche,qm,dav. mit eigener Migrationserfahrung,28.503
2010,Wohnfläche,qm,dav.ohne eigene Migrationserfahrung,37.4978
2018,Bruttokaltmiete,€,Insgesamt,6.71
2018,Bruttokaltmiete,€,ohne Migrationshintergrund,6.57
2018,Bruttokaltmiete,€,mit Migrationshintergrund,7.03
2018,Bruttokaltmiete,€,dav. mit eigener Migrationserfahrung,6.92
2018,Bruttokaltmiete,€,dav.ohne eigene Migrationserfahrung,7.08
2014,Bruttokaltmiete,€,Insgesamt,6.32
2014,Bruttokaltmiete,€,ohne Migrationshintergrund,6.22
2014,Bruttokaltmiete,€,mit Migrationshintergrund,6.6
2014,Bruttokaltmiete,€,dav. mit eigener Migrationserfahrung,6.46
2014,Bruttokaltmiete,€,dav.ohne eigene Migrationserfahrung,6.66
2010,Bruttokaltmiete,€,Insgesamt,6.0448
2010,Bruttokaltmiete,€,ohne Migrationshintergrund,5.9649
2010,Bruttokaltmiete,€,mit Migrationshintergrund,6.2743
2010,Bruttokaltmiete,€,dav. mit eigener Migrationserfahrung,6.1745
2010,Bruttokaltmiete,€,dav.ohne eigene Migrationserfahrung,6.3148
