Year,Altersgruppe,Geschlecht,Value
05/2022,unter 1 Jahr,männlich,487.0
05/2022,1 bis 2 Jahre,männlich,1259.0
05/2022,3 bis 5 Jahre,männlich,2252.0
05/2022,6 bis 11 Jahre,männlich,5666.0
05/2022,12 bis 13 Jahre,männlich,1804.0
05/2022,14 bis 17 Jahre,männlich,3250.0
05/2022,18 bis 26 Jahre,männlich,1312.0
05/2022,27 bis 63 Jahre,männlich,6042.0
05/2022,64 Jahre und älter,männlich,1357.0
05/2022,Alter unbekannt,männlich,3.0
05/2022,unter 1 Jahr,weiblich,453.0
05/2022,1 bis 2 Jahre,weiblich,1226.0
05/2022,3 bis 5 Jahre,weiblich,2230.0
05/2022,6 bis 11 Jahre,weiblich,5467.0
05/2022,12 bis 13 Jahre,weiblich,1869.0
05/2022,14 bis 17 Jahre,weiblich,3243.0
05/2022,18 bis 26 Jahre,weiblich,5397.0
05/2022,27 bis 63 Jahre,weiblich,25598.0
05/2022,64 Jahre und älter,weiblich,3710.0
05/2022,Alter unbekannt,weiblich,2.0
05/2022,unter 1 Jahr,divers,
05/2022,1 bis 2 Jahre,divers,1.0
05/2022,3 bis 5 Jahre,divers,1.0
05/2022,6 bis 11 Jahre,divers,
05/2022,12 bis 13 Jahre,divers,
05/2022,14 bis 17 Jahre,divers,
05/2022,18 bis 26 Jahre,divers,
05/2022,27 bis 63 Jahre,divers,
05/2022,64 Jahre und älter,divers,
05/2022,Alter unbekannt,divers,
05/2022,unter 1 Jahr,unbekannt,3.0
05/2022,1 bis 2 Jahre,unbekannt,10.0
05/2022,3 bis 5 Jahre,unbekannt,17.0
05/2022,6 bis 11 Jahre,unbekannt,57.0
05/2022,12 bis 13 Jahre,unbekannt,17.0
05/2022,14 bis 17 Jahre,unbekannt,21.0
05/2022,18 bis 26 Jahre,unbekannt,33.0
05/2022,27 bis 63 Jahre,unbekannt,136.0
05/2022,64 Jahre und älter,unbekannt,36.0
05/2022,unter 1 Jahr,insgesamt,943.0
05/2022,1 bis 2 Jahre,insgesamt,2496.0
05/2022,3 bis 5 Jahre,insgesamt,4500.0
05/2022,6 bis 11 Jahre,insgesamt,11190.0
05/2022,12 bis 13 Jahre,insgesamt,3690.0
05/2022,14 bis 17 Jahre,insgesamt,6514.0
05/2022,18 bis 26 Jahre,insgesamt,6742.0
05/2022,27 bis 63 Jahre,insgesamt,31758.0
05/2022,64 Jahre und älter,insgesamt,5113.0
05/2022,Alter unbekannt,insgesamt,5.0
