Year,Value,GeoCode
2025,104433,K03101
2025,129813,K03102
2025,175518,K03103
2025,126082,K03151
2025,89771,K03153
2025,124692,K03154
2025,137149,K03155
2025,117844,K03157
2025,330943,K03158
2025,1589056,K03159
2025,1141128,K031
2025,522803,K03241
2025,618325,K03241001
2025,221384,K03241999
2025,149773,K03251
2025,266613,K03252
2025,65271,K03254
2025,121159,K03255
2025,156077,K03256
2025,2121405,K03257
2025,172089,K032
2025,198886,K03351
2025,265727,K03352
2025,46471,K03353
2025,179185,K03354
2025,113340,K03355
2025,165853,K03356
2025,141473,K03357
2025,207935,K03358
2025,91367,K03359
2025,138895,K03360
2025,1721221,K03361
2025,81274,K033
2025,49009,K03401
2025,177055,K03402
2025,166257,K03403
2025,75324,K03404
2025,127632,K03405
2025,188450,K03451
2025,177849,K03452
2025,334403,K03453
2025,100261,K03454
2025,144674,K03455
2025,169111,K03456
2025,132176,K03457
2025,354130,K03458
2025,146838,K03459
2025,88852,K03460
2025,55849,K03461
2025,2569144,K03462
2025,8000826,K034
2025,0,K030
