Year,Land der Staatsangehörigkeit,Männer / Frauen,Units,Value
2020,Europa,,Anzahl,552325.0
2020,Türkei,,Anzahl,88085.0
2020,Polen,,Anzahl,98355.0
2020,Serbien,,Anzahl,19300.0
2020,Niederlande,,Anzahl,29725.0
2020,Rumänien,,Anzahl,64675.0
2020,Italien,,Anzahl,28950.0
2020,Russische Föderation,,Anzahl,22335.0
2020,Griechenland,,Anzahl,18695.0
2020,Bulgarien,,Anzahl,31155.0
2020,Spanien,,Anzahl,11855.0
2020,Ukraine,,Anzahl,11410.0
2020,Vereinigtes Königreich,,Anzahl,6180.0
2020,Portugal,,Anzahl,8700.0
2020,Kroatien,,Anzahl,11915.0
2020,Ungarn,,Anzahl,9380.0
2020,EU Staaten,,Anzahl,351275.0
2020,Afrika,,Anzahl,43135.0
2020,Amerika,,Anzahl,17255.0
2020,Asien,,Anzahl,231560.0
2020,Syrien,,Anzahl,87680.0
2020,Irak,,Anzahl,42860.0
2020,Afghanistan,,Anzahl,21830.0
2020,China,,Anzahl,10165.0
2020,Vietnam,,Anzahl,8785.0
2020,Australien und Ozeanien,,Anzahl,1030.0
2020,Staatenlos,,Anzahl,3465.0
2020,Ungeklärt und ohne Angabe,,Anzahl,9090.0
2020,Insgesamt,,Anzahl,857895.0
2019,Europa,,Anzahl,542155.0
2019,Türkei,,Anzahl,88735.0
2019,Polen,,Anzahl,98015.0
2019,Serbien,,Anzahl,19115.0
2019,Niederlande,,Anzahl,29865.0
2019,Rumänien,,Anzahl,58980.0
2019,Italien,,Anzahl,28825.0
2019,Russische Föderation,,Anzahl,22260.0
2019,Griechenland,,Anzahl,18815.0
2019,Bulgarien,,Anzahl,28360.0
2019,Spanien,,Anzahl,11970.0
2019,Ukraine,,Anzahl,11345.0
2019,Vereinigtes Königreich,,Anzahl,6750.0
2019,Portugal,,Anzahl,8740.0
2019,Kroatien,,Anzahl,11915.0
2019,Ungarn,,Anzahl,9465.0
2019,EU Staaten,,Anzahl,359185.0
2019,Afrika,,Anzahl,42015.0
2019,Amerika,,Anzahl,17580.0
2019,Asien,,Anzahl,226045.0
2019,Syrien,,Anzahl,84805.0
2019,Irak,,Anzahl,41035.0
2019,Afghanistan,,Anzahl,21190.0
2019,China,,Anzahl,10490.0
2019,Vietnam,,Anzahl,8760.0
2019,Australien und Ozeanien,,Anzahl,1065.0
2019,Staatenlos,,Anzahl,3540.0
2019,Ungeklärt und ohne Angabe,,Anzahl,8730.0
2019,Insgesamt,,Anzahl,841165.0
2018,Europa,,Anzahl,528900.0
2018,Türkei,,Anzahl,89275.0
2018,Polen,,Anzahl,97145.0
2018,Serbien,,Anzahl,18830.0
2018,Niederlande,,Anzahl,29910.0
2018,Rumänien,,Anzahl,52635.0
2018,Italien,,Anzahl,28535.0
2018,Russische Föderation,,Anzahl,21820.0
2018,Griechenland,,Anzahl,18790.0
2018,Bulgarien,,Anzahl,25990.0
2018,Spanien,,Anzahl,11845.0
2018,Ukraine,,Anzahl,11030.0
2018,Vereinigtes Königreich,,Anzahl,8915.0
2018,Portugal,,Anzahl,8725.0
2018,Kroatien,,Anzahl,11405.0
2018,Ungarn,,Anzahl,9430.0
2018,EU Staaten,,Anzahl,339980.0
2018,Afrika,,Anzahl,39055.0
2018,Amerika,,Anzahl,16515.0
2018,Asien,,Anzahl,215705.0
2018,Syrien,,Anzahl,79930.0
2018,Irak,,Anzahl,39155.0
2018,Afghanistan,,Anzahl,20695.0
2018,China,,Anzahl,10150.0
2018,Vietnam,,Anzahl,8655.0
2018,Australien und Ozeanien,,Anzahl,1015.0
2018,Staatenlos,,Anzahl,3290.0
2018,Ungeklärt und ohne Angabe,,Anzahl,8600.0
2018,Insgesamt,,Anzahl,813080.0
2017,Europa,,Anzahl,509435.0
2017,Türkei,,Anzahl,89675.0
2017,Polen,,Anzahl,94210.0
2017,Serbien,,Anzahl,18770.0
2017,Niederlande,,Anzahl,30230.0
2017,Rumänien,,Anzahl,43860.0
2017,Italien,,Anzahl,28090.0
2017,Russische Föderation,,Anzahl,21365.0
2017,Griechenland,,Anzahl,18580.0
2017,Bulgarien,,Anzahl,23270.0
2017,Spanien,,Anzahl,11785.0
2017,Ukraine,,Anzahl,10595.0
2017,Vereinigtes Königreich,,Anzahl,9425.0
2017,Portugal,,Anzahl,8745.0
2017,Kroatien,,Anzahl,10455.0
2017,Ungarn,,Anzahl,9130.0
2017,EU Staaten,,Anzahl,324745.0
2017,Afrika,,Anzahl,36290.0
2017,Amerika,,Anzahl,15560.0
2017,Asien,,Anzahl,203165.0
2017,Syrien,,Anzahl,74755.0
2017,Irak,,Anzahl,36340.0
2017,Afghanistan,,Anzahl,20080.0
2017,China,,Anzahl,9670.0
2017,Vietnam,,Anzahl,8560.0
2017,Australien und Ozeanien,,Anzahl,1015.0
2017,Staatenlos,,Anzahl,3290.0
2017,Ungeklärt und ohne Angabe,,Anzahl,8600.0
2017,Insgesamt,,Anzahl,813080.0
2016,Europa,,Anzahl,494310.0
2016,Türkei,,Anzahl,90185.0
2016,Polen,,Anzahl,90175.0
2016,Serbien,,Anzahl,18620.0
2016,Niederlande,,Anzahl,30465.0
2016,Rumänien,,Anzahl,37250.0
2016,Italien,,Anzahl,27765.0
2016,Russische Föderation,,Anzahl,21275.0
2016,Griechenland,,Anzahl,18300.0
2016,Bulgarien,,Anzahl,20670.0
2016,Spanien,,Anzahl,11770.0
2016,Ukraine,,Anzahl,10390.0
2016,Vereinigtes Königreich,,Anzahl,10025.0
2016,Portugal,,Anzahl,8940.0
2016,Kroatien,,Anzahl,9605.0
2016,Ungarn,,Anzahl,8955.0
2016,EU Staaten,,Anzahl,309960.0
2016,Afrika,,Anzahl,34265.0
2016,Amerika,,Anzahl,15115.0
2016,Asien,,Anzahl,189460.0
2016,Syrien,,Anzahl,68005.0
2016,Irak,,Anzahl,32755.0
2016,Afghanistan,,Anzahl,19775.0
2016,China,,Anzahl,8990.0
2016,Vietnam,,Anzahl,8360.0
2016,Australien und Ozeanien,,Anzahl,945.0
2016,Staatenlos,,Anzahl,2630.0
2016,Ungeklärt und ohne Angabe,,Anzahl,8460.0
2016,Insgesamt,,Anzahl,745185.0
2015,Europa,,Anzahl,478323.0
2015,Türkei,,Anzahl,90914.0
2015,Polen,,Anzahl,83950.0
2015,Serbien,,Anzahl,45555.0
2015,Niederlande,,Anzahl,30377.0
2015,Rumänien,,Anzahl,29065.0
2015,Italien,,Anzahl,26951.0
2015,Russische Föderation,,Anzahl,20388.0
2015,Griechenland,,Anzahl,17522.0
2015,Bulgarien,,Anzahl,17304.0
2015,Spanien,,Anzahl,11532.0
2015,Ukraine,,Anzahl,10295.0
2015,Vereinigtes Königreich,,Anzahl,10250.0
2015,Portugal,,Anzahl,8700.0
2015,Kroatien,,Anzahl,8505.0
2015,Ungarn,,Anzahl,8435.0
2015,EU Staaten,,Anzahl,285857.0
2015,Afrika,,Anzahl,29314.0
2015,Amerika,,Anzahl,14766.0
2015,Asien,,Anzahl,130614.0
2015,Syrien,,Anzahl,41324.0
2015,Irak,,Anzahl,17474.0
2015,Afghanistan,,Anzahl,9085.0
2015,China,,Anzahl,8348.0
2015,Vietnam,,Anzahl,8165.0
2015,Australien und Ozeanien,,Anzahl,952.0
2015,Staatenlos,,Anzahl,2082.0
2015,Ungeklärt und ohne Angabe,,Anzahl,7766.0
2015,Insgesamt,,Anzahl,663817.0
2014,Europa,,Anzahl,438357.0
2014,Türkei,,Anzahl,92271.0
2014,Polen,,Anzahl,75160.0
2014,Serbien,,Anzahl,38734.0
2014,Niederlande,,Anzahl,30232.0
2014,Italien,,Anzahl,25773.0
2014,Rumänien,,Anzahl,21893.0
2014,Russische Föderation,,Anzahl,19594.0
2014,Griechenland,,Anzahl,16895.0
2014,Bulgarien,,Anzahl,13006.0
2014,Spanien,,Anzahl,10942.0
2014,Ukraine,,Anzahl,10200.0
2014,Vereinigtes Königreich,,Anzahl,10157.0
2014,Portugal,,Anzahl,8582.0
2014,Ungarn,,Anzahl,7503.0
2014,Kroatien,,Anzahl,7429.0
2014,Österreich,,Anzahl,6510.0
2014,EU Staaten,,Anzahl,258650.0
2014,Afrika,,Anzahl,20797.0
2014,Amerika,,Anzahl,14015.0
2014,Asien,,Anzahl,89132.0
2014,Syrien,,Anzahl,16986.0
2014,Irak,,Anzahl,10070.0
2014,Vietnam,,Anzahl,8051.0
2014,China,,Anzahl,7487.0
2014,Australien und Ozeanien,,Anzahl,969.0
2014,Staatenlos,,Anzahl,1814.0
2014,Ungeklärt und ohne Angabe,,Anzahl,5799.0
2014,Insgesamt,,Anzahl,570883.0
2013,Europa,,Anzahl,408277.0
2013,Türkei,,Anzahl,93726.0
2013,Polen,,Anzahl,65850.0
2013,Serbien,,Anzahl,34926.0
2013,Niederlande,,Anzahl,30260.0
2013,Italien,,Anzahl,24509.0
2013,Russische Föderation,,Anzahl,19399.0
2013,Griechenland,,Anzahl,16257.0
2013,Rumänien,,Anzahl,15614.0
2013,Spanien,,Anzahl,10389.0
2013,Vereinigtes Königreich,,Anzahl,10242.0
2013,Ukraine,,Anzahl,9884.0
2013,Bulgarien,,Anzahl,9641.0
2013,Portugal,,Anzahl,8255.0
2013,Kroatien,,Anzahl,6823.0
2013,Ungarn,,Anzahl,6680.0
2013,Österreich,,Anzahl,6438.0
2013,EU-Staaten,,Anzahl,233984.0
2013,Afrika,,Anzahl,17408.0
2013,Amerika,,Anzahl,13537.0
2013,Asien,,Anzahl,78630.0
2013,Syrien,,Anzahl,9582.0
2013,Irak,,Anzahl,9544.0
2013,Vietnam,,Anzahl,8076.0
2013,China,,Anzahl,6880.0
2013,Australien und Ozeanien,,Anzahl,982.0
2013,Staatenlos,,Anzahl,1707.0
2013,Ungeklärt und ohne Angabe,,Anzahl,5148.0
2013,Insgesamt,,Anzahl,525689.0
2012,Europa,,Anzahl,383378.0
2012,Türkei,,Anzahl,95470.0
2012,Polen,,Anzahl,56054.0
2012,Serbien2),,Anzahl,33752.0
2012,Niederlande,,Anzahl,30048.0
2012,Italien,,Anzahl,23272.0
2012,Russische Föderation,,Anzahl,18118.0
2012,Griechenland,,Anzahl,15427.0
2012,Rumänien,,Anzahl,12237.0
2012,Vereinigtes Königreich,,Anzahl,10052.0
2012,Ukraine,,Anzahl,9974.0
2012,Spanien,,Anzahl,9238.0
2012,Bulgarien,,Anzahl,7755.0
2012,Portugal,,Anzahl,7436.0
2012,Kroatien,,Anzahl,6495.0
2012,Österreich,,Anzahl,6309.0
2012,Bosnien und Herzegowina,,Anzahl,5935.0
2012,EU-Staaten,,Anzahl,204205.0
2012,Afrika,,Anzahl,14464.0
2012,Amerika,,Anzahl,12960.0
2012,Asien,,Anzahl,73247.0
2012,Irak,,Anzahl,9379.0
2012,Vietnam,,Anzahl,8303.0
2012,Syrien,,Anzahl,7200.0
2012,China,,Anzahl,6161.0
2012,Australien und Ozeanien,,Anzahl,924.0
2012,Staatenlos,,Anzahl,1694.0
2012,Ungeklärt und ohne Angabe,,Anzahl,5405.0
2012,Insgesamt,,Anzahl,492072.0
2020,Europa,Männer,Geschlecht in Prozent,53.4060562169013
2020,Türkei,Männer,Geschlecht in Prozent,51.2970426292785
2020,Polen,Männer,Geschlecht in Prozent,54.3947943673428
2020,Serbien,Männer,Geschlecht in Prozent,50.7512953367876
2020,Niederlande,Männer,Geschlecht in Prozent,56.6021867115223
2020,Rumänien,Männer,Geschlecht in Prozent,59.9922690374952
2020,Italien,Männer,Geschlecht in Prozent,60.4145077720207
2020,Russische Föderation,Männer,Geschlecht in Prozent,36.5345869711216
2020,Griechenland,Männer,Geschlecht in Prozent,56.5926718373897
2020,Bulgarien,Männer,Geschlecht in Prozent,54.4535387578238
2020,Spanien,Männer,Geschlecht in Prozent,52.6360185575706
2020,Ukraine,Männer,Geschlecht in Prozent,36.3716038562664
2020,Vereinigtes Königreich,Männer,Geschlecht in Prozent,69.57928802589
2020,Portugal,Männer,Geschlecht in Prozent,53.9655172413793
2020,Kroatien,Männer,Geschlecht in Prozent,56.105749055812
2020,Ungarn,Männer,Geschlecht in Prozent,59.1151385927505
2020,EU Staaten,Männer,Geschlecht in Prozent,55.7526154722084
2020,Afrika,Männer,Geschlecht in Prozent,63.1969398400371
2020,Amerika,Männer,Geschlecht in Prozent,45.4940596928427
2020,Asien,Männer,Geschlecht in Prozent,54.4740024183797
